Pathway,CYTOPLASMIC RIBOSOMAL PROTEINS,BURN WOUND HEALING,LUNG FIBROSIS,"TGFBETA RECEPTOR SIGNALING IN SKELETAL
DYSPLASIAS",TGFBETA RECEPTOR SIGNALING,SENESCENCE AND AUTOPHAGY IN CANCER,INFLAMMATORY RESPONSE PATHWAY,VEGFAVEGFR2 SIGNALING,ANGIOGENESIS OVERVIEW,ANGIOPOIETINLIKE PROTEIN 8 REGULATORY PATHWAY,"THYROID HORMONES PRODUCTION AND PERIPHERAL
DOWNSTREAM SIGNALING EFFECTS",CAFFEINE IN MYOCYTES,STRIATED MUSCLE CONTRACTION PATHWAY,FOCAL ADHESION,INTEGRINMEDIATED CELL ADHESION,HIPPOMERLIN SIGNALING DYSREGULATION,MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS,MIRTARGETED GENES IN LYMPHOCYTES,EBOLA VIRUS INFECTION IN HOST,PROTEASOME DEGRADATION,"CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS","CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",CHOLESTEROL METABOLISM,ENTEROCYTE CHOLESTEROL METABOLISM,"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING","SREBF AND MIR33 IN CHOLESTEROL AND LIPID
HOMEOSTASIS","ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA","MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",PATHOGENIC ESCHERICHIA COLI INFECTION,PTF1A RELATED REGULATORY PATHWAY,NUCLEAR RECEPTORS METAPATHWAY,NRF2 PATHWAY,PROSTAGLANDIN SYNTHESIS AND REGULATION,GLUCOCORTICOID RECEPTOR PATHWAY,EXERCISE AND HYPERTROPHY IN SKELETAL MUSCLE,NETWORK MAP OF SARSCOV2 SIGNALING,PYRIMIDINE METABOLISM,"BIOMARKERS FOR PYRIMIDINE METABOLISM
DISORDERS",BETAGLOBIN GENE EXPRESSION REGULATION,"GPR143 IN MELANOCYTES AND RETINAL PIGMENT
EPITHELIUM CELLS"
CYTOPLASMIC RIBOSOMAL PROTEINS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.06818181818181818,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0
BURN WOUND HEALING,0.0,1.0,0.09734513274336283,0.061946902654867256,0.05309734513274336,0.12389380530973451,0.02654867256637168,0.13274336283185842,0.07079646017699115,0.008849557522123894,0.017699115044247787,0.008849557522123894,0.017699115044247787,0.09734513274336283,0.008849557522123894,0.05309734513274336,0.017699115044247787,0.04424778761061947,0.02654867256637168,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.02654867256637168,0.0,0.07079646017699115,0.017699115044247787,0.008849557522123894,0.02654867256637168,0.017699115044247787,0.13274336283185842,0.0,0.0,0.0,0.008849557522123894
LUNG FIBROSIS,0.0,0.1746031746031746,1.0,0.09523809523809523,0.09523809523809523,0.12698412698412698,0.031746031746031744,0.07936507936507936,0.047619047619047616,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.015873015873015872,0.0,0.07936507936507936,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746031746031746,0.1111111111111111,0.015873015873015872,0.015873015873015872,0.0,0.23809523809523808,0.0,0.0,0.0,0.0
"TGFBETA RECEPTOR SIGNALING IN SKELETAL
DYSPLASIAS",0.0,0.11864406779661017,0.1016949152542373,1.0,0.9322033898305084,0.15254237288135594,0.03389830508474576,0.1694915254237288,0.0,0.05084745762711865,0.03389830508474576,0.0,0.0,0.15254237288135594,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.05084745762711865,0.0847457627118644,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.13559322033898305,0.03389830508474576,0.0,0.03389830508474576,0.01694915254237288,0.1694915254237288,0.0,0.0,0.0,0.0
TGFBETA RECEPTOR SIGNALING,0.0,0.10909090909090909,0.10909090909090909,1.0,1.0,0.16363636363636364,0.03636363636363636,0.18181818181818182,0.0,0.05454545454545454,0.03636363636363636,0.0,0.0,0.16363636363636364,0.03636363636363636,0.05454545454545454,0.03636363636363636,0.05454545454545454,0.09090909090909091,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.01818181818181818,0.14545454545454545,0.03636363636363636,0.0,0.03636363636363636,0.01818181818181818,0.18181818181818182,0.0,0.0,0.0,0.0
SENESCENCE AND AUTOPHAGY IN CANCER,0.0,0.13333333333333333,0.0761904761904762,0.08571428571428572,0.08571428571428572,1.0,0.05714285714285714,0.2,0.06666666666666667,0.10476190476190476,0.11428571428571428,0.0,0.0,0.1523809523809524,0.06666666666666667,0.02857142857142857,0.02857142857142857,0.09523809523809523,0.0380952380952381,0.009523809523809525,0.0,0.0,0.0,0.0,0.01904761904761905,0.009523809523809525,0.0,0.0,0.0,0.0,0.11428571428571428,0.05714285714285714,0.0,0.009523809523809525,0.01904761904761905,0.2,0.0,0.0,0.0,0.0
INFLAMMATORY RESPONSE PATHWAY,0.0,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.0,0.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.2,0.0,0.0,0.0,0.0
VEGFAVEGFR2 SIGNALING,0.025522041763341066,0.03480278422273782,0.01160092807424594,0.02320185614849188,0.02320185614849188,0.048723897911832945,0.002320185614849188,1.0,0.08120649651972157,0.08816705336426914,0.048723897911832945,0.009280742459396751,0.009280742459396751,0.13225058004640372,0.08584686774941995,0.04408352668213457,0.0069605568445475635,0.06496519721577726,0.06728538283062645,0.004640371229698376,0.0,0.004640371229698376,0.0,0.0,0.018561484918793503,0.004640371229698376,0.0,0.0,0.03944315545243619,0.002320185614849188,0.04176334106728538,0.02088167053364269,0.0069605568445475635,0.01160092807424594,0.013921113689095127,0.06728538283062645,0.0,0.0,0.0069605568445475635,0.01160092807424594
ANGIOGENESIS OVERVIEW,0.0,0.125,0.046875,0.0,0.0,0.109375,0.0,0.546875,1.0,0.25,0.1875,0.0,0.0,0.328125,0.234375,0.078125,0.0,0.0625,0.109375,0.0,0.0,0.0,0.0,0.0,0.03125,0.015625,0.0,0.0,0.0625,0.0,0.015625,0.0,0.0,0.0,0.015625,0.0625,0.0,0.0,0.0,0.015625
ANGIOPOIETINLIKE PROTEIN 8 REGULATORY PATHWAY,0.045454545454545456,0.007575757575757576,0.0,0.022727272727272728,0.022727272727272728,0.08333333333333333,0.0,0.2878787878787879,0.12121212121212122,1.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.16666666666666666,0.015151515151515152,0.0,0.07575757575757576,0.06818181818181818,0.0,0.03787878787878788,0.05303030303030303,0.03787878787878788,0.015151515151515152,0.12878787878787878,0.05303030303030303,0.0,0.0,0.0,0.0,0.11363636363636363,0.022727272727272728,0.0,0.007575757575757576,0.015151515151515152,0.06060606060606061,0.0,0.0,0.0,0.0
