Pathway,MTOR UP.N4.V1 UP,ALK DN.V1 UP,NFE2L2.V2,CAHOY ASTROCYTIC,ESC V6.5 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,PKCA DN.V1 DN,CSR LATE UP.V1 UP,CSR EARLY UP.V1 UP,MYC UP.V1 UP,TBK1.DF DN,PGF UP.V1 UP,STK33 DN,STK33 NOMO DN,STK33 SKM DN,CSR EARLY UP.V1 DN,RAF UP.V1 DN,EGFR UP.V1 DN,ERBB2 UP.V1 DN,LTE2 UP.V1 DN,HOXA9 DN.V1 DN,CSR LATE UP.V1 DN,ESC V6.5 UP LATE.V1 UP,SIRNA EIF4GI UP,KRAS.KIDNEY UP.V1 UP,BMI1 DN.V1 DN,IL15 UP.V1 UP,IL2 UP.V1 UP,BMI1 DN.V1 UP,LEF1 UP.V1 UP,CORDENONSI YAP CONSERVED SIGNATURE,RPS14 DN.V1 DN,EIF4E DN,ERBB2 UP.V1 UP,MEK UP.V1 UP,LTE2 UP.V1 UP,RAF UP.V1 UP,RPS14 DN.V1 UP,P53 DN.V1 UP,ATF2 UP.V1 DN
MTOR UP.N4.V1 UP,1.0,0.05612244897959184,0.061224489795918366,0.025510204081632654,0.015306122448979591,0.02040816326530612,0.025510204081632654,0.01020408163265306,0.015306122448979591,0.030612244897959183,0.02040816326530612,0.03571428571428571,0.061224489795918366,0.061224489795918366,0.03571428571428571,0.00510204081632653,0.025510204081632654,0.02040816326530612,0.03571428571428571,0.04591836734693878,0.0663265306122449,0.030612244897959183,0.015306122448979591,0.015306122448979591,0.01020408163265306,0.015306122448979591,0.03571428571428571,0.03571428571428571,0.030612244897959183,0.01020408163265306,0.00510204081632653,0.08163265306122448,0.02040816326530612,0.025510204081632654,0.025510204081632654,0.02040816326530612,0.025510204081632654,0.015306122448979591,0.02040816326530612,0.03571428571428571
ALK DN.V1 UP,0.07801418439716312,1.0,0.11347517730496454,0.0425531914893617,0.014184397163120567,0.02127659574468085,0.02127659574468085,0.028368794326241134,0.014184397163120567,0.0,0.0070921985815602835,0.0070921985815602835,0.014184397163120567,0.028368794326241134,0.02127659574468085,0.02127659574468085,0.028368794326241134,0.014184397163120567,0.0,0.03546099290780142,0.03546099290780142,0.0,0.0,0.014184397163120567,0.02127659574468085,0.014184397163120567,0.04964539007092199,0.028368794326241134,0.11347517730496454,0.06382978723404255,0.0,0.0425531914893617,0.014184397163120567,0.04964539007092199,0.0425531914893617,0.0070921985815602835,0.02127659574468085,0.07092198581560284,0.0,0.028368794326241134
NFE2L2.V2,0.0255863539445629,0.03411513859275053,1.0,0.01279317697228145,0.019189765458422176,0.010660980810234541,0.010660980810234541,0.014925373134328358,0.008528784648187633,0.0,0.010660980810234541,0.006396588486140725,0.031982942430703626,0.03624733475479744,0.021321961620469083,0.0021321961620469083,0.017057569296375266,0.014925373134328358,0.010660980810234541,0.017057569296375266,0.019189765458422176,0.014925373134328358,0.008528784648187633,0.006396588486140725,0.014925373134328358,0.008528784648187633,0.01279317697228145,0.017057569296375266,0.014925373134328358,0.006396588486140725,0.006396588486140725,0.02771855010660981,0.0,0.010660980810234541,0.02771855010660981,0.017057569296375266,0.014925373134328358,0.017057569296375266,0.008528784648187633,0.01279317697228145
CAHOY ASTROCYTIC,0.05,0.06,0.06,1.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.02,0.03,0.03,0.01,0.02,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.04,0.02,0.0,0.03,0.0,0.02,0.02,0.02,0.01,0.01,0.02,0.03
ESC V6.5 UP EARLY.V1 DN,0.018518518518518517,0.012345679012345678,0.05555555555555555,0.006172839506172839,1.0,0.18518518518518517,0.037037037037037035,0.030864197530864196,0.024691358024691357,0.012345679012345678,0.018518518518518517,0.0,0.024691358024691357,0.030864197530864196,0.037037037037037035,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.030864197530864196,0.037037037037037035,0.006172839506172839,0.018518518518518517,0.024691358024691357,0.0,0.024691358024691357,0.006172839506172839,0.037037037037037035,0.043209876543209874,0.04938271604938271,0.037037037037037035,0.043209876543209874,0.012345679012345678,0.012345679012345678,0.030864197530864196,0.06790123456790123,0.012345679012345678,0.037037037037037035,0.037037037037037035,0.09876543209876543,0.024691358024691357
ESC J1 UP EARLY.V1 DN,0.023255813953488372,0.01744186046511628,0.029069767441860465,0.0,0.1744186046511628,1.0,0.023255813953488372,0.01744186046511628,0.040697674418604654,0.01744186046511628,0.029069767441860465,0.005813953488372093,0.023255813953488372,0.01744186046511628,0.023255813953488372,0.005813953488372093,0.011627906976744186,0.011627906976744186,0.029069767441860465,0.01744186046511628,0.023255813953488372,0.0,0.011627906976744186,0.005813953488372093,0.01744186046511628,0.011627906976744186,0.05232558139534884,0.040697674418604654,0.023255813953488372,0.01744186046511628,0.01744186046511628,0.023255813953488372,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.011627906976744186,0.046511627906976744,0.011627906976744186
PKCA DN.V1 DN,0.032467532467532464,0.01948051948051948,0.032467532467532464,0.0,0.03896103896103896,0.025974025974025976,1.0,0.01948051948051948,0.012987012987012988,0.01948051948051948,0.025974025974025976,0.01948051948051948,0.006493506493506494,0.006493506493506494,0.025974025974025976,0.006493506493506494,0.012987012987012988,0.012987012987012988,0.0,0.025974025974025976,0.025974025974025976,0.006493506493506494,0.025974025974025976,0.012987012987012988,0.01948051948051948,0.006493506493506494,0.045454545454545456,0.01948051948051948,0.006493506493506494,0.012987012987012988,0.006493506493506494,0.025974025974025976,0.01948051948051948,0.012987012987012988,0.01948051948051948,0.006493506493506494,0.01948051948051948,0.012987012987012988,0.025974025974025976,0.032467532467532464
CSR LATE UP.V1 UP,0.012048192771084338,0.024096385542168676,0.04216867469879518,0.006024096385542169,0.030120481927710843,0.018072289156626505,0.018072289156626505,1.0,0.05421686746987952,0.04216867469879518,0.012048192771084338,0.0,0.006024096385542169,0.006024096385542169,0.012048192771084338,0.0,0.006024096385542169,0.012048192771084338,0.006024096385542169,0.0,0.03614457831325301,0.0,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.0,0.006024096385542169,0.006024096385542169,0.04216867469879518,0.006024096385542169,0.012048192771084338,0.05421686746987952,0.0,0.0,0.006024096385542169,0.012048192771084338,0.012048192771084338,0.0,0.018072289156626505,0.012048192771084338
CSR EARLY UP.V1 UP,0.0196078431372549,0.013071895424836602,0.026143790849673203,0.0,0.026143790849673203,0.0457516339869281,0.013071895424836602,0.058823529411764705,1.0,0.013071895424836602,0.0392156862745098,0.026143790849673203,0.0196078431372549,0.013071895424836602,0.0196078431372549,0.0,0.026143790849673203,0.0196078431372549,0.032679738562091505,0.026143790849673203,0.013071895424836602,0.0,0.013071895424836602,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.0457516339869281,0.032679738562091505,0.05228758169934641,0.026143790849673203,0.006535947712418301,0.013071895424836602,0.013071895424836602,0.006535947712418301,0.006535947712418301,0.0,0.0196078431372549,0.0,0.032679738562091505,0.013071895424836602
MYC UP.V1 UP,0.03314917127071823,0.0,0.0,0.0055248618784530384,0.011049723756906077,0.016574585635359115,0.016574585635359115,0.03867403314917127,0.011049723756906077,1.0,0.016574585635359115,0.0055248618784530384,0.03867403314917127,0.027624309392265192,0.022099447513812154,0.0,0.011049723756906077,0.011049723756906077,0.03314917127071823,0.016574585635359115,0.022099447513812154,0.0,0.0055248618784530384,0.0,0.0055248618784530384,0.011049723756906077,0.06629834254143646,0.06077348066298342,0.0055248618784530384,0.016574585635359115,0.0,0.055248618784530384,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0,0.0055248618784530384,0.027624309392265192
