Pathway,MTOR UP.N4.V1 UP,ALK DN.V1 UP,NFE2L2.V2,CAHOY ASTROCYTIC,ESC V6.5 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,PKCA DN.V1 DN,CSR LATE UP.V1 UP,CSR EARLY UP.V1 UP,MYC UP.V1 UP,TBK1.DF DN,PGF UP.V1 UP,STK33 DN,STK33 NOMO DN,STK33 SKM DN,CSR EARLY UP.V1 DN,RAF UP.V1 DN,EGFR UP.V1 DN,ERBB2 UP.V1 DN,LTE2 UP.V1 DN,HOXA9 DN.V1 DN,CSR LATE UP.V1 DN,ESC V6.5 UP LATE.V1 UP,SIRNA EIF4GI UP,KRAS.KIDNEY UP.V1 UP,BMI1 DN.V1 DN,IL15 UP.V1 UP,IL2 UP.V1 UP,BMI1 DN.V1 UP,LEF1 UP.V1 UP,CORDENONSI YAP CONSERVED SIGNATURE,RPS14 DN.V1 DN,EIF4E DN,ERBB2 UP.V1 UP,MEK UP.V1 UP,LTE2 UP.V1 UP,RAF UP.V1 UP,RPS14 DN.V1 UP,P53 DN.V1 UP,ATF2 UP.V1 DN
TBK1.DF DN,0.013986013986013986,0.0034965034965034965,0.017482517482517484,0.0,0.01048951048951049,0.017482517482517484,0.013986013986013986,0.006993006993006993,0.02097902097902098,0.01048951048951049,1.0,0.055944055944055944,0.024475524475524476,0.03146853146853147,0.01048951048951049,0.013986013986013986,0.04195804195804196,0.045454545454545456,0.05944055944055944,0.045454545454545456,0.017482517482517484,0.017482517482517484,0.024475524475524476,0.0034965034965034965,0.0034965034965034965,0.01048951048951049,0.01048951048951049,0.01048951048951049,0.013986013986013986,0.024475524475524476,0.006993006993006993,0.017482517482517484,0.0034965034965034965,0.017482517482517484,0.03146853146853147,0.03146853146853147,0.03146853146853147,0.006993006993006993,0.03146853146853147,0.02097902097902098
PGF UP.V1 UP,0.03684210526315789,0.005263157894736842,0.015789473684210527,0.005263157894736842,0.0,0.005263157894736842,0.015789473684210527,0.0,0.021052631578947368,0.005263157894736842,0.08421052631578947,1.0,0.015789473684210527,0.010526315789473684,0.02631578947368421,0.005263157894736842,0.010526315789473684,0.042105263157894736,0.08421052631578947,0.031578947368421054,0.0,0.010526315789473684,0.010526315789473684,0.0,0.010526315789473684,0.005263157894736842,0.010526315789473684,0.005263157894736842,0.0,0.0,0.0,0.021052631578947368,0.02631578947368421,0.005263157894736842,0.0,0.010526315789473684,0.02631578947368421,0.015789473684210527,0.042105263157894736,0.05263157894736842
STK33 DN,0.04285714285714286,0.007142857142857143,0.05357142857142857,0.007142857142857143,0.014285714285714285,0.014285714285714285,0.0035714285714285713,0.0035714285714285713,0.010714285714285714,0.025,0.025,0.010714285714285714,1.0,0.675,0.55,0.014285714285714285,0.039285714285714285,0.02857142857142857,0.02857142857142857,0.03214285714285714,0.02142857142857143,0.02142857142857143,0.010714285714285714,0.0,0.014285714285714285,0.017857142857142856,0.02142857142857143,0.025,0.014285714285714285,0.014285714285714285,0.0035714285714285713,0.02857142857142857,0.0035714285714285713,0.02857142857142857,0.025,0.03214285714285714,0.02857142857142857,0.039285714285714285,0.02857142857142857,0.014285714285714285
STK33 NOMO DN,0.0425531914893617,0.014184397163120567,0.06028368794326241,0.010638297872340425,0.01773049645390071,0.010638297872340425,0.0035460992907801418,0.0035460992907801418,0.0070921985815602835,0.01773049645390071,0.031914893617021274,0.0070921985815602835,0.6702127659574468,1.0,0.30141843971631205,0.014184397163120567,0.028368794326241134,0.028368794326241134,0.024822695035460994,0.024822695035460994,0.014184397163120567,0.01773049645390071,0.01773049645390071,0.0035460992907801418,0.01773049645390071,0.014184397163120567,0.010638297872340425,0.014184397163120567,0.0070921985815602835,0.01773049645390071,0.0035460992907801418,0.024822695035460994,0.0035460992907801418,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.024822695035460994,0.03546099290780142,0.024822695035460994,0.01773049645390071
STK33 SKM DN,0.025362318840579712,0.010869565217391304,0.036231884057971016,0.010869565217391304,0.021739130434782608,0.014492753623188406,0.014492753623188406,0.007246376811594203,0.010869565217391304,0.014492753623188406,0.010869565217391304,0.018115942028985508,0.5579710144927537,0.3079710144927536,1.0,0.014492753623188406,0.036231884057971016,0.021739130434782608,0.014492753623188406,0.025362318840579712,0.04710144927536232,0.025362318840579712,0.010869565217391304,0.0,0.021739130434782608,0.018115942028985508,0.010869565217391304,0.014492753623188406,0.014492753623188406,0.021739130434782608,0.007246376811594203,0.014492753623188406,0.0036231884057971015,0.03260869565217391,0.025362318840579712,0.03985507246376811,0.03260869565217391,0.03260869565217391,0.036231884057971016,0.021739130434782608
CSR EARLY UP.V1 DN,0.007936507936507936,0.023809523809523808,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0,0.031746031746031744,0.007936507936507936,0.031746031746031744,0.031746031746031744,0.031746031746031744,1.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.03968253968253968,0.007936507936507936,0.07936507936507936,0.015873015873015872,0.007936507936507936,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.023809523809523808,0.023809523809523808,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.023809523809523808,0.007936507936507936
RAF UP.V1 DN,0.025906735751295335,0.02072538860103627,0.04145077720207254,0.010362694300518135,0.031088082901554404,0.010362694300518135,0.010362694300518135,0.0051813471502590676,0.02072538860103627,0.010362694300518135,0.06217616580310881,0.010362694300518135,0.05699481865284974,0.04145077720207254,0.05181347150259067,0.015544041450777202,1.0,0.34196891191709844,0.24870466321243523,0.27979274611398963,0.046632124352331605,0.015544041450777202,0.02072538860103627,0.02072538860103627,0.015544041450777202,0.05699481865284974,0.025906735751295335,0.025906735751295335,0.03626943005181347,0.031088082901554404,0.02072538860103627,0.015544041450777202,0.010362694300518135,0.02072538860103627,0.0,0.025906735751295335,0.0,0.025906735751295335,0.046632124352331605,0.05699481865284974
EGFR UP.V1 DN,0.02040816326530612,0.01020408163265306,0.03571428571428571,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.015306122448979591,0.01020408163265306,0.0663265306122449,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.030612244897959183,0.015306122448979591,0.336734693877551,1.0,0.34183673469387754,0.336734693877551,0.07653061224489796,0.01020408163265306,0.03571428571428571,0.01020408163265306,0.025510204081632654,0.0663265306122449,0.02040816326530612,0.02040816326530612,0.015306122448979591,0.025510204081632654,0.00510204081632653,0.025510204081632654,0.0,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.015306122448979591,0.02040816326530612,0.04591836734693878,0.025510204081632654
ERBB2 UP.V1 DN,0.03553299492385787,0.0,0.025380710659898477,0.005076142131979695,0.025380710659898477,0.025380710659898477,0.0,0.005076142131979695,0.025380710659898477,0.030456852791878174,0.08629441624365482,0.08121827411167512,0.04060913705583756,0.03553299492385787,0.02030456852791878,0.015228426395939087,0.2436548223350254,0.3401015228426396,1.0,0.3401015228426396,0.025380710659898477,0.015228426395939087,0.0,0.01015228426395939,0.015228426395939087,0.030456852791878174,0.015228426395939087,0.025380710659898477,0.015228426395939087,0.015228426395939087,0.01015228426395939,0.03553299492385787,0.01015228426395939,0.0,0.005076142131979695,0.01015228426395939,0.01015228426395939,0.02030456852791878,0.02030456852791878,0.01015228426395939
LTE2 UP.V1 DN,0.046153846153846156,0.02564102564102564,0.041025641025641026,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.020512820512820513,0.0,0.020512820512820513,0.015384615384615385,0.06666666666666667,0.03076923076923077,0.046153846153846156,0.035897435897435895,0.035897435897435895,0.02564102564102564,0.27692307692307694,0.3384615384615385,0.3435897435897436,1.0,0.041025641025641026,0.010256410256410256,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.06153846153846154,0.010256410256410256,0.020512820512820513,0.03076923076923077,0.02564102564102564,0.005128205128205128,0.020512820512820513,0.015384615384615385,0.005128205128205128,0.020512820512820513,0.0,0.041025641025641026,0.02564102564102564,0.02564102564102564,0.02564102564102564
HOXA9 DN.V1 DN,0.06842105263157895,0.02631578947368421,0.04736842105263158,0.010526315789473684,0.005263157894736842,0.021052631578947368,0.021052631578947368,0.031578947368421054,0.010526315789473684,0.021052631578947368,0.02631578947368421,0.0,0.031578947368421054,0.021052631578947368,0.06842105263157895,0.005263157894736842,0.04736842105263158,0.07894736842105263,0.02631578947368421,0.042105263157894736,1.0,0.07368421052631578,0.015789473684210527,0.005263157894736842,0.005263157894736842,0.015789473684210527,0.04736842105263158,0.04736842105263158,0.02631578947368421,0.03684210526315789,0.005263157894736842,0.08421052631578947,0.010526315789473684,0.042105263157894736,0.042105263157894736,0.010526315789473684,0.03684210526315789,0.010526315789473684,0.015789473684210527,0.031578947368421054
CSR LATE UP.V1 DN,0.04081632653061224,0.0,0.047619047619047616,0.006802721088435374,0.02040816326530612,0.0,0.006802721088435374,0.0,0.0,0.0,0.034013605442176874,0.013605442176870748,0.04081632653061224,0.034013605442176874,0.047619047619047616,0.06802721088435375,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.013605442176870748,0.09523809523809523,1.0,0.027210884353741496,0.013605442176870748,0.02040816326530612,0.027210884353741496,0.006802721088435374,0.0,0.02040816326530612,0.027210884353741496,0.013605442176870748,0.006802721088435374,0.0,0.027210884353741496,0.027210884353741496,0.034013605442176874,0.013605442176870748,0.034013605442176874,0.034013605442176874,0.05442176870748299
ESC V6.5 UP LATE.V1 UP,0.016304347826086956,0.0,0.021739130434782608,0.005434782608695652,0.021739130434782608,0.010869565217391304,0.021739130434782608,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.03804347826086957,0.010869565217391304,0.016304347826086956,0.02717391304347826,0.016304347826086956,0.010869565217391304,0.021739130434782608,0.03804347826086957,0.0,0.005434782608695652,0.016304347826086956,0.021739130434782608,1.0,0.021739130434782608,0.02717391304347826,0.03260869565217391,0.010869565217391304,0.016304347826086956,0.016304347826086956,0.02717391304347826,0.016304347826086956,0.010869565217391304,0.010869565217391304,0.05434782608695652,0.043478260869565216,0.03260869565217391,0.03260869565217391,0.016304347826086956,0.010869565217391304,0.02717391304347826
SIRNA EIF4GI UP,0.031578947368421054,0.021052631578947368,0.031578947368421054,0.010526315789473684,0.0,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.010526315789473684,0.0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.0,0.010526315789473684,0.042105263157894736,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.042105263157894736,1.0,0.021052631578947368,0.031578947368421054,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.031578947368421054,0.010526315789473684,0.010526315789473684,0.0
KRAS.KIDNEY UP.V1 UP,0.014285714285714285,0.02142857142857143,0.05,0.007142857142857143,0.02857142857142857,0.02142857142857143,0.02142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.02857142857142857,0.03571428571428571,0.04285714285714286,0.014285714285714285,0.02142857142857143,0.03571428571428571,0.02142857142857143,0.014285714285714285,0.007142857142857143,0.02142857142857143,0.03571428571428571,0.014285714285714285,1.0,0.07142857142857142,0.007142857142857143,0.02142857142857143,0.0,0.05,0.0,0.0,0.007142857142857143,0.03571428571428571,0.03571428571428571,0.02142857142857143,0.02142857142857143,0.05714285714285714,0.03571428571428571,0.05714285714285714
BMI1 DN.V1 DN,0.02142857142857143,0.014285714285714285,0.02857142857142857,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.0,0.007142857142857143,0.014285714285714285,0.02142857142857143,0.007142857142857143,0.03571428571428571,0.02857142857142857,0.03571428571428571,0.014285714285714285,0.07857142857142857,0.09285714285714286,0.04285714285714286,0.08571428571428572,0.02142857142857143,0.02857142857142857,0.04285714285714286,0.02142857142857143,0.07142857142857142,1.0,0.02857142857142857,0.02857142857142857,0.0,0.03571428571428571,0.0,0.0,0.014285714285714285,0.05,0.007142857142857143,0.02857142857142857,0.02142857142857143,0.014285714285714285,0.04285714285714286,0.05
IL15 UP.V1 UP,0.037037037037037035,0.037037037037037035,0.031746031746031744,0.0,0.031746031746031744,0.047619047619047616,0.037037037037037035,0.005291005291005291,0.037037037037037035,0.06349206349206349,0.015873015873015872,0.010582010582010581,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.005291005291005291,0.026455026455026454,0.021164021164021163,0.015873015873015872,0.010582010582010581,0.047619047619047616,0.005291005291005291,0.010582010582010581,0.005291005291005291,0.005291005291005291,0.021164021164021163,1.0,0.5714285714285714,0.0582010582010582,0.05291005291005291,0.010582010582010581,0.026455026455026454,0.0,0.021164021164021163,0.031746031746031744,0.021164021164021163,0.047619047619047616,0.042328042328042326,0.047619047619047616,0.042328042328042326
IL2 UP.V1 UP,0.03684210526315789,0.021052631578947368,0.042105263157894736,0.0,0.03684210526315789,0.03684210526315789,0.015789473684210527,0.005263157894736842,0.02631578947368421,0.05789473684210526,0.015789473684210527,0.005263157894736842,0.03684210526315789,0.021052631578947368,0.021052631578947368,0.015789473684210527,0.02631578947368421,0.021052631578947368,0.02631578947368421,0.021052631578947368,0.04736842105263158,0.0,0.015789473684210527,0.0,0.015789473684210527,0.021052631578947368,0.5684210526315789,1.0,0.05789473684210526,0.06842105263157895,0.010526315789473684,0.02631578947368421,0.0,0.031578947368421054,0.03684210526315789,0.02631578947368421,0.04736842105263158,0.03684210526315789,0.042105263157894736,0.05263157894736842
BMI1 DN.V1 UP,0.04081632653061224,0.10884353741496598,0.047619047619047616,0.027210884353741496,0.05442176870748299,0.027210884353741496,0.006802721088435374,0.047619047619047616,0.05442176870748299,0.006802721088435374,0.027210884353741496,0.0,0.027210884353741496,0.013605442176870748,0.027210884353741496,0.02040816326530612,0.047619047619047616,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.034013605442176874,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.07482993197278912,0.07482993197278912,1.0,0.047619047619047616,0.006802721088435374,0.027210884353741496,0.0,0.034013605442176874,0.047619047619047616,0.02040816326530612,0.061224489795918366,0.07482993197278912,0.061224489795918366,0.013605442176870748
LEF1 UP.V1 UP,0.010309278350515464,0.04639175257731959,0.015463917525773196,0.010309278350515464,0.030927835051546393,0.015463917525773196,0.010309278350515464,0.005154639175257732,0.020618556701030927,0.015463917525773196,0.03608247422680412,0.0,0.020618556701030927,0.02577319587628866,0.030927835051546393,0.010309278350515464,0.030927835051546393,0.02577319587628866,0.015463917525773196,0.02577319587628866,0.03608247422680412,0.020618556701030927,0.02577319587628866,0.0,0.03608247422680412,0.02577319587628866,0.05154639175257732,0.06701030927835051,0.03608247422680412,1.0,0.015463917525773196,0.041237113402061855,0.005154639175257732,0.061855670103092786,0.05670103092783505,0.04639175257731959,0.02577319587628866,0.03608247422680412,0.04639175257731959,0.04639175257731959
CORDENONSI YAP CONSERVED SIGNATURE,0.017543859649122806,0.0,0.05263157894736842,0.0,0.12280701754385964,0.05263157894736842,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.0,0.03508771929824561,0.0,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.05263157894736842,0.0,0.0,0.0,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.05263157894736842,1.0,0.10526315789473684,0.0,0.05263157894736842,0.03508771929824561,0.07017543859649122,0.03508771929824561,0.08771929824561403,0.10526315789473684,0.0
RPS14 DN.V1 DN,0.08602150537634409,0.03225806451612903,0.06989247311827956,0.016129032258064516,0.010752688172043012,0.021505376344086023,0.021505376344086023,0.04838709677419355,0.010752688172043012,0.053763440860215055,0.026881720430107527,0.021505376344086023,0.043010752688172046,0.03763440860215054,0.021505376344086023,0.005376344086021506,0.016129032258064516,0.026881720430107527,0.03763440860215054,0.021505376344086023,0.08602150537634409,0.005376344086021506,0.010752688172043012,0.0,0.0,0.0,0.026881720430107527,0.026881720430107527,0.021505376344086023,0.043010752688172046,0.03225806451612903,1.0,0.005376344086021506,0.010752688172043012,0.026881720430107527,0.016129032258064516,0.021505376344086023,0.0,0.016129032258064516,0.026881720430107527
EIF4E DN,0.04,0.02,0.0,0.0,0.02,0.02,0.03,0.0,0.02,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.0,0.02,0.03,0.02,0.0,0.02,0.02,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.01,1.0,0.03,0.05,0.03,0.04,0.04,0.03,0.07
ERBB2 UP.V1 UP,0.02631578947368421,0.03684210526315789,0.02631578947368421,0.010526315789473684,0.02631578947368421,0.021052631578947368,0.010526315789473684,0.0,0.005263157894736842,0.005263157894736842,0.02631578947368421,0.005263157894736842,0.042105263157894736,0.042105263157894736,0.04736842105263158,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.0,0.005263157894736842,0.042105263157894736,0.021052631578947368,0.05263157894736842,0.010526315789473684,0.02631578947368421,0.03684210526315789,0.021052631578947368,0.031578947368421054,0.02631578947368421,0.06315789473684211,0.015789473684210527,0.010526315789473684,0.015789473684210527,1.0,0.5,0.3,0.22631578947368422,0.06842105263157895,0.05263157894736842,0.06315789473684211
MEK UP.V1 UP,0.02564102564102564,0.03076923076923077,0.06666666666666667,0.010256410256410256,0.05641025641025641,0.020512820512820513,0.015384615384615385,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.046153846153846156,0.0,0.035897435897435895,0.041025641025641026,0.035897435897435895,0.005128205128205128,0.0,0.010256410256410256,0.005128205128205128,0.020512820512820513,0.041025641025641026,0.020512820512820513,0.041025641025641026,0.0,0.02564102564102564,0.005128205128205128,0.03076923076923077,0.035897435897435895,0.035897435897435895,0.05641025641025641,0.010256410256410256,0.02564102564102564,0.02564102564102564,0.48717948717948717,1.0,0.2358974358974359,0.24615384615384617,0.05641025641025641,0.06666666666666667,0.05641025641025641
LTE2 UP.V1 UP,0.02127659574468085,0.005319148936170213,0.0425531914893617,0.010638297872340425,0.010638297872340425,0.02127659574468085,0.005319148936170213,0.010638297872340425,0.0,0.005319148936170213,0.047872340425531915,0.010638297872340425,0.047872340425531915,0.0425531914893617,0.05851063829787234,0.010638297872340425,0.026595744680851064,0.005319148936170213,0.010638297872340425,0.0,0.010638297872340425,0.026595744680851064,0.031914893617021274,0.010638297872340425,0.015957446808510637,0.02127659574468085,0.02127659574468085,0.026595744680851064,0.015957446808510637,0.047872340425531915,0.02127659574468085,0.015957446808510637,0.015957446808510637,0.30319148936170215,0.24468085106382978,1.0,0.1702127659574468,0.05319148936170213,0.03723404255319149,0.047872340425531915
RAF UP.V1 UP,0.025906735751295335,0.015544041450777202,0.03626943005181347,0.0051813471502590676,0.031088082901554404,0.010362694300518135,0.015544041450777202,0.010362694300518135,0.015544041450777202,0.010362694300518135,0.046632124352331605,0.025906735751295335,0.04145077720207254,0.03626943005181347,0.046632124352331605,0.010362694300518135,0.0,0.015544041450777202,0.010362694300518135,0.04145077720207254,0.03626943005181347,0.010362694300518135,0.031088082901554404,0.015544041450777202,0.015544041450777202,0.015544041450777202,0.046632124352331605,0.046632124352331605,0.046632124352331605,0.025906735751295335,0.010362694300518135,0.02072538860103627,0.02072538860103627,0.22279792746113988,0.24870466321243523,0.16580310880829016,1.0,0.05181347150259067,0.07772020725388601,0.05181347150259067
