Pathway,ANTIGEN BINDING,IMMUNE RECEPTOR ACTIVITY,ATP DEPENDENT ACTIVITY ACTING ON DNA,DNA HELICASE ACTIVITY,CATALYTIC ACTIVITY ACTING ON DNA,NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",ISOMERASE ACTIVITY,ATP DEPENDENT ACTIVITY ACTING ON RNA,ATP HYDROLYSIS ACTIVITY,RIBONUCLEOPROTEIN COMPLEX BINDING,CATALYTIC ACTIVITY ACTING ON RNA,CATALYTIC ACTIVITY ACTING ON A TRNA,TRNA BINDING,"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY","TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",UNFOLDED PROTEIN BINDING,PROTEIN FOLDING CHAPERONE,ATP DEPENDENT PROTEIN FOLDING CHAPERONE,STRUCTURAL CONSTITUENT OF RIBOSOME,"PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY","ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY",PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,NUCLEOCYTOPLASMIC CARRIER ACTIVITY,NUCLEAR IMPORT SIGNAL RECEPTOR ACTIVITY,STRUCTURAL CONSTITUENT OF NUCLEAR PORE,MONOATOMIC CATION CHANNEL ACTIVITY,METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,TRANSPORTER REGULATOR ACTIVITY,SINGLE STRANDED DNA BINDING,DAMAGED DNA BINDING,TUBULIN BINDING,EXONUCLEASE ACTIVITY,NUCLEASE ACTIVITY,PHOSPHORIC DIESTER HYDROLASE ACTIVITY,HISTONE BINDING,CHROMATIN PROTEIN ADAPTOR ACTIVITY,SNORNA BINDING
RIBONUCLEOPROTEIN COMPLEX BINDING,0.0,0.0,0.027624309392265192,0.022099447513812154,0.04419889502762431,0.06629834254143646,0.06629834254143646,0.0718232044198895,0.049723756906077346,0.08839779005524862,1.0,0.1270718232044199,0.016574585635359115,0.03867403314917127,0.016574585635359115,0.022099447513812154,0.011049723756906077,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0,0.0055248618784530384,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.011049723756906077,0.016574585635359115,0.0055248618784530384,0.016574585635359115,0.0055248618784530384,0.027624309392265192,0.016574585635359115,0.06629834254143646,0.0,0.03314917127071823,0.022099447513812154,0.0
CATALYTIC ACTIVITY ACTING ON RNA,0.0,0.0,0.030303030303030304,0.027972027972027972,0.07459207459207459,0.1864801864801865,0.1864801864801865,0.20512820512820512,0.17715617715617715,0.17482517482517482,0.053613053613053616,1.0,0.3613053613053613,0.11888111888111888,0.13752913752913754,0.16083916083916083,0.004662004662004662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018648018648018648,0.004662004662004662,0.004662004662004662,0.11888111888111888,0.31934731934731936,0.006993006993006993,0.0,0.002331002331002331,0.011655011655011656
CATALYTIC ACTIVITY ACTING ON A TRNA,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0,0.05161290322580645,0.0,0.0,0.01935483870967742,1.0,1.0,0.3096774193548387,0.17419354838709677,0.21935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12258064516129032,0.0,0.0,0.0,0.0
TRNA BINDING,0.0,0.0,0.012345679012345678,0.012345679012345678,0.037037037037037035,0.024691358024691357,0.024691358024691357,0.04938271604938271,0.012345679012345678,0.024691358024691357,0.08641975308641975,0.6296296296296297,0.5925925925925926,1.0,0.1728395061728395,0.1728395061728395,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0
"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY",0.0,0.0,0.0,0.0,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.017964071856287425,0.3532934131736527,0.16167664670658682,0.08383233532934131,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.005988023952095809,0.0,0.005988023952095809,0.0,0.041916167664670656,0.041916167664670656,0.0
"TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",0.0,0.0,0.0,0.0,0.032407407407407406,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.3194444444444444,0.1574074074074074,0.06481481481481481,0.7731481481481481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.009259259259259259,0.0,0.004629629629629629,0.0,0.032407407407407406,0.041666666666666664,0.0
UNFOLDED PROTEIN BINDING,0.008130081300813009,0.0,0.008130081300813009,0.008130081300813009,0.016260162601626018,0.008130081300813009,0.008130081300813009,0.056910569105691054,0.0,0.2845528455284553,0.016260162601626018,0.016260162601626018,0.0,0.0,0.0,0.0,1.0,0.3902439024390244,0.2764227642276423,0.0,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.008130081300813009,0.0,0.0,0.008130081300813009,0.008130081300813009,0.0,0.008130081300813009,0.0,0.024390243902439025,0.0,0.016260162601626018,0.0,0.024390243902439025,0.0,0.0
PROTEIN FOLDING CHAPERONE,0.012048192771084338,0.012048192771084338,0.0,0.0,0.012048192771084338,0.0,0.0,0.04819277108433735,0.0,0.40963855421686746,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.5783132530120482,1.0,0.4819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.012048192771084338,0.012048192771084338,0.0,0.012048192771084338,0.0,0.024096385542168676,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.024096385542168676,0.0,0.0
ATP DEPENDENT PROTEIN FOLDING CHAPERONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.85,0.025,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.025,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
STRUCTURAL CONSTITUENT OF RIBOSOME,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.011695906432748537,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.005847953216374269,0.0,0.005847953216374269,0.0,0.0,0.0,0.0
"PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.006060606060606061,0.0,0.41818181818181815,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,1.0,1.0,0.4,0.703030303030303,0.5454545454545454,0.0,0.0,0.0,0.03636363636363636,0.15151515151515152,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,0.010917030567685589,0.0,0.0,0.0,0.0,0.0,0.002183406113537118,0.002183406113537118,0.0,0.15065502183406113,0.002183406113537118,0.0,0.0,0.0,0.0,0.0,0.002183406113537118,0.0,0.0,0.0,0.36026200873362446,1.0,0.14410480349344978,0.25327510917030566,0.3406113537117904,0.0,0.0,0.0,0.034934497816593885,0.3537117903930131,0.019650655021834062,0.0,0.0,0.004366812227074236,0.0,0.0,0.0,0.0,0.0,0.0
"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9393939393939394,0.9393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5344827586206896,1.0,0.7672413793103449,0.0,0.0,0.0,0.05172413793103448,0.21551724137931033,0.04310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374331550802139,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48128342245989303,0.8342245989304813,0.3315508021390374,0.47593582887700536,1.0,0.0,0.0,0.0,0.16042780748663102,0.19786096256684493,0.0106951871657754,0.0,0.0,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEOCYTOPLASMIC CARRIER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6470588235294118,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0
NUCLEAR IMPORT SIGNAL RECEPTOR ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
STRUCTURAL CONSTITUENT OF NUCLEAR PORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
MONOATOMIC CATION CHANNEL ACTIVITY,0.0,0.0,0.0029411764705882353,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0,0.014705882352941176,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0029411764705882353,0.0029411764705882353,0.0029411764705882353,0.0,0.01764705882352941,0.047058823529411764,0.0,0.01764705882352941,0.08823529411764706,0.0,0.0,0.0,1.0,0.7970588235294118,0.15294117647058825,0.0,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0022222222222222222,0.0,0.05555555555555555,0.36,0.0,0.05555555555555555,0.08222222222222222,0.0,0.0,0.0,0.6022222222222222,1.0,0.13111111111111112,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
TRANSPORTER REGULATOR ACTIVITY,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.00510204081632653,0.015306122448979591,0.0,0.030612244897959183,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.04591836734693878,0.0,0.025510204081632654,0.01020408163265306,0.0,0.0,0.0,0.2653061224489796,0.3010204081632653,1.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.015306122448979591,0.01020408163265306,0.0,0.0
SINGLE STRANDED DNA BINDING,0.016260162601626018,0.0,0.2601626016260163,0.17073170731707318,0.3983739837398374,0.21951219512195122,0.21951219512195122,0.22764227642276422,0.032520325203252036,0.2601626016260163,0.024390243902439025,0.06504065040650407,0.0,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17886178861788618,0.04065040650406504,0.04065040650406504,0.14634146341463414,0.016260162601626018,0.008130081300813009,0.016260162601626018,0.0
DAMAGED DNA BINDING,0.0,0.0,0.1506849315068493,0.1095890410958904,0.547945205479452,0.1095890410958904,0.1095890410958904,0.1095890410958904,0.0,0.136986301369863,0.0136986301369863,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3013698630136986,1.0,0.0684931506849315,0.0958904109589041,0.2876712328767123,0.0136986301369863,0.0273972602739726,0.0684931506849315,0.0273972602739726
TUBULIN BINDING,0.0,0.0,0.007537688442211055,0.002512562814070352,0.02512562814070352,0.005025125628140704,0.135678391959799,0.135678391959799,0.002512562814070352,0.11557788944723618,0.01256281407035176,0.005025125628140704,0.0,0.0,0.002512562814070352,0.005025125628140704,0.007537688442211055,0.005025125628140704,0.005025125628140704,0.002512562814070352,0.0,0.005025125628140704,0.0,0.0,0.002512562814070352,0.0,0.0,0.002512562814070352,0.002512562814070352,0.007537688442211055,0.01507537688442211,0.01256281407035176,0.01256281407035176,1.0,0.002512562814070352,0.01507537688442211,0.002512562814070352,0.010050251256281407,0.005025125628140704,0.0
EXONUCLEASE ACTIVITY,0.0,0.0,0.05555555555555555,0.044444444444444446,0.4111111111111111,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.05555555555555555,0.03333333333333333,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.07777777777777778,0.011111111111111112,1.0,1.0,0.1,0.011111111111111112,0.0,0.011111111111111112
NUCLEASE ACTIVITY,0.0,0.0,0.05263157894736842,0.03508771929824561,0.38596491228070173,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.021929824561403508,0.043859649122807015,0.05263157894736842,0.6008771929824561,0.08333333333333333,0.013157894736842105,0.0043859649122807015,0.0043859649122807015,0.008771929824561403,0.0043859649122807015,0.0,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.09210526315789473,0.02631578947368421,0.39473684210526316,1.0,0.04824561403508772,0.008771929824561403,0.0,0.013157894736842105
PHOSPHORIC DIESTER HYDROLASE ACTIVITY,0.0,0.02247191011235955,0.0,0.0,0.07865168539325842,0.0,0.0,0.011235955056179775,0.0,0.011235955056179775,0.0,0.033707865168539325,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.02247191011235955,0.011235955056179775,0.011235955056179775,0.10112359550561797,0.12359550561797752,1.0,0.0,0.0,0.0
HISTONE BINDING,0.0,0.0,0.09714285714285714,0.017142857142857144,0.10857142857142857,0.045714285714285714,0.045714285714285714,0.045714285714285714,0.0,0.10285714285714286,0.03428571428571429,0.0,0.0,0.0,0.04,0.04,0.017142857142857144,0.011428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011428571428571429,0.011428571428571429,0.0,0.0,0.0,0.011428571428571429,0.005714285714285714,0.011428571428571429,0.022857142857142857,0.005714285714285714,0.011428571428571429,0.0,1.0,0.18857142857142858,0.0
CHROMATIN PROTEIN ADAPTOR ACTIVITY,0.0,0.0,0.07352941176470588,0.029411764705882353,0.08088235294117647,0.051470588235294115,0.051470588235294115,0.051470588235294115,0.0,0.0661764705882353,0.029411764705882353,0.007352941176470588,0.0,0.0,0.051470588235294115,0.0661764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.03676470588235294,0.014705882352941176,0.0,0.0,0.0,0.2426470588235294,1.0,0.0
SNORNA BINDING,0.0,0.0,0.03333333333333333,0.03333333333333333,0.1,0.1,0.1,0.13333333333333333,0.06666666666666667,0.1,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.1,0.0,0.0,0.0,1.0
