Pathway,ANTIGEN BINDING,IMMUNE RECEPTOR ACTIVITY,ATP DEPENDENT ACTIVITY ACTING ON DNA,DNA HELICASE ACTIVITY,CATALYTIC ACTIVITY ACTING ON DNA,NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",ISOMERASE ACTIVITY,ATP DEPENDENT ACTIVITY ACTING ON RNA,ATP HYDROLYSIS ACTIVITY,RIBONUCLEOPROTEIN COMPLEX BINDING,CATALYTIC ACTIVITY ACTING ON RNA,CATALYTIC ACTIVITY ACTING ON A TRNA,TRNA BINDING,"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY","TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",UNFOLDED PROTEIN BINDING,PROTEIN FOLDING CHAPERONE,ATP DEPENDENT PROTEIN FOLDING CHAPERONE,STRUCTURAL CONSTITUENT OF RIBOSOME,"PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY","ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY",PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,NUCLEOCYTOPLASMIC CARRIER ACTIVITY,NUCLEAR IMPORT SIGNAL RECEPTOR ACTIVITY,STRUCTURAL CONSTITUENT OF NUCLEAR PORE,MONOATOMIC CATION CHANNEL ACTIVITY,METAL ION TRANSMEMBRANE TRANSPORTER ACTIVITY,TRANSPORTER REGULATOR ACTIVITY,SINGLE STRANDED DNA BINDING,DAMAGED DNA BINDING,TUBULIN BINDING,EXONUCLEASE ACTIVITY,NUCLEASE ACTIVITY,PHOSPHORIC DIESTER HYDROLASE ACTIVITY,HISTONE BINDING,CHROMATIN PROTEIN ADAPTOR ACTIVITY,SNORNA BINDING
ANTIGEN BINDING,1.0,0.0872093023255814,0.0,0.0,0.0,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.005813953488372093,0.0,0.0,0.011627906976744186,0.029069767441860465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMMUNE RECEPTOR ACTIVITY,0.08379888268156424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111731843575419,0.0,0.0,0.0
ATP DEPENDENT ACTIVITY ACTING ON DNA,0.0,0.0,1.0,0.5371900826446281,1.0,0.6776859504132231,0.6776859504132231,0.6776859504132231,0.11570247933884298,0.7024793388429752,0.04132231404958678,0.10743801652892562,0.0,0.008264462809917356,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.2644628099173554,0.09090909090909091,0.024793388429752067,0.04132231404958678,0.09917355371900827,0.0,0.14049586776859505,0.08264462809917356,0.008264462809917356
DNA HELICASE ACTIVITY,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.8461538461538461,0.06153846153846154,0.18461538461538463,0.0,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3230769230769231,0.12307692307692308,0.015384615384615385,0.06153846153846154,0.12307692307692308,0.0,0.046153846153846156,0.06153846153846154,0.015384615384615385
CATALYTIC ACTIVITY ACTING ON DNA,0.0,0.0,0.4745098039215686,0.2549019607843137,1.0,0.3411764705882353,0.3411764705882353,0.34901960784313724,0.054901960784313725,0.3333333333333333,0.03137254901960784,0.12549019607843137,0.00784313725490196,0.011764705882352941,0.023529411764705882,0.027450980392156862,0.00784313725490196,0.00392156862745098,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.19215686274509805,0.1568627450980392,0.0392156862745098,0.1450980392156863,0.34509803921568627,0.027450980392156862,0.07450980392156863,0.043137254901960784,0.011764705882352941
NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,0.006289308176100629,0.0,0.5157232704402516,0.4088050314465409,0.5471698113207547,1.0,1.0,1.0,0.48427672955974843,0.8050314465408805,0.07547169811320754,0.5031446540880503,0.0,0.012578616352201259,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16981132075471697,0.050314465408805034,0.012578616352201259,0.03773584905660377,0.07547169811320754,0.0,0.050314465408805034,0.0440251572327044,0.018867924528301886
"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",0.0035211267605633804,0.0,0.2887323943661972,0.22887323943661972,0.30633802816901406,0.5598591549295775,1.0,1.0,0.2711267605633803,0.6690140845070423,0.04225352112676056,0.28169014084507044,0.0,0.007042253521126761,0.0,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0035211267605633804,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.09507042253521127,0.028169014084507043,0.19014084507042253,0.02112676056338028,0.04225352112676056,0.0,0.028169014084507043,0.02464788732394366,0.01056338028169014
ISOMERASE ACTIVITY,0.002257336343115124,0.0,0.18510158013544017,0.14672686230248308,0.20090293453724606,0.35891647855530473,0.6410835214446953,1.0,0.17381489841986456,0.43115124153498874,0.029345372460496615,0.1986455981941309,0.01805869074492099,0.009029345372460496,0.0,0.0,0.01580135440180587,0.009029345372460496,0.002257336343115124,0.0,0.002257336343115124,0.002257336343115124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006772009029345372,0.06320541760722348,0.01805869074492099,0.12189616252821671,0.013544018058690745,0.02708803611738149,0.002257336343115124,0.01805869074492099,0.01580135440180587,0.009029345372460496
ATP DEPENDENT ACTIVITY ACTING ON RNA,0.0,0.0,0.18181818181818182,0.16883116883116883,0.18181818181818182,1.0,1.0,1.0,1.0,0.987012987012987,0.11688311688311688,0.987012987012987,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.0,0.012987012987012988,0.03896103896103896,0.06493506493506493,0.0,0.0,0.0,0.025974025974025976
ATP HYDROLYSIS ACTIVITY,0.004987531172069825,0.0,0.2119700748129676,0.1371571072319202,0.2119700748129676,0.3192019950124688,0.47381546134663344,0.4763092269326683,0.18952618453865336,1.0,0.0399002493765586,0.18703241895261846,0.0,0.004987531172069825,0.0,0.0,0.08728179551122195,0.08478802992518704,0.08478802992518704,0.0,0.17206982543640897,0.17206982543640897,0.0,0.06733167082294264,0.017456359102244388,0.0,0.0,0.0,0.012468827930174564,0.04987531172069826,0.014962593516209476,0.0798004987531172,0.02493765586034913,0.11471321695760599,0.012468827930174564,0.02493765586034913,0.0024937655860349127,0.04488778054862843,0.022443890274314215,0.007481296758104738
