term_id	term_name	p_value	term_size	intersection_size	intersection
GOMF_CYTOKINE_RECEPTOR_ACTIVITY	GOMF_CYTOKINE_RECEPTOR_ACTIVITY	0.0002033551840835	94	55	IL22RA1,IL13RA1,GPR17,IL18R1,CCRL2,CX3CR1,CXCR3,IL1R1,IFNGR1,IFNAR1,IL12RB1,CD74,IFNGR2,CCR7,MPL,IL7R,IL17RE,EPOR,CCR5,IL2RG,CXCR6,IFNLR1,EBI3,LEPR,CD4,CCR9,IL23R,CSF2RB,IL2RB,XCR1,IL9R,IL6ST,CMKLR1,ACKR4,IL12RB2,IL17RC,GFRA3,GHR,IL17REL,IL17RA,IL18RAP,CNTFR,IL10RA,GFRA1,IL11RA,FLT3,CCR10,IL4R,CCR2,GFRA2,IL10RB,LIFR,IL1R2,ACKR2,IL6R
GOMF_UDP_GLUCOSYLTRANSFERASE_ACTIVITY	GOMF_UDP_GLUCOSYLTRANSFERASE_ACTIVITY	0.0057846610862894	12	7	UGGT2,UGGT1,POGLUT2,ALG5,POGLUT3,GYG2,GYG1
GOMF_CALCIUM_CHANNEL_REGULATOR_ACTIVITY	GOMF_CALCIUM_CHANNEL_REGULATOR_ACTIVITY	0.0010925408282814	53	17	PDE4D,HPCAL4,CALM3,FKBP1B,CALM2,NRXN1,CACNG7,ATP2A3,SRI,SGK1,PRKCB,NPY2R,NPY,CALM1,GSTM2,STIM1,CACNB1
GOMF_MIRNA_BINDING	GOMF_MIRNA_BINDING	0.0018620878536813	34	9	PNPT1,SOX4,DDX21,AGO2,ZNF697,ELAVL1,HNRNPA1,TARBP2,HNRNPA2B1
GOMF_LIGAND_GATED_CHANNEL_ACTIVITY	GOMF_LIGAND_GATED_CHANNEL_ACTIVITY	2.83642938663e-05	155	67	KCNT2,SCNN1D,KCNK2,KCNJ10,CHRNE,KCNJ9,BEST1,HCN4,P2RX5,RYR3,GRIA2,KCNH6,TTYH1,CATSPER2,BEST2,GLRA2,MCOLN3,CHRNA1,CLCA2,TRPM5,ZACN,ANO3,KCNJ12,SCNN1A,CNGA3,MCOLN2,GRIN1,GRIN2A,CNGA1,ANO7,ANO5,GRIK3,KCNJ2,GRID1,GABRR2,KCNMB2,HTR3A,GRIK4,GABRG2,GABRB3,TMEM63B,SCNN1G,GRIN3A,ANO10,TRPM4,GRIK1,ABCC8,KCNE2,GRIA3,P2RX6,MCOLN1,SCNN1B,GRIA4,CLCA1,TPCN1,RYR1,GABRG1,P2RX1,HTR3C,P2RX4,TRPV1,SLC17A7,P2RX2,CLCA4,HTR3E,CNGB1,BEST4
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS	0.0008503582876718	58	26	IVD,AKR1C3,PTGR2,PECR,RSAD1,DECR1,ACOXL,ACADL,ACAD8,AKR1C2,BLVRB,AKR1C1,DPYD,ACAD10,CRAT,SDHB,ACADSB,PTGR3,ACADVL,ACAA1,SDHD,SDHA,ACOX1,RETSAT,ACADM,ACADS
GOMF_UBIQUITIN_LIGASE_COMPLEX_SCAFFOLD_ACTIVITY	GOMF_UBIQUITIN_LIGASE_COMPLEX_SCAFFOLD_ACTIVITY	0.0049776235650032	10	7	CUL7,CUL4A,CUL4B,CUL2,CUL1,DDB1,CUL5
GOMF_RRNA_BINDING	GOMF_RRNA_BINDING	0.0006655577257666	68	37	RPF2,BRIX1,DDX21,NPM1,MRPS17,RRS1,UTP25,UTP23,MAP3K20,GTF3A,RPUSD4,FASTKD2,GTPBP10,PTCD1,RPL12,DDX55,PPAN,RPL37,RPS18,MRPL18,IMP4,NSUN4,RPL8,RPS13,ERI1,RPS4X,RPL23,RPS3,MRPS27,EMG1,DDX28,RPS5,RCC1L,RPLP0,RPL23A,PTCD3,MRPL11
GOMF_MONOCARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_MONOCARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.0006228833590092	63	28	SLC10A4,SLC16A7,SLC10A1,SLC5A12,SLC26A6,SLC16A1,SLC10A5,SLC5A8,SLC10A2,ABCC3,SLC7A14,SLCO1C1,SLC16A9,FABP2,ABCD2,ABCD4,CD36,SLC16A5,ABCD3,SLC51A,MPC1,SLC6A8,NHERF1,CEACAM1,ABCB11,SLC27A6,SLC51B,ABCG2
GOMF_CHANNEL_ACTIVATOR_ACTIVITY	GOMF_CHANNEL_ACTIVATOR_ACTIVITY	0.0179517428360255	12	7	ANK2,FHL1,LRRC55,AKAP9,SMDT1,NHERF1,ANK3
GOMF_PHOSPHOLIPASE_ACTIVITY	GOMF_PHOSPHOLIPASE_ACTIVITY	0.0001142731484943	105	35	ENPP2,PLA2G4F,SMPDL3B,LIPH,PNPLA2,PLCB2,CHRM5,PLCH2,PLAAT4,NAPEPLD,ABHD4,PLA2G6,GDE1,PLA2G2D,ABHD6,PLD1,SMPD3,PITPNM3,BDKRB2,PLAAT2,ABHD5,GDPD3,MGLL,PNPLA7,ABHD3,PLCG2,LIPC,SMPD1,CCL5,PLCD1,PLCD3,SMPDL3A,PLCE1,PLCL2,PRDX6
GOMF_SCAVENGER_RECEPTOR_ACTIVITY	GOMF_SCAVENGER_RECEPTOR_ACTIVITY	0.0039272860346184	30	13	ENPP2,ACKR4,LGALS3BP,COLEC12,CD6,SCARB2,ENPP1,MEGF10,STAB1,CD36,STAB2,SCARA5,CD163L1
GOMF_TRNA_PSEUDOURIDINE_SYNTHASE_ACTIVITY	GOMF_TRNA_PSEUDOURIDINE_SYNTHASE_ACTIVITY	0.0073033577961337	8	7	PUS7,PUS1,PUS3,RPUSD4,TRUB1,PUSL1,TRUB2
GOMF_DNA_EXONUCLEASE_ACTIVITY	GOMF_DNA_EXONUCLEASE_ACTIVITY	0.0020963240914849	27	10	NME1,AEN,EXO1,DCLRE1B,REXO2,FEN1,MRE11,DCLRE1A,APEX1,MGME1
GOMF_ALDOSE_REDUCTASE_NADPH_ACTIVITY	GOMF_ALDOSE_REDUCTASE_NADPH_ACTIVITY	0.0084572813663124	11	7	AKR1C3,AKR1B1,AKR7A2,AKR1C2,AKR1C1,AKR1B15,AKR1B10
GOMF_PYRUVATE_DEHYDROGENASE_ACETYL_TRANSFERRING_KINASE_ACTIVITY	GOMF_PYRUVATE_DEHYDROGENASE_ACETYL_TRANSFERRING_KINASE_ACTIVITY	0.0040294045298531	5	3	PDK1,PDK4,PDK2
GOMF_SOLUTE_POTASSIUM_ANTIPORTER_ACTIVITY	GOMF_SOLUTE_POTASSIUM_ANTIPORTER_ACTIVITY	0.0127708262741517	16	6	SLC9A3,SLC9A9,SLC24A4,SLC9A2,SLC9A1,SLC17A7
GOMF_PLATELET_DERIVED_GROWTH_FACTOR_BINDING	GOMF_PLATELET_DERIVED_GROWTH_FACTOR_BINDING	0.0040329521031313	11	7	COL4A1,COL1A1,COL5A1,COL1A2,COL3A1,PDGFRB,PDGFB
GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY	GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY	9.15513401474e-05	114	65	CHRFAM7A,GRIK2,KCNJ6,CHRNA10,KCNH3,HCN2,KCNN3,TPCN2,KCNJ5,CHRNA7,PKD2L1,TRPA1,GRIK5,P2RX7,KCNK6,KCNMA1,KCNT2,SCNN1D,KCNJ10,CHRNE,KCNJ9,HCN4,P2RX5,RYR3,GRIA2,KCNH6,CATSPER2,BEST2,MCOLN3,CHRNA1,TRPM5,ZACN,KCNJ12,SCNN1A,CNGA3,MCOLN2,GRIN1,GRIN2A,CNGA1,GRIK3,KCNJ2,KCNMB2,HTR3A,GRIK4,TMEM63B,SCNN1G,GRIN3A,ANO10,TRPM4,GRIK1,ABCC8,KCNE2,GRIA3,P2RX6,MCOLN1,SCNN1B,TPCN1,RYR1,P2RX1,HTR3C,P2RX4,TRPV1,P2RX2,HTR3E,CNGB1
GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.83064797e-08	390	146	KCNT2,SCNN1D,KCNK2,KCNC1,CACNA1F,KCNJ10,TRPV6,NIPAL2,KCNJ9,SLC17A1,HCN4,SLC38A4,RYR3,ATP2B3,TMBIM6,SCN5A,SLC40A1,KCNH6,KCNA2,SLC10A4,TTYH1,CACNA1I,MCU,CATSPER2,KCNB2,SCN3B,SLC10A1,SLC5A12,ATP1A3,ATP1A4,MCOLN3,KCNB1,SLC1A2,SLC30A1,KCNK3,SLC12A6,KCNA5,TRPM5,ATP12A,SLC10A5,SLC20A2,SCN7A,SLC30A8,KCNJ12,SCNN1A,TMBIM4,SLC5A7,KCNF1,CACNA1B,CACNA2D4,CNGA3,MCOLN2,GRIN1,SLC6A7,KCNK5,CACNA2D2,SLC4A10,GRIN2A,SLC5A8,SLC10A2,CNGA1,KCNK10,SLC20A1,SCN4B,TMCO1,SLC9A3,GRIK3,OPRM1,KCNJ2,NIPAL1,SLC9A9,SCN2B,KCNMB2,SCN11A,SLC5A10,SCN3A,CACNG7,SCN9A,KCNA6,ATP1A2,TRPM7,GRIK4,LRRC55,SLC6A9,ATP2B2,SLC6A15,ATP2B1,TRPC7,SCNN1G,KCNS3,TMEM175,PSEN1,GRIN3A,TRPM4,GRIK1,SLC24A4,ABCC8,SLC8B1,KCNE2,CACNA1A,KCNQ5,ATP2A3,NIPAL3,KCNG3,GRIA3,KCNG2,MCOLN1,SCNN1B,KCNIP4,SLC31A2,TPCN1,SLC6A8,SLC13A1,CNNM4,SLC41A2,KCNA3,SLC9A2,SLC1A1,SLC46A3,KCNH1,LETM1,RYR1,SLC6A2,GHITM,SLC30A4,P2RX1,TRPM6,SLC30A10,P2RX4,SLC4A4,TRPV1,PKD1L2,SLC23A1,SLC9A1,SLC17A4,CHP1,CACNG5,SLC8A3,CNNM2,TMEM94,SLC17A7,TMEM37,TRPV3,CACNB1,SLC17A8,CNGB1
