"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","NFKB1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.00","3","4","ARCHS4--Coexpression(rank=16); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=244); GTEx--Coexpression(rank=1185)","36","rank=4; score=5.0246; p=9.4488e-06","rank=36; score=0.009828","rank=17; score=76.087; p=3.8596e-08; adjP=2.8175e-06","rank=3; score=7.4134; p=3.8602e-08"
"2","JUN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.50","11","6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=13); ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=19)","30","rank=14; score=3.444; p=0.00035972","rank=30; score=0.00809","rank=23; score=31.251; p=2.1553e-05; adjP=0.00062891","rank=11; score=3.4056; p=0.00039302"
"3","FOS","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.75","1","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=223)","11","rank=49; score=1.6238; p=0.023779","rank=11; score=0.003367","rank=1; score=16.546; p=0.00021028; adjP=0.16621","rank=78; score=1.0743; p=0.084268"
"4","HIF1A","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.50","1","5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=86); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=883)","94","rank=1; score=8.7884; p=1.6277e-09","rank=94; score=0.02439","rank=27; score=62.702; p=6.8027e-07; adjP=7.1914e-05","rank=20; score=2.4031; p=0.0039526"
"5","ARNTL","DoRothEA;ChEA3;ENRICHR;TRRUST","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","42.75","18","4","ARCHS4--Coexpression(rank=23); Enrichr--Queries(rank=102); ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=374)","54","rank=18; score=3.1924; p=0.00064206","rank=54; score=0.01413","rank=77; score=123.42; p=0.0011458; adjP=0.015932","rank=22; score=2.3307; p=0.0046703"
"6","NFE2L2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.75","27","5","ARCHS4--Coexpression(rank=12); ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=62); Enrichr--Queries(rank=181); GTEx--Coexpression(rank=582)","27","rank=45; score=1.7924; p=0.01613","rank=27; score=0.007371","rank=50; score=26.526; p=0.015803; adjP=0.063903","rank=53; score=1.4793; p=0.033164"
"7","RELA","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.75","2","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=476); Enrichr--Queries(rank=568); ARCHS4--Coexpression(rank=1122)","165","rank=6; score=4.9014; p=1.2549e-05","rank=165; score=0.04268","rank=10; score=77.171; p=3.4296e-08; adjP=2.8175e-06","rank=2; score=7.4647; p=3.4301e-08"
"8","NFIC","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.50","7","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=546); Enrichr--Queries(rank=1055); ARCHS4--Coexpression(rank=1081)","65","rank=81; score=1.0421; p=0.090767","rank=65; score=0.01695","rank=7; score=29.944; p=0.00047343; adjP=0.063868","rank=37; score=1.9042; p=0.012468"
"9","EPAS1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.25","23","4","ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=20); Enrichr--Queries(rank=67); ARCHS4--Coexpression(rank=177)","49","rank=23; score=2.8328; p=0.0014697","rank=49; score=0.01245","rank=98; score=58.833; p=0.013355; adjP=0.063931","rank=39; score=1.8743; p=0.013356"
"10","ATF3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.00","2","6","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=4); ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=15); ENCODE--ChIP-seq(rank=67)","2","rank=41; score=1.8984; p=0.012635","rank=2; score=0.0006223","rank=35; score=28.093; p=1.6936e-06; adjP=0.00015486","rank=154; score=0.59602; p=0.2535"
