Pathway,ATRBRCA PATHWAY,BARD1 PATHWAY,RANMS PATHWAY,RAN PATHWAY,NPC PATHWAY,RB PATHWAY,CDC25 PATHWAY,G2 PATHWAY,PTC1 PATHWAY,EFP PATHWAY,CELLCYCLE PATHWAY,G1 PATHWAY,P27 PATHWAY,SKP2E2F PATHWAY,MCM PATHWAY,PROTEASOME PATHWAY,SM PATHWAY,ETC PATHWAY,ARF PATHWAY,ACH PATHWAY,NKCELLS PATHWAY,PPARA PATHWAY,BAD PATHWAY,NO2IL12 PATHWAY,IL12 PATHWAY,TCAPOPTOSIS PATHWAY,TCRA PATHWAY,CSK PATHWAY,TH1TH2 PATHWAY,TCR PATHWAY,PYK2 PATHWAY,AT1R PATHWAY,CXCR4 PATHWAY,KERATINOCYTE PATHWAY,CERAMIDE PATHWAY,CPSF PATHWAY,PGC1A PATHWAY,NUCLEARRS PATHWAY,PDZS PATHWAY,AHSP PATHWAY
CELLCYCLE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.08695652173913043,0.21739130434782608,0.21739130434782608,0.2608695652173913,1.0,0.6521739130434783,0.2608695652173913,0.2608695652173913,0.13043478260869565,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G1 PATHWAY,0.10714285714285714,0.0,0.0,0.0,0.0,0.25,0.10714285714285714,0.21428571428571427,0.07142857142857142,0.17857142857142858,0.5357142857142857,1.0,0.25,0.25,0.10714285714285714,0.0,0.0,0.0,0.17857142857142858,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P27 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.46153846153846156,0.5384615384615384,1.0,0.6153846153846154,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKP2E2F PATHWAY,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.6,0.7,0.8,1.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCM PATHWAY,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTEASOME PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETC PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARF PATHWAY,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,1.0,0.17647058823529413,0.17647058823529413,0.29411764705882354,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH PATHWAY,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,1.0,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0
NKCELLS PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,1.0,0.15,0.15,0.0,0.05,0.0,0.0,0.0,0.05,0.35,0.25,0.25,0.25,0.1,0.1,0.0,0.0,0.0,0.0,0.0
PPARA PATHWAY,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.0,0.09615384615384616,0.057692307692307696,0.057692307692307696,1.0,0.21153846153846154,0.019230769230769232,0.019230769230769232,0.0,0.0,0.1346153846153846,0.0,0.17307692307692307,0.09615384615384616,0.09615384615384616,0.1346153846153846,0.17307692307692307,0.057692307692307696,0.0,0.038461538461538464,0.057692307692307696,0.0,0.0
BAD PATHWAY,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.24,0.12,0.44,1.0,0.0,0.0,0.0,0.0,0.28,0.0,0.16,0.08,0.08,0.16,0.12,0.2,0.0,0.04,0.0,0.0,0.0
NO2IL12 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,1.0,0.8,0.4,0.3333333333333333,0.3333333333333333,0.2,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL12 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.631578947368421,1.0,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.15789473684210525,0.10526315789473684,0.0,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
TCAPOPTOSIS PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.5555555555555556,1.0,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
TCRA PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.2857142857142857,0.35714285714285715,1.0,0.9285714285714286,0.35714285714285715,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSK PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.3181818181818182,0.22727272727272727,0.18181818181818182,0.22727272727272727,0.5909090909090909,1.0,0.22727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TH1TH2 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.13043478260869565,0.21739130434782608,0.043478260869565216,0.21739130434782608,0.21739130434782608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0
TCR PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.06818181818181818,0.1590909090909091,0.20454545454545456,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.1590909090909091,0.13636363636363635,0.0,1.0,0.4090909090909091,0.4090909090909091,0.25,0.3181818181818182,0.18181818181818182,0.0,0.13636363636363635,0.0,0.0,0.0
PYK2 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.8148148148148148,0.4074074074074074,0.48148148148148145,0.25925925925925924,0.0,0.1111111111111111,0.0,0.0,0.0
AT1R PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.6666666666666666,0.8148148148148148,1.0,0.3333333333333333,0.4444444444444444,0.25925925925925924,0.0,0.1111111111111111,0.0,0.0,0.0
CXCR4 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.15789473684210525,0.2631578947368421,0.3684210526315789,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.5789473684210527,0.47368421052631576,1.0,0.47368421052631576,0.3157894736842105,0.0,0.0,0.0,0.0,0.0
KERATINOCYTE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.1956521739130435,0.06521739130434782,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.2826086956521739,0.2608695652173913,0.1956521739130435,1.0,0.2826086956521739,0.0,0.0,0.0,0.0,0.0
CERAMIDE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.38095238095238093,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6190476190476191,1.0,0.0,0.0,0.0,0.0,0.0
CPSF PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PGC1A PATHWAY,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0
NUCLEARRS PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,1.0,0.0,0.0
PDZS PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AHSP PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
