"TF","MVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF24","1.968883100565290034","1.968883100565290034","1.968883100565290034","Activated","79","viper","79","1.968883100565290034",NA,NA,"4","ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=983); Enrichr--Queries(rank=1325); ARCHS4--Coexpression(rank=1522)","1225","0.461299999999999988","ReMap ChIP-seq,0.4613"
"STAT5A","-1.922937476755588015","-1.922937476755588015","1.922937476755588015","Repressed","80","viper","80","1.922937476755588015",NA,NA,"6","ENCODE--ChIP-seq(rank=71); Literature--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=291); Enrichr--Queries(rank=603); GTEx--Coexpression(rank=1071); ARCHS4--Coexpression(rank=1329)","1175","0.429499999999999993","Enrichr Queries,0.4295"
"ETS1","-1.922847906466055079","-1.922847906466055079","1.922847906466055079","Repressed","81","viper","81","1.922847906466055079",NA,NA,"6","Enrichr--Queries(rank=39); ReMap--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=158); GTEx--Coexpression(rank=251); ARCHS4--Coexpression(rank=731)","118","0.027779999999999999","Enrichr Queries,0.02778"
"TFAP2C","-1.922116818812310779","-1.922116818812310779","1.922116818812310779","Repressed","82","viper","82","1.922116818812310779",NA,NA,"6","GTEx--Coexpression(rank=24); Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=161)","60","0.014930000000000001","GTEx Coexpression,0.01493"
"TFAP2A","-1.877744125435326428","-1.877744125435326428","1.877744125435326428","Repressed","83","viper","83","1.877744125435326428",NA,NA,"6","ENCODE--ChIP-seq(rank=39); GTEx--Coexpression(rank=98); ReMap--ChIP-seq(rank=113); Literature--ChIP-seq(rank=121); Enrichr--Queries(rank=129); ARCHS4--Coexpression(rank=599)","258","0.060979999999999999","GTEx Coexpression,0.06098"
"GATA4","-1.876767447415925716","-1.876767447415925716","1.876767447415925716","Repressed","84","viper","84","1.876767447415925716",NA,NA,"5","Literature--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=318); Enrichr--Queries(rank=698); GTEx--Coexpression(rank=1306)","671","0.195300000000000001","ARCHS4 Coexpression,0.1953"
"HSF1","-1.864382918856405835","-1.864382918856405835","1.864382918856405835","Repressed","85","viper","85","1.864382918856405835",NA,NA,"5","Literature--ChIP-seq(rank=101); ENCODE--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=247); ARCHS4--Coexpression(rank=1531); GTEx--Coexpression(rank=1558)","1422","0.615900000000000003","Literature ChIP-seq,0.6159"
"IRF3","-1.862176532361524028","-1.862176532361524028","1.862176532361524028","Repressed","86","viper","86","1.862176532361524028",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=202); Enrichr--Queries(rank=1239); ARCHS4--Coexpression(rank=1270); GTEx--Coexpression(rank=1279)","1488","0.680100000000000038","ReMap ChIP-seq,0.6801"
"TEAD1","1.795312491945991074","1.795312491945991074","1.795312491945991074","Activated","87","viper","87","1.795312491945991074",NA,NA,"4","ReMap--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=163); GTEx--Coexpression(rank=609)","40","0.010100000000000000","ReMap ChIP-seq,0.0101"
"RARA","-1.790316777133812653","-1.790316777133812653","1.790316777133812653","Repressed","88","viper","88","1.790316777133812653",NA,NA,"5","Literature--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=209); Enrichr--Queries(rank=542); ARCHS4--Coexpression(rank=1179); GTEx--Coexpression(rank=1201)","1105","0.386000000000000010","Enrichr Queries,0.386"
"USF1","-1.789238920367063779","-1.789238920367063779","1.789238920367063779","Repressed","89","viper","89","1.789238920367063779",NA,NA,"5","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=89); Enrichr--Queries(rank=1059); ARCHS4--Coexpression(rank=1426); GTEx--Coexpression(rank=1477)","925","0.299700000000000022","ReMap ChIP-seq,0.2997"
"HNF4A","-1.776119901681411317","-1.776119901681411317","1.776119901681411317","Repressed","90","viper","90","1.776119901681411317",NA,NA,"6","Literature--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=94); ARCHS4--Coexpression(rank=110); GTEx--Coexpression(rank=218); Enrichr--Queries(rank=541)","280","0.067570000000000005","ARCHS4 Coexpression,0.06757"
"MAFB","-1.746708158859002546","-1.746708158859002546","1.746708158859002546","Repressed","91","viper","91","1.746708158859002546",NA,NA,"4","ReMap--ChIP-seq(rank=50); GTEx--Coexpression(rank=214); Enrichr--Queries(rank=283); ARCHS4--Coexpression(rank=767)","492","0.133200000000000013","GTEx Coexpression,0.1332"
"IRF2","1.741536308190965165","1.741536308190965165","1.741536308190965165","Activated","92","viper","92","1.741536308190965165",NA,NA,"4","ReMap--ChIP-seq(rank=251); ARCHS4--Coexpression(rank=648); Enrichr--Queries(rank=852); GTEx--Coexpression(rank=1238)","1124","0.398000000000000020","ARCHS4 Coexpression,0.398"
"SRF","-1.716628752055340712","-1.716628752055340712","1.716628752055340712","Repressed","93","viper","93","1.716628752055340712",NA,NA,"6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=155); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=396); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=1566)","804","0.246400000000000008","GTEx Coexpression,0.2464"
"CEBPG","-1.703586832538254159","-1.703586832538254159","1.703586832538254159","Repressed","94","viper","94","1.703586832538254159",NA,NA,"4","ReMap--ChIP-seq(rank=75); Enrichr--Queries(rank=522); ARCHS4--Coexpression(rank=1482); GTEx--Coexpression(rank=1482)","820","0.252500000000000002","ReMap ChIP-seq,0.2525"
"MITF","1.695448992795372867","1.695448992795372867","1.695448992795372867","Activated","95","viper","95","1.695448992795372867",NA,NA,"5","Literature--ChIP-seq(rank=54); Enrichr--Queries(rank=114); ReMap--ChIP-seq(rank=267); ARCHS4--Coexpression(rank=690); GTEx--Coexpression(rank=1205)","329","0.081199999999999994","Enrichr Queries,0.0812"
"POU2F1","-1.654606426027017907","-1.654606426027017907","1.654606426027017907","Repressed","96","viper","96","1.654606426027017907",NA,NA,"4","ReMap--ChIP-seq(rank=283); GTEx--Coexpression(rank=443); Enrichr--Queries(rank=984); ARCHS4--Coexpression(rank=1213)","875","0.275700000000000001","GTEx Coexpression,0.2757"
"GRHL2","-1.621521126438709270","-1.621521126438709270","1.621521126438709270","Repressed","97","viper","97","1.621521126438709270",NA,NA,"5","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=27); Literature--ChIP-seq(rank=119)","3","0.000712300000000000","Enrichr Queries,7.123E-4"
"CREM","-1.612133902600426438","-1.612133902600426438","1.612133902600426438","Repressed","98","viper","98","1.612133902600426438",NA,NA,"5","Literature--ChIP-seq(rank=159); ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=228); ARCHS4--Coexpression(rank=655); GTEx--Coexpression(rank=1405)","576","0.162399999999999989","Enrichr Queries,0.1624"
"NR4A1","-1.583592544292933058","-1.583592544292933058","1.583592544292933058","Repressed","99","viper","99","1.583592544292933058",NA,NA,"4","ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=202); ARCHS4--Coexpression(rank=266); GTEx--Coexpression(rank=386)","519","0.143900000000000000","Enrichr Queries,0.1439"
