"TF","MVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ELF3","-2.430387771196153235","-2.430387771196153235","2.430387771196153235","Repressed","58","viper","58","2.430387771196153235",NA,NA,"4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=14); ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=42)","14","0.003367000000000000","ReMap ChIP-seq,0.003367"
"STAT2","2.396128119043850813","2.396128119043850813","2.396128119043850813","Activated","59","viper","59","2.396128119043850813",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=876); GTEx--Coexpression(rank=974); ARCHS4--Coexpression(rank=1353)","1218","0.457899999999999974","ReMap ChIP-seq,0.4579"
"PKNOX1","-2.327789811209932225","-2.327789811209932225","2.327789811209932225","Repressed","60","viper","60","2.327789811209932225",NA,NA,"4","ReMap--ChIP-seq(rank=264); ARCHS4--Coexpression(rank=405); GTEx--Coexpression(rank=551); Enrichr--Queries(rank=659)","810","0.248799999999999993","ARCHS4 Coexpression,0.2488"
"PDX1","2.327426148796640337","2.327426148796640337","2.327426148796640337","Activated","61","viper","61","2.327426148796640337",NA,NA,"5","Literature--ChIP-seq(rank=141); ReMap--ChIP-seq(rank=219); ARCHS4--Coexpression(rank=283); Enrichr--Queries(rank=928); GTEx--Coexpression(rank=1199)","611","0.173800000000000010","ARCHS4 Coexpression,0.1738"
"NCOA2","2.321407354664336342","2.321407354664336342","2.321407354664336342","Activated","62","viper","62","2.321407354664336342",NA,NA,"4","ReMap--ChIP-seq(rank=158); GTEx--Coexpression(rank=281); ARCHS4--Coexpression(rank=828); Enrichr--Queries(rank=912)","613","0.174900000000000000","GTEx Coexpression,0.1749"
"ZBTB33","2.313853608867839196","2.313853608867839196","2.313853608867839196","Activated","63","viper","63","2.313853608867839196",NA,NA,"5","ENCODE--ChIP-seq(rank=70); GTEx--Coexpression(rank=144); ReMap--ChIP-seq(rank=226); Enrichr--Queries(rank=1276); ARCHS4--Coexpression(rank=1403)","357","0.089609999999999995","GTEx Coexpression,0.08961"
"E2F6","2.312518636245959325","2.312518636245959325","2.312518636245959325","Activated","64","viper","64","2.312518636245959325",NA,NA,"5","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=834); ARCHS4--Coexpression(rank=1128); GTEx--Coexpression(rank=1413)","1063","0.363599999999999979","ReMap ChIP-seq,0.3636"
"TAL1","2.294316903608722757","2.294316903608722757","2.294316903608722757","Activated","65","viper","65","2.294316903608722757",NA,NA,"6","ENCODE--ChIP-seq(rank=44); Literature--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=732); Enrichr--Queries(rank=1194); GTEx--Coexpression(rank=1239)","1081","0.372900000000000009","ENCODE ChIP-seq,0.3729"
"ARID3A","-2.289703747732524608","-2.289703747732524608","2.289703747732524608","Repressed","66","viper","66","2.289703747732524608",NA,NA,"5","ENCODE--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=230); Enrichr--Queries(rank=549); ARCHS4--Coexpression(rank=1033); GTEx--Coexpression(rank=1072)","1115","0.391000000000000014","Enrichr Queries,0.391"
"HMBOX1","-2.275204458682628772","-2.275204458682628772","2.275204458682628772","Repressed","67","viper","67","2.275204458682628772",NA,NA,"4","ReMap--ChIP-seq(rank=101); Enrichr--Queries(rank=843); ARCHS4--Coexpression(rank=850); GTEx--Coexpression(rank=1142)","1018","0.340100000000000013","ReMap ChIP-seq,0.3401"
