"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.333333333333333","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=1; score=14.69; p=2.0406e-15","rank=2; score=8.9013; direction=Repressed","rank=1; score=7.8804; p=3.2645e-15; direction=Repressed"
"2","MAFK","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","24.333333333333332","10","5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=304); Enrichr--Queries(rank=472); ARCHS4--Coexpression(rank=1352)","658","rank=10; score=5.6693; p=2.1414e-06","rank=12; score=5.5668; direction=Activated","rank=51; score=2.9151; p=0.0035552; direction=Activated"
"3","CEBPG","DoRothEA;VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","28.666666666666668","21","4","ReMap--ChIP-seq(rank=235); Enrichr--Queries(rank=308); ARCHS4--Coexpression(rank=1214); GTEx--Coexpression(rank=1385)","743","rank=36; score=2.9543; p=0.001111","rank=21; score=4.9246; direction=Activated","rank=29; score=3.5289; p=0.00041723; direction=Activated"
"4","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.333333333333336","8","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=8; score=6.2274; p=5.9234e-07","rank=69; score=3.3454; direction=Repressed","rank=17; score=3.9867; p=6.6989e-05; direction=Repressed"
"5","FOXO4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.666666666666664","16","3","Enrichr--Queries(rank=364); GTEx--Coexpression(rank=913); ARCHS4--Coexpression(rank=1246)","837","rank=51; score=2.3342; p=0.0046324","rank=55; score=3.6742; direction=Activated","rank=16; score=4.0107; p=6.0528e-05; direction=Activated"
"6","BCL6","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.000000000000000","38","5","ReMap--ChIP-seq(rank=84); Literature--ChIP-seq(rank=97); Enrichr--Queries(rank=135); GTEx--Coexpression(rank=604); ARCHS4--Coexpression(rank=849)","375","rank=38; score=2.8698; p=0.0013495","rank=45; score=3.8731; direction=Repressed","rank=70; score=2.7451; p=0.0060494; direction=Activated"
"7","TEAD4","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","56.333333333333329","6","6","ENCODE--ChIP-seq(rank=24); Enrichr--Queries(rank=34); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=94); GTEx--Coexpression(rank=1105)","87","rank=7; score=6.364; p=4.3253e-07","rank=6; score=6.5789; direction=Activated","rank=156; score=1.9938; p=0.046175; direction=Activated"
"8","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.000000000000000","3","4","Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=579)","497","rank=13; score=5.0753; p=8.4079e-06","rank=158; score=1.4819; direction=Activated","rank=3; score=5.5456; p=2.9288e-08; direction=Activated"
"9","IRF9","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.333333333333336","4","4","ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=341); Enrichr--Queries(rank=353); GTEx--Coexpression(rank=465)","711","rank=70; score=1.8279; p=0.014863","rank=107; score=2.5143; direction=Activated","rank=4; score=5.3966; p=6.791e-08; direction=Activated"
"10","RARA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.000000000000000","28","5","ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=317); GTEx--Coexpression(rank=612); ARCHS4--Coexpression(rank=800)","496","rank=125; score=0.99984; p=0.10004","rank=30; score=4.5301; direction=Activated","rank=28; score=3.596; p=0.00032309; direction=Activated"
