"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","EGR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.00","4","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=58); Enrichr--Queries(rank=96); ARCHS4--Coexpression(rank=475)","5","rank=17; score=2.6581; p=0.0021972","rank=5; score=0.001245","rank=14; score=42.634; p=0.00018161; adjP=0.0028898","rank=4; score=3.7408; p=0.00018162"
"2","HIF1A","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.00","5","5","ARCHS4--Coexpression(rank=28); ReMap--ChIP-seq(rank=46); Literature--ChIP-seq(rank=66); GTEx--Coexpression(rank=226); Enrichr--Queries(rank=739)","80","rank=5; score=3.8097; p=0.00015499","rank=80; score=0.0172","rank=72; score=23.286; p=0.0028968; adjP=0.037107","rank=15; score=2.5381; p=0.0028968"
"3","FOSL2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.75","15","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=138); GTEx--Coexpression(rank=395); ARCHS4--Coexpression(rank=866)","41","rank=99; score=0.68524; p=0.20642","rank=41; score=0.008475","rank=15; score=20.04; p=0.00021942; adjP=0.037324","rank=128; score=0.533; p=0.29309"
"4","FOXO1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","76.00","13","5","Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=85); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=258); GTEx--Coexpression(rank=902)","213","rank=20; score=2.5422; p=0.0028697","rank=213; score=0.05221","rank=58; score=53.615; p=0.0019888; adjP=0.033225","rank=13; score=2.7014; p=0.0019889"
"5","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.50","28","6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=118); Enrichr--Queries(rank=365); GTEx--Coexpression(rank=437); ARCHS4--Coexpression(rank=560)","145","rank=28; score=2.009; p=0.0097955","rank=145; score=0.0339","rank=54; score=17.886; p=8.2978e-05; adjP=0.00065853","rank=119; score=0.59947; p=0.25149"
"6","ATF4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","87.25","9","4","GTEx--Coexpression(rank=100); ReMap--ChIP-seq(rank=257); Enrichr--Queries(rank=1350); ARCHS4--Coexpression(rank=1557)","247","rank=54; score=1.2957; p=0.050612","rank=247; score=0.06223","rank=39; score=48.863; p=0.0011236; adjP=0.02901","rank=9; score=2.9494; p=0.0011237"
"7","ZEB1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","87.25","28","5","ENCODE--ChIP-seq(rank=6); GTEx--Coexpression(rank=24); ARCHS4--Coexpression(rank=70); Enrichr--Queries(rank=71); ReMap--ChIP-seq(rank=188)","69","rank=128; score=0.533; p=0.29309","rank=69; score=0.01493","rank=28; score=19.638; p=0.0013361; adjP=0.13611","rank=124; score=0.58567; p=0.25962"
"8","JUN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","90.00","6","6","ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=45); GTEx--Coexpression(rank=56); ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=200); Enrichr--Queries(rank=219)","148","rank=58; score=1.2267; p=0.059327","rank=148; score=0.03485","rank=6; score=43.793; p=4.7757e-05; adjP=0.006591","rank=148; score=0.35262; p=0.44399"
"9","TCF4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","96.50","11","5","ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=48); Enrichr--Queries(rank=125); GTEx--Coexpression(rank=312)","127","rank=11; score=3.2869; p=0.00051655","rank=127; score=0.02948","rank=102; score=38.218; p=0.00099175; adjP=0.0049989","rank=146; score=0.35743; p=0.43911"
"10","FOSL1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.00","13","5","ARCHS4--Coexpression(rank=5); ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=132); GTEx--Coexpression(rank=240)","13","rank=107; score=0.64866; p=0.22456","rank=13; score=0.003071","rank=75; score=15.079; p=0.00024089; adjP=0.0016248","rank=197; score=0; p=1"
