"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=137); Enrichr--Queries(rank=292); GTEx--Coexpression(rank=1405)","369","rank=1; score=5.4811; direction=Repressed","rank=1; score=5.3654; p=8.0754e-08; direction=Repressed"
"2","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","6","6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=506); GTEx--Coexpression(rank=550); ARCHS4--Coexpression(rank=564)","965","rank=6; score=3.2071; direction=Repressed","rank=16; score=2.1736; p=0.029732; direction=Repressed"
"3","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.0","5","6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=68); GTEx--Coexpression(rank=76); ReMap--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=776); Enrichr--Queries(rank=936)","221","rank=25; score=1.9884; direction=Repressed","rank=5; score=2.9492; p=0.0031864; direction=Repressed"
"4","MYBL2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","27.5","20","6","ENCODE--ChIP-seq(rank=93); Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=96); GTEx--Coexpression(rank=322); Enrichr--Queries(rank=363); ARCHS4--Coexpression(rank=744)","788","rank=35; score=1.7116; direction=Repressed","rank=20; score=2.1544; p=0.031206; direction=Repressed"
"5","NFYA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.5","21","5","ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=58); GTEx--Coexpression(rank=403); ARCHS4--Coexpression(rank=527); Enrichr--Queries(rank=733)","551","rank=42; score=1.5853; direction=Repressed","rank=21; score=2.0966; p=0.036031; direction=Repressed"
"6","FOXM1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.0","10","6","ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=240); Enrichr--Queries(rank=501); GTEx--Coexpression(rank=759)","563","rank=10; score=2.774; direction=Repressed","rank=56; score=1.7516; p=0.079838; direction=Repressed"
"7","KLF13","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","42.5","27","4","ARCHS4--Coexpression(rank=28); ReMap--ChIP-seq(rank=245); Enrichr--Queries(rank=358); GTEx--Coexpression(rank=523)","85","rank=27; score=1.9842; direction=Activated","rank=58; score=1.7413; p=0.081623; direction=Activated"
"8","TP73","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","46.0","27","3","GTEx--Coexpression(rank=42); ARCHS4--Coexpression(rank=75); Enrichr--Queries(rank=955)","129","rank=65; score=1.2464; direction=Repressed","rank=27; score=2.0169; p=0.043705; direction=Repressed"
"9","NRF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.5","45","5","ARCHS4--Coexpression(rank=38); ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=111); GTEx--Coexpression(rank=818); Enrichr--Queries(rank=923)","113","rank=56; score=1.3694; direction=Repressed","rank=45; score=1.8339; p=0.06667; direction=Repressed"
"10","HOXB13","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","52.5","19","4","ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=139); Enrichr--Queries(rank=1263); GTEx--Coexpression(rank=1575)","374","rank=86; score=1.0538; direction=Repressed","rank=19; score=2.1555; p=0.031123; direction=Repressed"
