Pathway,TAFAZZIN TARGET GENES,PRMT5 TARGET GENES,MED25 TARGET GENES,CSHL1 TARGET GENES,F10 TARGET GENES,ZSCAN18 TARGET GENES,NR0B1 TARGET GENES,CHAF1A TARGET GENES,PSMB5 TARGET GENES,RBM15 TARGET GENES,ADCYAP1 TARGET GENES,PHF21A TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",NR1I2 TARGET GENES,FOXO4 TARGET GENES,ZNF548 TARGET GENES,ZSCAN5C TARGET GENES,EBNA1BP2 TARGET GENES,SIGMAR1 TARGET GENES,ZNF584 TARGET GENES,HDAC8 TARGET GENES,TBPL1 TARGET GENES,TOX4 TARGET GENES,ZNF622 TARGET GENES,NPAT TARGET GENES,COIL TARGET GENES,ZNF746 TARGET GENES,ZNF677 TARGET GENES,ZNF354B TARGET GENES,ZNF529 TARGET GENES,ZNF354C TARGET GENES,PGM3 TARGET GENES,"METHYLCYTOSINE DIOXYGENASE TET UNIPROT
A0A023HHK9 UNREVIEWED TARGET GENES",HEY2 TARGET GENES,ARID3B TARGET GENES
TAFAZZIN TARGET GENES,1.0,0.02663934426229508,0.02459016393442623,0.01639344262295082,0.020491803278688523,0.004098360655737705,0.06352459016393443,0.004098360655737705,0.01639344262295082,0.00819672131147541,0.0,0.028688524590163935,0.04918032786885246,0.02459016393442623,0.028688524590163935,0.0,0.006147540983606557,0.030737704918032786,0.0,0.02459016393442623,0.00819672131147541,0.010245901639344262,0.012295081967213115,0.0020491803278688526,0.012295081967213115,0.0,0.006147540983606557,0.010245901639344262,0.014344262295081968,0.004098360655737705,0.0020491803278688526,0.028688524590163935,0.006147540983606557,0.004098360655737705,0.012295081967213115
PRMT5 TARGET GENES,0.12380952380952381,1.0,0.18095238095238095,0.05714285714285714,0.047619047619047616,0.009523809523809525,0.09523809523809523,0.009523809523809525,0.0761904761904762,0.01904761904761905,0.0,0.009523809523809525,0.01904761904761905,0.0380952380952381,0.01904761904761905,0.0,0.009523809523809525,0.01904761904761905,0.0,0.0380952380952381,0.01904761904761905,0.0761904761904762,0.02857142857142857,0.009523809523809525,0.05714285714285714,0.009523809523809525,0.0,0.0,0.009523809523809525,0.01904761904761905,0.0,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.02857142857142857
MED25 TARGET GENES,0.08450704225352113,0.13380281690140844,1.0,0.07042253521126761,0.04929577464788732,0.02112676056338028,0.11971830985915492,0.028169014084507043,0.11267605633802817,0.035211267605633804,0.0,0.04929577464788732,0.02112676056338028,0.014084507042253521,0.07746478873239436,0.007042253521126761,0.02112676056338028,0.028169014084507043,0.0,0.028169014084507043,0.007042253521126761,0.014084507042253521,0.02112676056338028,0.014084507042253521,0.06338028169014084,0.02112676056338028,0.007042253521126761,0.007042253521126761,0.0,0.007042253521126761,0.0,0.02112676056338028,0.02112676056338028,0.007042253521126761,0.014084507042253521
CSHL1 TARGET GENES,0.03162055335968379,0.023715415019762844,0.039525691699604744,1.0,0.02766798418972332,0.015810276679841896,0.03557312252964427,0.007905138339920948,0.02766798418972332,0.023715415019762844,0.0,0.019762845849802372,0.011857707509881422,0.019762845849802372,0.03557312252964427,0.007905138339920948,0.0,0.019762845849802372,0.0,0.023715415019762844,0.007905138339920948,0.02766798418972332,0.023715415019762844,0.003952569169960474,0.015810276679841896,0.003952569169960474,0.0,0.015810276679841896,0.0,0.0,0.0,0.015810276679841896,0.015810276679841896,0.011857707509881422,0.003952569169960474
F10 TARGET GENES,0.03460207612456748,0.01730103806228374,0.02422145328719723,0.02422145328719723,1.0,0.031141868512110725,0.031141868512110725,0.02768166089965398,0.01384083044982699,0.006920415224913495,0.0,0.03460207612456748,0.031141868512110725,0.01384083044982699,0.02768166089965398,0.0034602076124567475,0.006920415224913495,0.02422145328719723,0.0,0.01730103806228374,0.01384083044982699,0.01384083044982699,0.01384083044982699,0.006920415224913495,0.0034602076124567475,0.0,0.0034602076124567475,0.010380622837370242,0.01384083044982699,0.0,0.0,0.010380622837370242,0.006920415224913495,0.0,0.006920415224913495
ZSCAN18 TARGET GENES,0.041666666666666664,0.020833333333333332,0.0625,0.08333333333333333,0.1875,1.0,0.08333333333333333,0.08333333333333333,0.10416666666666667,0.08333333333333333,0.0,0.08333333333333333,0.0,0.020833333333333332,0.08333333333333333,0.0625,0.10416666666666667,0.020833333333333332,0.0,0.10416666666666667,0.020833333333333332,0.10416666666666667,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.0625,0.020833333333333332,0.0,0.0
NR0B1 TARGET GENES,0.08179419525065963,0.026385224274406333,0.044854881266490766,0.023746701846965697,0.023746701846965697,0.010554089709762533,1.0,0.04221635883905013,0.05013192612137203,0.0316622691292876,0.0,0.047493403693931395,0.052770448548812667,0.026385224274406333,0.018469656992084433,0.005277044854881266,0.021108179419525065,0.026385224274406333,0.0,0.0316622691292876,0.026385224274406333,0.0079155672823219,0.0079155672823219,0.0,0.013192612137203167,0.0,0.018469656992084433,0.023746701846965697,0.0,0.002638522427440633,0.0,0.055408970976253295,0.023746701846965697,0.010554089709762533,0.018469656992084433
CHAF1A TARGET GENES,0.02040816326530612,0.01020408163265306,0.04081632653061224,0.02040816326530612,0.08163265306122448,0.04081632653061224,0.16326530612244897,1.0,0.05102040816326531,0.061224489795918366,0.0,0.07142857142857142,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.0,0.01020408163265306,0.030612244897959183,0.030612244897959183,0.061224489795918366,0.04081632653061224,0.030612244897959183,0.01020408163265306,0.02040816326530612,0.030612244897959183,0.0,0.0,0.09183673469387756,0.0,0.0,0.0,0.030612244897959183,0.01020408163265306,0.01020408163265306,0.02040816326530612
PSMB5 TARGET GENES,0.02572347266881029,0.02572347266881029,0.05144694533762058,0.022508038585209004,0.012861736334405145,0.01607717041800643,0.06109324758842444,0.01607717041800643,1.0,0.1189710610932476,0.0,0.02572347266881029,0.006430868167202572,0.06109324758842444,0.02572347266881029,0.006430868167202572,0.00964630225080386,0.03215434083601286,0.003215434083601286,0.03215434083601286,0.01929260450160772,0.01929260450160772,0.05144694533762058,0.00964630225080386,0.06752411575562701,0.006430868167202572,0.01607717041800643,0.003215434083601286,0.0,0.006430868167202572,0.003215434083601286,0.06109324758842444,0.022508038585209004,0.006430868167202572,0.006430868167202572
RBM15 TARGET GENES,0.020202020202020204,0.010101010101010102,0.025252525252525252,0.030303030303030304,0.010101010101010102,0.020202020202020204,0.06060606060606061,0.030303030303030304,0.18686868686868688,1.0,0.0,0.03535353535353535,0.03535353535353535,0.020202020202020204,0.015151515151515152,0.005050505050505051,0.0,0.005050505050505051,0.0,0.045454545454545456,0.03535353535353535,0.015151515151515152,0.030303030303030304,0.0,0.04040404040404041,0.005050505050505051,0.015151515151515152,0.025252525252525252,0.010101010101010102,0.005050505050505051,0.0,0.030303030303030304,0.030303030303030304,0.005050505050505051,0.020202020202020204
ADCYAP1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
PHF21A TARGET GENES,0.048109965635738834,0.003436426116838488,0.024054982817869417,0.01718213058419244,0.03436426116838488,0.013745704467353952,0.061855670103092786,0.024054982817869417,0.027491408934707903,0.024054982817869417,0.006872852233676976,1.0,0.030927835051546393,0.027491408934707903,0.01718213058419244,0.0,0.010309278350515464,0.037800687285223365,0.0,0.037800687285223365,0.020618556701030927,0.010309278350515464,0.01718213058419244,0.0,0.041237113402061855,0.0,0.006872852233676976,0.010309278350515464,0.013745704467353952,0.003436426116838488,0.0,0.037800687285223365,0.013745704467353952,0.006872852233676976,0.010309278350515464
"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",0.057279236276849645,0.00477326968973747,0.007159904534606206,0.007159904534606206,0.021479713603818614,0.0,0.0477326968973747,0.002386634844868735,0.00477326968973747,0.016706443914081145,0.002386634844868735,0.021479713603818614,1.0,0.021479713603818614,0.01909307875894988,0.002386634844868735,0.016706443914081145,0.01909307875894988,0.002386634844868735,0.026252983293556086,0.00477326968973747,0.014319809069212411,0.014319809069212411,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.00477326968973747,0.00954653937947494,0.002386634844868735,0.0,0.0,0.014319809069212411,0.007159904534606206,0.00477326968973747,0.002386634844868735
NR1I2 TARGET GENES,0.034482758620689655,0.011494252873563218,0.005747126436781609,0.014367816091954023,0.011494252873563218,0.0028735632183908046,0.028735632183908046,0.0028735632183908046,0.05459770114942529,0.011494252873563218,0.0028735632183908046,0.022988505747126436,0.02586206896551724,1.0,0.06321839080459771,0.005747126436781609,0.017241379310344827,0.02586206896551724,0.0028735632183908046,0.028735632183908046,0.017241379310344827,0.008620689655172414,0.034482758620689655,0.0028735632183908046,0.05172413793103448,0.0,0.0028735632183908046,0.014367816091954023,0.02586206896551724,0.0,0.0,0.028735632183908046,0.0,0.0,0.008620689655172414
FOXO4 TARGET GENES,0.03617571059431524,0.00516795865633075,0.028423772609819122,0.023255813953488372,0.020671834625323,0.0103359173126615,0.01808785529715762,0.00516795865633075,0.020671834625323,0.007751937984496124,0.0,0.012919896640826873,0.020671834625323,0.056847545219638244,1.0,0.00516795865633075,0.015503875968992248,0.015503875968992248,0.0,0.025839793281653745,0.020671834625323,0.007751937984496124,0.041343669250646,0.0103359173126615,0.023255813953488372,0.002583979328165375,0.0103359173126615,0.012919896640826873,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.01808785529715762,0.0103359173126615,0.0103359173126615,0.002583979328165375
