"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","1","4","ARCHS4--Coexpression(rank=18); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=249); GTEx--Coexpression(rank=920)","51","rank=3; score=4.2065; p=6.216e-05","rank=1; score=6.2982; p=5.0324e-07"
"2","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","2","4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=631); ARCHS4--Coexpression(rank=844); Enrichr--Queries(rank=933)","1161","rank=2; score=4.4304; p=3.7119e-05","rank=3; score=4.8831; p=1.3089e-05"
"3","ERG","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.5","4","5","GTEx--Coexpression(rank=43); Literature--ChIP-seq(rank=108); Enrichr--Queries(rank=200); ARCHS4--Coexpression(rank=234); ReMap--ChIP-seq(rank=240)","121","rank=7; score=2.9613; p=0.0010931","rank=4; score=3.7268; p=0.00018759"
"4","USF2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","5","5","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=1089); ARCHS4--Coexpression(rank=1282); GTEx--Coexpression(rank=1598)","446","rank=5; score=3.2811; p=0.00052353","rank=7; score=3.009; p=0.0009796"
"5","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.0","2","6","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=26); GTEx--Coexpression(rank=427); ARCHS4--Coexpression(rank=488); Enrichr--Queries(rank=521)","197","rank=14; score=2.5157; p=0.0030499","rank=2; score=5.3608; p=4.357e-06"
"6","USF1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","10","5","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=638); Enrichr--Queries(rank=845); GTEx--Coexpression(rank=1118)","821","rank=10; score=2.7224; p=0.001895","rank=11; score=2.6019; p=0.0025011"
"7","RARA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","4","5","Literature--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=176); ARCHS4--Coexpression(rank=696); GTEx--Coexpression(rank=1127)","471","rank=4; score=3.2811; p=0.00052353","rank=20; score=2.2853; p=0.0051838"
"8","JUN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.5","9","6","GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=54); Enrichr--Queries(rank=74); ARCHS4--Coexpression(rank=120)","22","rank=9; score=2.7903; p=0.0016207","rank=16; score=2.4626; p=0.0034468"
"9","TFAP2A","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.0","11","6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=123); ReMap--ChIP-seq(rank=259); Enrichr--Queries(rank=313); GTEx--Coexpression(rank=319); ARCHS4--Coexpression(rank=651)","701","rank=11; score=2.6606; p=0.002185","rank=15; score=2.4928; p=0.0032148"
"10","STAT1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","8","6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","rank=8; score=2.8833; p=0.0013084","rank=19; score=2.2876; p=0.0051566"
