Pathway,CYTOPLASMIC RIBOSOMAL PROTEINS,"ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA",OXIDATIVE PHOSPHORYLATION,"MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",MRNA PROCESSING,MIRTARGETED GENES IN MUSCLE CELL,MIRTARGETED GENES IN LYMPHOCYTES,PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA,PYRIMIDINE METABOLISM,BASE EXCISION REPAIR,EGFEGFR SIGNALING,KIT RECEPTOR SIGNALING,B CELL RECEPTOR SIGNALING,GASTRIN SIGNALING,THYMIC STROMAL LYMPHOPOIETIN TSLP SIGNALING,PROLACTIN SIGNALING,CORTICOTROPINRELEASING HORMONE SIGNALING,HEPATITIS B INFECTION,IL6 SIGNALING,ERBB SIGNALING,RAS SIGNALING,ANGIOGENESIS OVERVIEW,MAPK SIGNALING,SEROTONIN HTR1 GROUP AND FOS PATHWAY,ANGIOPOIETINLIKE PROTEIN 8 REGULATORY PATHWAY,INSULIN SIGNALING,MICROTUBULE CYTOSKELETON REGULATION,WNT SIGNALING,DNA DAMAGE RESPONSE ONLY ATM DEPENDENT,1P36 COPY NUMBER VARIATION SYNDROME,CHEMOKINE SIGNALING,"GPR143 IN MELANOCYTES AND RETINAL PIGMENT
EPITHELIUM CELLS",G PROTEIN SIGNALING,PHOSPHOINOSITIDES METABOLISM,PHOSPHATIDYL INOSITOL PHOSPHATE PATHWAY,REGULATION OF ACTIN CYTOSKELETON,"FATTY ACID AND LIPOPROTEIN TRANSPORT IN
HEPATOCYTES","STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING",MITOCHONDRIAL COMPLEX IV ASSEMBLY,GLYCINE METABOLISM INCLUDING IMDS
CHEMOKINE SIGNALING,0.0,0.0,0.0,0.0,0.0,0.012121212121212121,0.01818181818181818,0.030303030303030304,0.0,0.0,0.20606060606060606,0.12727272727272726,0.17575757575757575,0.20606060606060606,0.08484848484848485,0.17575757575757575,0.1393939393939394,0.2,0.10303030303030303,0.18787878787878787,0.3393939393939394,0.09696969696969697,0.20606060606060606,0.06666666666666667,0.13333333333333333,0.17575757575757575,0.048484848484848485,0.048484848484848485,0.15151515151515152,0.012121212121212121,1.0,0.07272727272727272,0.21818181818181817,0.048484848484848485,0.048484848484848485,0.18787878787878787,0.030303030303030304,0.012121212121212121,0.0,0.0
"GPR143 IN MELANOCYTES AND RETINAL PIGMENT
EPITHELIUM CELLS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.0,0.0,0.23333333333333334,0.06666666666666667,0.0,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.16666666666666666,0.1,0.0,0.03333333333333333,0.06666666666666667,0.2,0.0,0.03333333333333333,0.4,1.0,0.4,0.13333333333333333,0.13333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0
G PROTEIN SIGNALING,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.06593406593406594,0.01098901098901099,0.0,0.0,0.08791208791208792,0.03296703296703297,0.03296703296703297,0.13186813186813187,0.0,0.01098901098901099,0.18681318681318682,0.06593406593406594,0.01098901098901099,0.06593406593406594,0.2967032967032967,0.02197802197802198,0.15384615384615385,0.07692307692307693,0.01098901098901099,0.08791208791208792,0.03296703296703297,0.07692307692307693,0.04395604395604396,0.02197802197802198,0.3956043956043956,0.13186813186813187,1.0,0.01098901098901099,0.01098901098901099,0.0989010989010989,0.01098901098901099,0.01098901098901099,0.0,0.0
PHOSPHOINOSITIDES METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.10204081632653061,0.04081632653061224,0.14285714285714285,0.04081632653061224,0.0,0.061224489795918366,0.04081632653061224,0.061224489795918366,0.0,0.10204081632653061,0.12244897959183673,0.04081632653061224,0.0,0.02040816326530612,0.16326530612244897,0.1836734693877551,0.02040816326530612,0.08163265306122448,0.20408163265306123,0.02040816326530612,0.16326530612244897,0.08163265306122448,0.02040816326530612,1.0,0.7142857142857143,0.30612244897959184,0.14285714285714285,0.02040816326530612,0.0,0.0
PHOSPHATIDYL INOSITOL PHOSPHATE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.10869565217391304,0.043478260869565216,0.15217391304347827,0.043478260869565216,0.0,0.06521739130434782,0.043478260869565216,0.06521739130434782,0.0,0.10869565217391304,0.13043478260869565,0.043478260869565216,0.0,0.021739130434782608,0.13043478260869565,0.17391304347826086,0.021739130434782608,0.08695652173913043,0.17391304347826086,0.0,0.17391304347826086,0.08695652173913043,0.021739130434782608,0.7608695652173914,1.0,0.2826086956521739,0.10869565217391304,0.021739130434782608,0.0,0.0
REGULATION OF ACTIN CYTOSKELETON,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.02666666666666667,0.03333333333333333,0.0,0.0,0.17333333333333334,0.06666666666666667,0.12,0.14,0.02666666666666667,0.10666666666666667,0.04666666666666667,0.10666666666666667,0.06,0.18,0.25333333333333335,0.11333333333333333,0.36,0.04666666666666667,0.14,0.15333333333333332,0.05333333333333334,0.02666666666666667,0.16,0.0,0.20666666666666667,0.0,0.06,0.1,0.08666666666666667,1.0,0.04666666666666667,0.013333333333333334,0.0,0.0
"FATTY ACID AND LIPOPROTEIN TRANSPORT IN
HEPATOCYTES",0.0,0.0,0.0,0.0,0.0,0.03412073490813648,0.03674540682414698,0.0026246719160104987,0.005249343832020997,0.0,0.05511811023622047,0.0026246719160104987,0.010498687664041995,0.010498687664041995,0.0,0.007874015748031496,0.007874015748031496,0.005249343832020997,0.0026246719160104987,0.007874015748031496,0.026246719160104987,0.0026246719160104987,0.010498687664041995,0.0,0.028871391076115485,0.03674540682414698,0.007874015748031496,0.007874015748031496,0.023622047244094488,0.010498687664041995,0.013123359580052493,0.0026246719160104987,0.0026246719160104987,0.01837270341207349,0.013123359580052493,0.01837270341207349,1.0,0.04461942257217848,0.0,0.0
"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING",0.0,0.0,0.0,0.0,0.0,0.07042253521126761,0.07042253521126761,0.028169014084507043,0.0,0.0,0.056338028169014086,0.014084507042253521,0.04225352112676056,0.09859154929577464,0.028169014084507043,0.04225352112676056,0.07042253521126761,0.04225352112676056,0.014084507042253521,0.04225352112676056,0.04225352112676056,0.028169014084507043,0.04225352112676056,0.028169014084507043,0.23943661971830985,0.08450704225352113,0.028169014084507043,0.0,0.04225352112676056,0.0,0.028169014084507043,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.23943661971830985,1.0,0.0,0.0
MITOCHONDRIAL COMPLEX IV ASSEMBLY,0.0,0.5294117647058824,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GLYCINE METABOLISM INCLUDING IMDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
