"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.6","2","4","ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=347); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=762)","767","rank=2; score=4.7495; p=1.7802e-05","rank=6; score=5.171; direction=Activated","rank=12; score=256.47; p=0.00019907; adjP=0.0044791","rank=6; score=3.701; p=0.00019908","rank=7; score=4.075; p=4.6014e-05; direction=Activated"
"2","CEBPB","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.4","1","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1006); ARCHS4--Coexpression(rank=1106)","90","rank=6; score=3.464; p=0.00034356","rank=29; score=3.3403; direction=Activated","rank=2; score=404.44; p=1.4748e-06; adjP=0.00013273","rank=1; score=5.8312; p=1.475e-06","rank=34; score=3.0361; p=0.0023965; direction=Activated"
"3","FOSL1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.6","6","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=102); ARCHS4--Coexpression(rank=135); Enrichr--Queries(rank=143)","66","rank=7; score=3.2508; p=0.00056132","rank=78; score=2.4007; direction=Activated","rank=6; score=714.41; p=7.6125e-06; adjP=0.0025019","rank=7; score=3.433; p=0.00036895","rank=45; score=2.8496; p=0.0043769; direction=Activated"
"4","NFKB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.2","4","4","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=52); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=224)","36","rank=4; score=3.7129; p=0.00019367","rank=26; score=3.519; direction=Activated","rank=17; score=51.836; p=0.00044883; adjP=0.0067324","rank=8; score=3.3479; p=0.00044884","rank=126; score=2.0029; p=0.045191; direction=Activated"
"5","JUNB","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.4","9","4","Enrichr--Queries(rank=21); ReMap--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=54)","57","rank=45; score=0.80714; p=0.15591","rank=39; score=3.0564; direction=Activated","rank=22; score=333.1; p=0.0010626; adjP=0.011881","rank=9; score=2.9736; p=0.0010627","rank=112; score=2.0767; p=0.037827; direction=Activated"
"6","ATF3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.2","5","6","ARCHS4--Coexpression(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=13); ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=45)","1","rank=39; score=0.82281; p=0.15038","rank=158; score=1.4409; direction=Repressed","rank=24; score=303.36; p=5.7567e-05; adjP=0.0048212","rank=10; score=2.9165; p=0.0012119","rank=5; score=4.5646; p=5.0034e-06; direction=Activated"
"7","PPARG","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.8","14","5","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=18); GTEx--Coexpression(rank=22); Enrichr--Queries(rank=303); ARCHS4--Coexpression(rank=308)","50","rank=14; score=2.1046; p=0.0078598","rank=108; score=2.0698; direction=Activated","rank=20; score=16.034; p=0.0062776; adjP=0.11489","rank=66; score=0.71305; p=0.19362","rank=31; score=3.0978; p=0.0019495; direction=Activated"
"8","FOS","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.2","3","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=41)","4","rank=5; score=3.6768; p=0.00021049","rank=65; score=2.6301; direction=Activated","rank=9; score=252.21; p=3.5259e-05; adjP=0.0010578","rank=3; score=4.4527; p=3.5261e-05","rank=189; score=1.7251; p=0.08451; direction=Activated"
"9","FOSL2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.6","3","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=66); GTEx--Coexpression(rank=443); ARCHS4--Coexpression(rank=799)","67","rank=20; score=1.4944; p=0.032036","rank=121; score=1.8982; direction=Activated","rank=3; score=106.53; p=4.1911e-05; adjP=0.0033529","rank=35; score=1.3217; p=0.047673","rank=109; score=2.0941; p=0.036247; direction=Activated"
"10","MYC","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.2","2","6","GTEx--Coexpression(rank=34); ENCODE--ChIP-seq(rank=44); Literature--ChIP-seq(rank=67); Enrichr--Queries(rank=125); ReMap--ChIP-seq(rank=284); ARCHS4--Coexpression(rank=1116)","86","rank=66; score=0.14337; p=0.71884","rank=2; score=6.181; direction=Repressed","rank=181; score=12.386; p=0.061712; adjP=0.17031","rank=69; score=0.55527; p=0.27844","rank=8; score=4.0265; p=5.6612e-05; direction=Repressed"
