"Feature","AUC","Direction"
"EMT3","0.5954478707782672",">"
"CellCycle_Reg","0.5657894736842115",">"
"Immune_Checkpoint","0.5548728649818375",">"
"EMT1","0.5516268645181235",">"
"Pan_F_TBRs","0.5319190045598572",">"
"Cell_cycle","0.5239392534198936",">"
"APM","0.5238233248319039",">"
"EMT2","0.5222969317567046",">"
"DDR","0.5182007883143978",">"
"Homologous_recombination","0.5014684287812041",">"
"CD_8_T_effector","0.4835574619367806","<"
"Mismatch_Repair","0.4818571759795968","<"
