Pathway,CELL SUBSTRATE JUNCTION,ADHERENS JUNCTION,CELL LEADING EDGE,CELL PROJECTION MEMBRANE,ACTIN BASED CELL PROJECTION,BASEMENT MEMBRANE,MEMBRANE MICRODOMAIN,PLASMA MEMBRANE RAFT,CAVEOLA,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,APICAL PLASMA MEMBRANE,EXTERNAL SIDE OF PLASMA MEMBRANE,PROTEIN FOLDING CHAPERONE COMPLEX,SECRETORY GRANULE MEMBRANE,AZUROPHIL GRANULE MEMBRANE,AZUROPHIL GRANULE,COATED VESICLE,CLATHRIN COATED VESICLE,TRANSPORT VESICLE,LATE ENDOSOME,LATE ENDOSOME MEMBRANE,SPLICEOSOMAL COMPLEX,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 1 SPLICEOSOME,CATALYTIC STEP 2 SPLICEOSOME,PRECATALYTIC SPLICEOSOME,NUCLEAR RIBONUCLEOPROTEIN GRANULE,NUCLEAR SPECK,CHROMOSOMAL REGION,CHROMOSOME CENTROMERIC REGION,CONDENSED CHROMOSOME,NUCLEAR CHROMOSOME,NUCLEAR REPLICATION FORK,REPLICATION FORK,PROTEIN DNA COMPLEX,KERATIN FILAMENT,PRERIBOSOME,ORGANELLAR RIBOSOME,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT
CELL SUBSTRATE JUNCTION,1.0,0.11510791366906475,0.23741007194244604,0.12709832134292565,0.05995203836930456,0.026378896882494004,0.09832134292565947,0.05275779376498801,0.0407673860911271,0.0815347721822542,0.05995203836930456,0.07434052757793765,0.07194244604316546,0.002398081534772182,0.07434052757793765,0.007194244604316547,0.023980815347721823,0.03597122302158273,0.03117505995203837,0.03836930455635491,0.02877697841726619,0.011990407673860911,0.007194244604316547,0.0,0.0,0.004796163069544364,0.0,0.019184652278177457,0.019184652278177457,0.019184652278177457,0.014388489208633094,0.014388489208633094,0.0,0.0,0.0,0.011990407673860911,0.002398081534772182,0.02877697841726619,0.0,0.0
ADHERENS JUNCTION,0.24120603015075376,1.0,0.19095477386934673,0.09045226130653267,0.08542713567839195,0.03015075376884422,0.11557788944723618,0.07035175879396985,0.05527638190954774,0.1407035175879397,0.12562814070351758,0.1306532663316583,0.02512562814070352,0.0,0.035175879396984924,0.0,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.020100502512562814,0.01507537688442211,0.01507537688442211,0.0,0.0,0.0,0.0,0.0,0.010050251256281407,0.005025125628140704,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.005025125628140704,0.0,0.0,0.0
CELL LEADING EDGE,0.22602739726027396,0.0867579908675799,1.0,0.4383561643835616,0.1735159817351598,0.01141552511415525,0.07990867579908675,0.0365296803652968,0.0273972602739726,0.0821917808219178,0.0639269406392694,0.091324200913242,0.03881278538812785,0.00228310502283105,0.0319634703196347,0.00228310502283105,0.00684931506849315,0.0365296803652968,0.0319634703196347,0.0502283105022831,0.02968036529680365,0.00684931506849315,0.00228310502283105,0.0,0.0,0.00228310502283105,0.0,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.0228310502283105,0.00228310502283105,0.0,0.0,0.0045662100456621,0.00228310502283105,0.0,0.0,0.0
CELL PROJECTION MEMBRANE,0.1464088397790055,0.049723756906077346,0.5303867403314917,1.0,0.2154696132596685,0.008287292817679558,0.09116022099447514,0.03038674033149171,0.027624309392265192,0.1408839779005525,0.12154696132596685,0.26795580110497236,0.06906077348066299,0.0027624309392265192,0.03867403314917127,0.0055248618784530384,0.008287292817679558,0.03867403314917127,0.027624309392265192,0.055248618784530384,0.022099447513812154,0.011049723756906077,0.0,0.0,0.0,0.0,0.0,0.008287292817679558,0.008287292817679558,0.008287292817679558,0.008287292817679558,0.008287292817679558,0.0,0.0,0.0,0.0027624309392265192,0.0027624309392265192,0.0,0.0,0.0
ACTIN BASED CELL PROJECTION,0.1091703056768559,0.07423580786026202,0.3318777292576419,0.3406113537117904,1.0,0.017467248908296942,0.08296943231441048,0.026200873362445413,0.013100436681222707,0.13537117903930132,0.1091703056768559,0.22707423580786026,0.08296943231441048,0.0,0.039301310043668124,0.008733624454148471,0.013100436681222707,0.034934497816593885,0.03056768558951965,0.048034934497816595,0.017467248908296942,0.0,0.0,0.0,0.0,0.0,0.0,0.013100436681222707,0.008733624454148471,0.017467248908296942,0.013100436681222707,0.004366812227074236,0.0,0.0,0.0,0.004366812227074236,0.0,0.004366812227074236,0.0,0.0
BASEMENT MEMBRANE,0.10891089108910891,0.0594059405940594,0.04950495049504951,0.0297029702970297,0.039603960396039604,1.0,0.04950495049504951,0.0297029702970297,0.019801980198019802,0.07920792079207921,0.0594059405940594,0.0297029702970297,0.039603960396039604,0.0,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.0,0.0,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEMBRANE MICRODOMAIN,0.13898305084745763,0.07796610169491526,0.11864406779661017,0.11186440677966102,0.06440677966101695,0.01694915254237288,1.0,0.4,0.27796610169491526,0.12203389830508475,0.11186440677966102,0.15593220338983052,0.15593220338983052,0.0,0.09491525423728814,0.023728813559322035,0.04067796610169491,0.03389830508474576,0.03389830508474576,0.06440677966101695,0.08135593220338982,0.030508474576271188,0.0,0.0,0.0,0.0,0.0,0.006779661016949152,0.006779661016949152,0.010169491525423728,0.010169491525423728,0.006779661016949152,0.0,0.0,0.0,0.003389830508474576,0.0,0.0,0.0,0.0
PLASMA MEMBRANE RAFT,0.1864406779661017,0.11864406779661017,0.13559322033898305,0.09322033898305085,0.05084745762711865,0.025423728813559324,1.0,1.0,0.6949152542372882,0.15254237288135594,0.1440677966101695,0.15254237288135594,0.13559322033898305,0.0,0.0847457627118644,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0423728813559322,0.09322033898305085,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0
CAVEOLA,0.2073170731707317,0.13414634146341464,0.14634146341463414,0.12195121951219512,0.036585365853658534,0.024390243902439025,1.0,1.0,1.0,0.14634146341463414,0.13414634146341464,0.17073170731707318,0.10975609756097561,0.0,0.04878048780487805,0.0,0.012195121951219513,0.024390243902439025,0.024390243902439025,0.06097560975609756,0.12195121951219512,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0
BASAL PART OF CELL,0.10461538461538461,0.08615384615384615,0.11076923076923077,0.15692307692307692,0.09538461538461539,0.024615384615384615,0.11076923076923077,0.055384615384615386,0.036923076923076927,1.0,0.8430769230769231,0.40307692307692305,0.07076923076923076,0.003076923076923077,0.043076923076923075,0.009230769230769232,0.015384615384615385,0.052307692307692305,0.04923076923076923,0.07076923076923076,0.033846153846153845,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.003076923076923077,0.003076923076923077,0.009230769230769232,0.009230769230769232,0.009230769230769232,0.0,0.0,0.0,0.003076923076923077,0.006153846153846154,0.0,0.0,0.0
