"TF","HT55","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ARNTL","5.099345923831749339","5.099345923831749339","5.099345923831749339","Activated","1","viper","1","5.099345923831749339",NA,NA,"4","ARCHS4--Coexpression(rank=147); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=210); GTEx--Coexpression(rank=380)","333","0.09029000000000000","ARCHS4 Coexpression,0.09029"
"HIF1A","5.081676425364662464","5.081676425364662464","5.081676425364662464","Activated","2","viper","2","5.081676425364662464",NA,NA,"5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=117); GTEx--Coexpression(rank=624); Enrichr--Queries(rank=834)","47","0.01220000000000000","Literature ChIP-seq,0.0122"
"ATF4","4.521880762150463973","4.521880762150463973","4.521880762150463973","Activated","3","viper","3","4.521880762150463973",NA,NA,"4","ReMap--ChIP-seq(rank=30); GTEx--Coexpression(rank=223); Enrichr--Queries(rank=926); ARCHS4--Coexpression(rank=1419)","368","0.10100000000000001","ReMap ChIP-seq,0.101"
"SREBF2","-4.419018398400074155","-4.419018398400074155","4.419018398400074155","Repressed","4","viper","4","4.419018398400074155",NA,NA,"6","ENCODE--ChIP-seq(rank=80); Literature--ChIP-seq(rank=124); ReMap--ChIP-seq(rank=218); GTEx--Coexpression(rank=549); Enrichr--Queries(rank=1102); ARCHS4--Coexpression(rank=1154)","991","0.34160000000000001","GTEx Coexpression,0.3416"
"ESR1","4.281358087999917572","4.281358087999917572","4.281358087999917572","Activated","5","viper","5","4.281358087999917572",NA,NA,"6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=617); GTEx--Coexpression(rank=709)","26","0.00673400000000000","ReMap ChIP-seq,0.006734"
"SP1","4.229902790606772101","4.229902790606772101","4.229902790606772101","Activated","6","viper","6","4.229902790606772101",NA,NA,"5","ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=819); Enrichr--Queries(rank=1180); ARCHS4--Coexpression(rank=1334)","1171","0.44109999999999999","ReMap ChIP-seq,0.4411"
"STAT3","3.893062518508390468","3.893062518508390468","3.893062518508390468","Activated","7","viper","7","3.893062518508390468",NA,NA,"6","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=397); Enrichr--Queries(rank=662); GTEx--Coexpression(rank=1017)","491","0.14410000000000001","ENCODE ChIP-seq,0.1441"
"SOX11","-3.859101602843253431","-3.859101602843253431","3.859101602843253431","Repressed","8","viper","8","3.859101602843253431",NA,NA,"5","Literature--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=206); ARCHS4--Coexpression(rank=545); Enrichr--Queries(rank=567); GTEx--Coexpression(rank=706)","972","0.33479999999999999","ARCHS4 Coexpression,0.3348"
"TP53","3.854039853851135788","3.854039853851135788","3.854039853851135788","Activated","9","viper","9","3.854039853851135788",NA,NA,"5","Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=805); Enrichr--Queries(rank=873); GTEx--Coexpression(rank=1133)","661","0.20119999999999999","Literature ChIP-seq,0.2012"
"KLF5","3.826536769407162364","3.826536769407162364","3.826536769407162364","Activated","10","viper","10","3.826536769407162364",NA,NA,"5","ARCHS4--Coexpression(rank=33); Literature--ChIP-seq(rank=39); GTEx--Coexpression(rank=129); ReMap--ChIP-seq(rank=175); Enrichr--Queries(rank=192)","82","0.02027000000000000","ARCHS4 Coexpression,0.02027"
