"Signature_Group","Signature"
"tumor_signature","CellCycle_Reg"
"tumor_signature","Cell_cycle"
"tumor_signature","DDR"
"tumor_signature","Mismatch_Repair"
"tumor_signature","Histones"
"tumor_signature","Homologous_recombination"
"tumor_signature","Nature_metabolism_Hypoxia"
"tumor_signature","Molecular_Cancer_m6A"
"tumor_signature","MT_exosome"
"tumor_signature","Positive_regulation_of_exosomal_secretion"
"tumor_signature","Ferroptosis"
"tumor_signature","EV_Cell_2020"
"EMT","Pan_F_TBRs"
"EMT","EMT1"
"EMT","EMT2"
"EMT","EMT3"
"EMT","WNT_target"
"io_biomarkers","TMEscore_CIR"
"io_biomarkers","TMEscoreA_CIR"
"io_biomarkers","TMEscoreB_CIR"
"io_biomarkers","T_cell_inflamed_GEP_Ayers_et_al"
"io_biomarkers","CD_8_T_effector"
"io_biomarkers","IPS_IPS"
"io_biomarkers","Immune_Checkpoint"
"io_biomarkers","Exhausted_CD8_Danaher_et_al"
"io_biomarkers","Pan_F_TBRs"
"io_biomarkers","Mismatch_Repair"
"io_biomarkers","APM"
"immu_microenvironment","GPAGs"
"immu_microenvironment","PPAGs"
"immu_microenvironment","Pan_F_TBRs"
"immu_microenvironment","MDSC_Peng_et_al"
"immu_microenvironment","TAM_Peng_et_al"
"immu_microenvironment","MicroenvironmentScore_xCell"
"immu_microenvironment","TMEscore"
"immu_microenvironment","ImmuneScore_xCell"
"immu_microenvironment","ImmuneScore_estimate"
"immu_microenvironment","StromalScore_estimate"
"immu_suppression","Pan_F_TBRs"
"immu_suppression","Fibroblasts_MCPcounter"
"immu_suppression","Immune_Checkpoint"
"immu_suppression","Exhausted_CD8_Danaher_et_al"
"immu_suppression","MDSC_Wang_et_al"
"immu_suppression","Macrophages_M2_cibersort"
"immu_suppression","Tregs_quantiseq"
"immu_suppression","T_cells_regulatory_(Tregs)_CIBERSORT"
"immu_exclusion","Pan_F_TBRs"
"immu_exclusion","CAF_Peng_et_al"
"immu_exclusion","Fibroblasts_MCPcounter"
"immu_exclusion","CAFs_EPIC"
"immu_exclusion","EMT1"
"immu_exclusion","EMT2"
"immu_exclusion","WNT_target"
"immu_exclusion","TGFb_Family_Member_Receptor_Li_et_al"
"immu_exclusion","TGFb_Family_Member_Li_et_al"
"immu_exclusion","Macrophages_M2_CIBERSORT"
"immu_exclusion","Macrophages_M2_quantiseq"
"immu_exclusion","TAM_Peng_et_al"
"immu_exhaustion","Immune_Checkpoint"
"immu_exhaustion","Exhausted_CD8_Danaher_et_al"
"immu_exhaustion","T_cell_exhaustion_Peng_et_al"
"immu_exhaustion","T_cells_regulatory_(Tregs)_CIBERSORT"
"immu_exhaustion","T_cell_regulatory_Peng_et_al"
"immu_exhaustion","ICB_resistance_Peng_et_al"
"immu_exhaustion","StromalScore_estimate"
"TCR_BCR","TCR_signaling_Pathway_Li_et_al"
"TCR_BCR","REACTOME_DOWNSTREAM_TCR_SIGNALING"
"TCR_BCR","REACTOME_TCR_SIGNALING"
"TCR_BCR","BCR_Signaling_Pathway_Li_et_al"
"TCR_BCR","APM"
"tme_signatures1","GPAGs"
"tme_signatures1","PPAGs"
"tme_signatures1","Pan_F_TBRs"
"tme_signatures1","MDSC_Peng_et_al"
"tme_signatures1","TAM_Peng_et_al"
"tme_signatures1","MicroenvironmentScore_xCell"
"tme_signatures1","TMEscore"
"tme_signatures1","ImmuneScore_xCell"
"tme_signatures1","ImmuneScore_estimate"
"tme_signatures1","StromalScore_estimate"
"tme_signatures1","Fibroblasts_MCPcounter"
"tme_signatures1","Immune_Checkpoint"
"tme_signatures1","Exhausted_CD8_Danaher_et_al"
"tme_signatures1","MDSC_Wang_et_al"
"tme_signatures1","Macrophages_M2_cibersort"
"tme_signatures1","Tregs_quantiseq"
"tme_signatures1","T_cells_regulatory_(Tregs)_CIBERSORT"
"tme_signatures1","CAF_Peng_et_al"
"tme_signatures1","CAFs_EPIC"
"tme_signatures1","EMT1"
"tme_signatures1","EMT2"
"tme_signatures1","WNT_target"
"tme_signatures1","TGFb_Family_Member_Receptor_Li_et_al"
"tme_signatures1","TGFb_Family_Member_Li_et_al"
"tme_signatures1","Macrophages_M2_CIBERSORT"
"tme_signatures1","Macrophages_M2_quantiseq"
"tme_signatures1","T_cell_exhaustion_Peng_et_al"
"tme_signatures1","T_cell_regulatory_Peng_et_al"
"tme_signatures1","ICB_resistance_Peng_et_al"
"tme_signatures1","TMEscore_CIR"
"tme_signatures1","TMEscoreA_CIR"
"tme_signatures1","TMEscoreB_CIR"
"tme_signatures1","T_cell_inflamed_GEP_Ayers_et_al"
"tme_signatures1","CD_8_T_effector"
"tme_signatures1","IPS_IPS"
"tme_signatures1","Mismatch_Repair"
"tme_signatures1","APM"
"tme_signatures1","TCR_signaling_Pathway_Li_et_al"
"tme_signatures1","REACTOME_DOWNSTREAM_TCR_SIGNALING"
"tme_signatures1","REACTOME_TCR_SIGNALING"
"tme_signatures1","BCR_Signaling_Pathway_Li_et_al"
"tme_signatures2","DDR"
"tme_signatures2","CellCycle_Reg"
"tme_signatures2","Histones"
"tme_signatures2","EMT3"
"tme_signatures2","FGFR3_related"
"tme_signatures2","Cell_cycle"
"tme_signatures2","Homologous_recombination"
"tme_signatures2","Nucleotide_excision_repair"
"tme_signatures2","DNA_replication"
"tme_signatures2","Base_excision_repair"
"tme_signatures2","CD8_Rooney_et_al"
"tme_signatures2","B_cells_Rooney_et_al"
"tme_signatures2","Treg_Rooney_et_al"
"tme_signatures2","Macrophages_Rooney_et_al"
"tme_signatures2","Neutrophils_Rooney_et_al"
"tme_signatures2","NK_cells_Rooney_et_al"
"tme_signatures2","pDCs_Rooney_et_al"
"tme_signatures2","MHC_Class_I_Rooney_et_al"
"tme_signatures2","Co_stimulation_APC_Rooney_et_al"
"tme_signatures2","Co_stimulation_T_cell_Rooney_et_al"
"tme_signatures2","Co_inhibition_APC_Rooney_et_al"
"tme_signatures2","Co_inhibition_T_cell_Rooney_et_al"
"tme_signatures2","Type_I_IFN_Reponse_Rooney_et_al"
"tme_signatures2","Type_II_IFN_Reponse_Rooney_et_al"
"tme_signatures2","Cytolytic_Activity_Rooney_et_al"
"tme_signatures2","MHC_Class_I"
"tme_signatures2","MHC_Class_II"
"tme_signatures2","IFNG_signature_Ayers_et_al"
"tme_signatures2","HLA_signature_gene"
"tme_signatures2","B_cells_Danaher_et_al"
"tme_signatures2","CD8_T_cells_Danaher_et_al"
"tme_signatures2","Cytotoxic_cells_Danaher_et_al"
"tme_signatures2","DC_Danaher_et_al"
"tme_signatures2","Macrophages_Danaher_et_al"
"tme_signatures2","Mast_cells_Danaher_et_al"
"tme_signatures2","Neutrophils_Danaher_et_al"
"tme_signatures2","NK_CD56dim_cells_Danaher_et_al"
"tme_signatures2","NK_cells_Danaher_et_al"
"tme_signatures2","T_cells_Danaher_et_al"
"tme_signatures2","TIP_Release_of_cancer_cell_antigens"
"tme_signatures2","TIP_Cancer_antigen_presentation_1"
"tme_signatures2","TIP_Cancer_antigen_presentation_2"
"tme_signatures2","TIP_Priming_and_activation_1"
"tme_signatures2","TIP_Priming_and_activation_2"
"tme_signatures2","TIP_Trafficking_of_immune_cells_to_tumors"
"tme_signatures2","TIP_Infiltration_of_immune_cells_into_tumors_1"
"tme_signatures2","TIP_Infiltration_of_immune_cells_into_tumors_2"
"tme_signatures2","TIP_Recognition_of_cancer_cells_by_T_cells_1"
"tme_signatures2","TIP_Recognition_of_cancer_cells_by_T_cells_2"
"tme_signatures2","TIP_Killing_of_cancer_cells_1"
"tme_signatures2","TIP_Killing_of_cancer_cells_2"
"tme_signatures2","TLS_Nature"
"tme_signatures2","TMEscoreA_plus"
"tme_signatures2","TMEscoreB_plus"
"tme_signatures2","B_cells_Bindea_et_al"
"tme_signatures2","T_cells_Bindea_et_al"
"tme_signatures2","T_helper_cells_Bindea_et_al"
"tme_signatures2","Tcm_Bindea_et_al"
"tme_signatures2","Tem_Bindea_et_al"
"tme_signatures2","Th1_cells_Bindea_et_al"
"tme_signatures2","Th2_cells_Bindea_et_al"
"tme_signatures2","TFH_Bindea_et_al"
"tme_signatures2","Th17_cells_Bindea_et_al"
"tme_signatures2","CD8_T_cells_Bindea_et_al"
"tme_signatures2","Tgd_Bindea_et_al"
"tme_signatures2","Cytotoxic_cells_Bindea_et_al"
"tme_signatures2","NK_cells_Bindea_et_al"
"tme_signatures2","NK_CD56dim_cells_Bindea_et_al"
"tme_signatures2","DC_Bindea_et_al"
"tme_signatures2","iDC_Bindea_et_al"
"tme_signatures2","aDC_Bindea_et_al"
"tme_signatures2","Eosinophils_Bindea_et_al"
"tme_signatures2","Macrophages_Bindea_et_al"
"tme_signatures2","Mast_cells_Bindea_et_al"
"tme_signatures2","Neutrophils_Bindea_et_al"
"tme_signatures2","SW480_cancer_cells_Bindea_et_al"
"tme_signatures2","Normal_mucosa_Bindea_et_al"
"tme_signatures2","Lymph_vessels_Bindea_et_al"
"tme_signatures2","Antigen_Processing_and_Presentation_Li_et_al"
"tme_signatures2","Antimicrobials_Li_et_al"
"tme_signatures2","Chemokines_Li_et_al"
"tme_signatures2","Chemokine_Receptors_Li_et_al"
"tme_signatures2","Cytokines_Li_et_al"
"tme_signatures2","Cytokine_Receptors_Li_et_al"
"tme_signatures2","Interferons_Li_et_al"
"tme_signatures2","Interferon_Receptor_Li_et_al"
"tme_signatures2","Interleukins_Li_et_al"
"tme_signatures2","Interleukins_Receptor_Li_et_al"
"tme_signatures2","Natural_Killer_Cell_Cytotoxicity_Li_et_al"
"tme_signatures2","TNF_Family_Members_Li_et_al"
"tme_signatures2","TNF_Family_Members_Receptors_Li_et_al"
"tme_signatures2","T_cell_accumulation_Peng_et_al"
"tme_signatures2","T_cell_probe_Jeschke_et_al"
"tme_signatures2","MeTIL_Jeschke_et_al"
"Bcells","B_cells_naive_CIBERSORT"
"Bcells","B_cells_memory_CIBERSORT"
"Bcells","B_cells_quantiseq"
"Bcells","B_cells_Rooney_et_al"
"Bcells","B_cells_Danaher_et_al"
"Bcells","B_cells_Bindea_et_al"
"Bcells","B-cells_xCell"
"Bcells","Class-switched_memory_B-cells_xCell"
