"Function","Exported_By_IOBR","Planned_Scope","Current_Script"
"GetOutlierGenes",TRUE,"available_not_prioritized","core"
"high_var_fea",TRUE,"available_not_prioritized","core"
"iobr_cor_plot",TRUE,"available_not_prioritized","core"
"iobr_deconvo_pipeline",TRUE,"available_not_prioritized","core"
"iobr_deg",TRUE,"optional_or_input_dependent","core"
"iobr_pca",TRUE,"core_directly_relevant","core"
"IPS_calculation",TRUE,"available_not_prioritized","core"
"ipsmap",TRUE,"available_not_prioritized","core"
"lasso_select",TRUE,"optional_or_input_dependent","core"
"limma.dif",TRUE,"optional_or_input_dependent","core"
"list_github_datasets",TRUE,"available_not_prioritized","core"
"list_iobr_mirrors",TRUE,"available_not_prioritized","core"
"load_data",TRUE,"available_not_prioritized","core"
"log2eset",TRUE,"available_not_prioritized","core"
"LR_cal",TRUE,"optional_or_input_dependent","core"
"make_mut_matrix",TRUE,"optional_or_input_dependent","core"
"mapbw",TRUE,"available_not_prioritized","core"
"mapcolors",TRUE,"available_not_prioritized","core"
"MCPcounter.estimate",TRUE,"available_not_prioritized","core"
"merge_duplicate",TRUE,"available_not_prioritized","core"
"merge_eset",TRUE,"available_not_prioritized","core"
"mouse2human_eset",TRUE,"available_not_prioritized","core"
"output_sig",TRUE,"available_not_prioritized","core"
"outputGCT",TRUE,"available_not_prioritized","core"
"palettes",TRUE,"available_not_prioritized","core"
"parallel_doperm",TRUE,"available_not_prioritized","core"
"ParseInputExpression",TRUE,"available_not_prioritized","core"
"patterns_to_na",TRUE,"available_not_prioritized","core"
"percent_bar_plot",TRUE,"available_not_prioritized","core"
"pie_chart",TRUE,"available_not_prioritized","core"
"PlotAUC",TRUE,"available_not_prioritized","core"
"plotPurity",TRUE,"available_not_prioritized","core"
"PlotTimeROC",TRUE,"available_not_prioritized","core"
"ProcessingData",TRUE,"available_not_prioritized","core"
"PrognosticAUC",TRUE,"available_not_prioritized","core"
"PrognosticModel",TRUE,"optional_or_input_dependent","core"
"PrognosticResult",TRUE,"optional_or_input_dependent","core"
"random_strata_cells",TRUE,"available_not_prioritized","core"
"rbind_iobr",TRUE,"available_not_prioritized","core"
"RegressionResult",TRUE,"optional_or_input_dependent","core"
"remove_batcheffect",TRUE,"optional_or_input_dependent","core"
"remove_duplicate_genes",TRUE,"available_not_prioritized","core"
"remove_names",TRUE,"available_not_prioritized","core"
"RemoveBatchEffect",TRUE,"optional_or_input_dependent","core"
"reset_iobr_cache_dir",TRUE,"available_not_prioritized","core"
"reset_iobr_mirrors",TRUE,"available_not_prioritized","core"
"roc_time",TRUE,"available_not_prioritized","core"
"scale_matrix",TRUE,"available_not_prioritized","core"
"select_method",TRUE,"available_not_prioritized","core"
"set_iobr_cache_dir",TRUE,"available_not_prioritized","core"
"sig_box",TRUE,"core_directly_relevant","core"
"sig_box_batch",TRUE,"core_directly_relevant","core"
"sig_forest",TRUE,"available_not_prioritized","core"
"sig_gsea",TRUE,"core_directly_relevant","core"
"sig_heatmap",TRUE,"available_not_prioritized","core"
"sig_pheatmap",TRUE,"available_not_prioritized","core"
"sig_roc",TRUE,"optional_or_input_dependent","core"
"sig_surv_plot",TRUE,"optional_or_input_dependent","core"
"signature_score_calculation_methods",TRUE,"available_not_prioritized","core"
"sigScore",TRUE,"core_directly_relevant","core"
"SplitTrainTest",TRUE,"available_not_prioritized","core"
"subgroup_survival",TRUE,"available_not_prioritized","core"
"surv_group",TRUE,"available_not_prioritized","core"
"tcga_rna_preps",TRUE,"available_not_prioritized","core"
"test_for_infiltration",TRUE,"available_not_prioritized","core"
"timer_available_cancers",TRUE,"available_not_prioritized","core"
"timer_info",TRUE,"available_not_prioritized","core"
"tme_cluster",TRUE,"core_directly_relevant","core"
"tme_deconvolution_methods",TRUE,"available_not_prioritized","core"
"Top_probe",TRUE,"available_not_prioritized","core"
"transform_data",TRUE,"available_not_prioritized","core"
