"Signature","Gene_Count"
"CD4_c2_Tn","17"
"CD4_c3_Tfh","50"
"CD4_c4_Tstr","50"
"CD4_c5_CTL","50"
"CD4_c6_Tn_FHIT","41"
"CD4_c7_Tn_TCEA3","50"
"CD4_c8_Tf17","50"
"CD4_c9_Tn_TCF7_SLC40A1","50"
"CD8_c0_t_Teff","50"
"CD8_c1_Tex","50"
"CD8_c10_Teff_CD244","50"
"CD8_c11_Teff_SEMA4A","50"
"CD8_c12_Trm","50"
"CD8_c13_Tn_TCF7","50"
"CD8_c2_Teff","50"
"CD8_c3_Tn","50"
"CD8_c4_Tstr","50"
"CD8_c5_Tisg","50"
"CD8_c6_Tcm","50"
"CD8_c7_p_Tex","50"
"CD8_c8_Teff_KLRG1","50"
"CD8_c9_Tsen","24"
"Mast","50"
"Mo_01_CD14","50"
"Mo_02_CD16","50"
"Mono_like_01_CD14","50"
"Mono_like_02_CD16","50"
"Mono_like_03_CD14CD16","50"
"MonoDC","50"
"Mph_01_MARCO","50"
"Mph_02_CCL20","50"
"Mph_03_SPP1","50"
"Mph_04_TREM2","50"
"Mph_05_IL1B","50"
"Mph_06_CXCL9","50"
"Mph_07_SLC40A1","50"
"Mph_08_APOE","50"
"Mph_09_STMN1","50"
"Neu_01_MMP8","50"
"Neu_02_S100A12","50"
"Neu_03_ISG15","50"
"Neu_04_TXNIP","50"
"Neu_05_ELL2","50"
"Neu_06_PTGS2","50"
"Neu_07_APOA2","50"
"Neu_08_CD74","50"
"Neu_09_IFIT1","50"
"Neu_10_SPP1","50"
"Neu_11_CCL4","50"
"DC_01_CLEC9A","50"
"DC_02_CD1C","50"
"DC_03_LAMP3","50"
"DC_04_CD207","50"
"DC_05_LILRA4","50"
"DC_06_STMN1","50"
"ecm_myCAF","40"
"detox_iCAF","26"
"IL_iCAF","35"
"TGFβ_myCAF","28"
"wound_myCAF","34"
"IFNγ_iCAF","22"
"CAF_S1","100"
"Normal_Fibroblast","131"
