"TF","MVL_ALL"
"AHR","0.697910670262848476"
"AR","0.457349715542181179"
"ARID2","1.334734420613694628"
"ARID3A","-0.884041060730212824"
"ARNT","0.952912422481922428"
"ARNTL","1.088817961270346579"
"ASCL1","1.341071115201758479"
"ATF1","-1.019354487637297968"
"ATF2","1.542222050829046509"
"ATF3","1.753276490483461014"
"ATF4","0.793853195895380503"
"ATF6","-1.535575447620820100"
"ATF7","0.505408295959953291"
"BACH1","-0.106224757024597841"
"BACH2","-1.303240883786345838"
"BATF","-0.594096744692945045"
"BCL11A","0.737795824467058270"
"BCL6","-0.304407605668522485"
"BHLHE22","0.755842944489807933"
"BHLHE40","0.678920656887400442"
"CDX2","0.276613915178465009"
"CEBPA","-0.424244998902966797"
"CEBPB","-0.168025110582053022"
"CEBPD","0.732492620685986751"
"CEBPG","-1.358057354034364561"
"CLOCK","0.928211755500049529"
"CREB1","-1.316493506324431628"
"CREB3","-1.866088659584070886"
"CREB3L1","-0.814331893354313996"
"CREM","-0.622454738408869557"
"CTCF","-0.211333204431367605"
"CTCFL","-0.687665084909411584"
"CUX1","-1.631272379071029288"
"DUX4","0.927649208924884339"
"E2F1","-3.207116485873889200"
"E2F2","-1.031253879413477792"
"E2F3","-1.044196538363327376"
"E2F4","-5.481108567986396451"
"E2F5","0.815087634569728658"
"E2F6","-0.913261287092443363"
"E2F7","-0.829016727092089845"
"EBF1","0.192417229483790392"
"EGR1","-1.188278307819733204"
"EHF","0.374269786152146067"
"ELF1","-1.979448293318258889"
"ELF3","0.069742483094652363"
"ELF5","0.810443722611879580"
"ELK1","0.329814191418972835"
"ELK4","-0.913680451682292838"
"EOMES","-0.157137249860978628"
"EPAS1","2.693046950021866337"
"ERG","1.004983038932692585"
"ESR1","-0.321168213733335206"
"ESR2","0.565836403845315861"
"ESRRA","-1.232625123174374782"
"ETS1","-1.160829726511807269"
"ETS2","-1.567287034110276256"
"ETV1","0.860855486228299660"
"ETV4","0.293861743367486661"
"FLI1","0.724168776395842095"
"FOS","0.144792900528057600"
"FOSL1","0.393826707865603476"
"FOSL2","-0.766989939573428980"
"FOXA1","0.821407300961201736"
"FOXA2","0.583290626450572613"
"FOXJ2","0.840526843841507998"
"FOXK2","-3.082316887509902958"
"FOXL2","0.933067210270337233"
"FOXM1","-2.774015766017806417"
"FOXO1","1.498530575202094095"
"FOXO3","-0.661058520564418162"
"FOXO4","-0.043134236020118129"
"FOXP1","-0.310923347293866226"
"FOXP2","0.153007337049375497"
"GABPA","-1.493950757538926588"
"GATA1","0.105150971322425318"
"GATA2","0.462947061153797690"
"GATA3","0.178377555688991829"
"GATA6","0.324664113063457438"
"GFI1B","-1.171163910469391611"
"GLI2","0.669644478946383126"
"GRHL2","0.775724500061370281"
"HBP1","0.012234439885478270"
"HHEX","-0.391037940133853679"
"HIF1A","-0.076979679748138963"
"HINFP","-0.435416875155643979"
"HMBOX1","-2.010780017896028227"
"HNF1B","2.264740434704267447"
"HNF4A","1.475823009133325314"
"HNF4G","-0.256479016070532306"
"HOXA9","0.192680198427907790"
"HOXB13","-1.053825733661894581"
"HSF1","-1.107919146959563950"
"IKZF1","0.554198056645721082"
"IRF1","0.448462461209541585"
"IRF2","-0.108339959740816394"
"IRF3","-0.632524700595184064"
"IRF4","0.074207665268714099"
"IRF9","-0.452543933837514734"
"JUN","0.976831690097238581"
"JUNB","-0.886780439418060396"
"JUND","-0.901204707383180148"
"KDM5B","-1.721628533354170543"
"KLF1","0.187165123943330985"
"KLF13","1.984157706245664787"
"KLF3","-1.074609027029986397"
"KLF4","0.845850126553968074"
"KLF5","-0.843859476453267532"
"KLF6","-0.727971930000456569"
"KLF9","-0.354403060793468783"
"KMT2A","1.575186324644940239"
"LEF1","-1.251983575628047296"
"LHX2","-0.114688162888328241"
"LYL1","-0.341923810373402359"
"MAF","-0.593002957024384658"
"MAFB","0.257569668982982447"
"MAFF","-0.120156157441658612"
"MAFG","0.932961065832393799"
"MAFK","-0.028343956532532119"
"MAX","-0.809439342124538386"
"MAZ","-3.174110882358256891"
"MBD1","1.414241039233917974"
"MBD2","1.127734450379499265"
"MEF2A","0.722642317098038722"
"MEF2B","0.818167296949859790"
"MEF2C","1.136229054294224383"
"MEIS1","1.113865059590911200"
