Pathway,PS1 PATHWAY,NOTCH PATHWAY,SM PATHWAY,FIBRINOLYSIS PATHWAY,RANKL PATHWAY,INTEGRIN PATHWAY,UCALPAIN PATHWAY,MCALPAIN PATHWAY,PDZS PATHWAY,CARDIACEGF PATHWAY,PLCD PATHWAY,MYOSIN PATHWAY,VITCB PATHWAY,EFP PATHWAY,CELLCYCLE PATHWAY,BTG2 PATHWAY,GCR PATHWAY,NO1 PATHWAY,BARR MAPK PATHWAY,STAT3 PATHWAY,PRION PATHWAY,EOSINOPHILS PATHWAY,RAN PATHWAY,RANMS PATHWAY,NPC PATHWAY
PS1 PATHWAY,1.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTCH PATHWAY,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM PATHWAY,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIBRINOLYSIS PATHWAY,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANKL PATHWAY,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTEGRIN PATHWAY,0.0,0.0,0.0,0.0,0.029411764705882353,1.0,0.29411764705882354,0.20588235294117646,0.029411764705882353,0.08823529411764706,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.14705882352941177,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
UCALPAIN PATHWAY,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.5,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCALPAIN PATHWAY,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.3684210526315789,1.0,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDZS PATHWAY,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.1111111111111111,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARDIACEGF PATHWAY,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.0,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
