"Feature","AUC","Direction"
"T_cells_CD4_memory_activated_CIBERSORT","0.5644562949223272","<"
"T_cells_CD4_memory_resting_CIBERSORT","0.5563606151943739",">"
"NK_cells_resting_CIBERSORT","0.5370585052940721","<"
"B_cells_naive_CIBERSORT","0.5276006646572381","<"
"T_cells_gamma_delta_CIBERSORT","0.5090617512945360","<"
"NK_cells_activated_CIBERSORT","0.5044439292062756","<"
"T_cells_CD4_naive_CIBERSORT","0.5021929824561404","<"
"B_cells_memory_CIBERSORT","0.4972949996135715","<"
"T_cells_regulatory_(Tregs)_CIBERSORT","0.4961840173120024","<"
"Plasma_cells_CIBERSORT","0.4840791405827342","<"
"T_cells_CD8_CIBERSORT","0.4821373367339052","<"
"T_cells_follicular_helper_CIBERSORT","0.4590965298709326","<"
