Pathway,CSR LATE UP.V1 UP,RB P130 DN.V1 UP,PKCA DN.V1 UP,SIRNA EIF4GI DN,MYC UP.V1 UP,IL2 UP.V1 UP,IL15 UP.V1 UP,RPS14 DN.V1 DN,HOXA9 DN.V1 DN,MTOR UP.N4.V1 UP,VEGF A UP.V1 DN,ERBB2 UP.V1 DN,TBK1.DF DN,CSR EARLY UP.V1 UP,RB P107 DN.V1 UP,RB DN.V1 UP,GCNP SHH UP LATE.V1 UP,GCNP SHH UP EARLY.V1 UP,E2F1 UP.V1 UP,PRC2 EED DN.V1 DN,PRC2 EZH2 UP.V1 DN,KRAS.KIDNEY UP.V1 UP,CAHOY NEURONAL,MEL18 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,BMI1 DN.V1 UP,RPS14 DN.V1 UP,E2F1 UP.V1 DN,E2F3 UP.V1 DN,SRC UP.V1 DN,LEF1 UP.V1 DN,LTE2 UP.V1 UP,ERBB2 UP.V1 UP,KRAS.600.LUNG.BREAST UP.V1 DN,KRAS.LUNG.BREAST UP.V1 DN,KRAS.600 UP.V1 DN,BMI1 DN.V1 DN,MEL18 DN.V1 DN,BMI1 DN MEL18 DN.V1 DN,ALK DN.V1 DN
CSR LATE UP.V1 UP,1.0,0.04819277108433735,0.006024096385542169,0.030120481927710843,0.04216867469879518,0.006024096385542169,0.006024096385542169,0.05421686746987952,0.03614457831325301,0.012048192771084338,0.03614457831325301,0.006024096385542169,0.012048192771084338,0.05421686746987952,0.05421686746987952,0.030120481927710843,0.024096385542168676,0.030120481927710843,0.030120481927710843,0.04216867469879518,0.024096385542168676,0.006024096385542169,0.006024096385542169,0.030120481927710843,0.030120481927710843,0.04216867469879518,0.0,0.006024096385542169,0.006024096385542169,0.03614457831325301,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.006024096385542169,0.006024096385542169
RB P130 DN.V1 UP,0.06060606060606061,1.0,0.007575757575757576,0.007575757575757576,0.022727272727272728,0.007575757575757576,0.007575757575757576,0.03787878787878788,0.030303030303030304,0.022727272727272728,0.03787878787878788,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.0,0.0,0.03787878787878788,0.022727272727272728,0.03787878787878788,0.03787878787878788,0.007575757575757576,0.0,0.007575757575757576,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.0,0.007575757575757576,0.0,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.030303030303030304,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576
PKCA DN.V1 UP,0.006289308176100629,0.006289308176100629,1.0,0.012578616352201259,0.012578616352201259,0.018867924528301886,0.025157232704402517,0.025157232704402517,0.012578616352201259,0.006289308176100629,0.006289308176100629,0.031446540880503145,0.025157232704402517,0.0,0.006289308176100629,0.012578616352201259,0.018867924528301886,0.025157232704402517,0.025157232704402517,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.006289308176100629,0.0,0.0,0.006289308176100629,0.025157232704402517,0.006289308176100629,0.0,0.012578616352201259,0.025157232704402517,0.006289308176100629,0.018867924528301886,0.03773584905660377,0.012578616352201259,0.031446540880503145,0.03773584905660377,0.012578616352201259,0.018867924528301886,0.006289308176100629
SIRNA EIF4GI DN,0.05102040816326531,0.01020408163265306,0.02040816326530612,1.0,0.0,0.01020408163265306,0.01020408163265306,0.05102040816326531,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.01020408163265306,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.0,0.030612244897959183,0.02040816326530612,0.030612244897959183,0.0,0.0,0.0,0.0,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.0,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.01020408163265306,0.0
MYC UP.V1 UP,0.03867403314917127,0.016574585635359115,0.011049723756906077,0.0,1.0,0.06077348066298342,0.06629834254143646,0.055248618784530384,0.022099447513812154,0.03314917127071823,0.011049723756906077,0.03314917127071823,0.016574585635359115,0.011049723756906077,0.0055248618784530384,0.0,0.016574585635359115,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.016574585635359115,0.0055248618784530384,0.011049723756906077,0.016574585635359115,0.011049723756906077,0.0055248618784530384,0.0,0.011049723756906077,0.022099447513812154,0.011049723756906077,0.0,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.011049723756906077,0.027624309392265192,0.022099447513812154,0.011049723756906077
IL2 UP.V1 UP,0.005263157894736842,0.005263157894736842,0.015789473684210527,0.005263157894736842,0.05789473684210526,1.0,0.5684210526315789,0.02631578947368421,0.04736842105263158,0.03684210526315789,0.021052631578947368,0.02631578947368421,0.015789473684210527,0.02631578947368421,0.0,0.0,0.015789473684210527,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.03684210526315789,0.015789473684210527,0.0,0.05263157894736842,0.042105263157894736,0.05789473684210526,0.03684210526315789,0.005263157894736842,0.021052631578947368,0.005263157894736842,0.015789473684210527,0.02631578947368421,0.031578947368421054,0.03684210526315789,0.005263157894736842,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.015789473684210527
IL15 UP.V1 UP,0.005291005291005291,0.005291005291005291,0.021164021164021163,0.005291005291005291,0.06349206349206349,0.5714285714285714,1.0,0.026455026455026454,0.047619047619047616,0.037037037037037035,0.037037037037037035,0.015873015873015872,0.015873015873015872,0.037037037037037035,0.010582010582010581,0.010582010582010581,0.021164021164021163,0.010582010582010581,0.021164021164021163,0.015873015873015872,0.042328042328042326,0.005291005291005291,0.0,0.0582010582010582,0.047619047619047616,0.0582010582010582,0.042328042328042326,0.005291005291005291,0.015873015873015872,0.0,0.010582010582010581,0.021164021164021163,0.021164021164021163,0.037037037037037035,0.021164021164021163,0.047619047619047616,0.021164021164021163,0.026455026455026454,0.026455026455026454,0.021164021164021163
RPS14 DN.V1 DN,0.04838709677419355,0.026881720430107527,0.021505376344086023,0.026881720430107527,0.053763440860215055,0.026881720430107527,0.026881720430107527,1.0,0.08602150537634409,0.08602150537634409,0.04838709677419355,0.03763440860215054,0.026881720430107527,0.010752688172043012,0.043010752688172046,0.016129032258064516,0.05913978494623656,0.021505376344086023,0.053763440860215055,0.07526881720430108,0.05913978494623656,0.0,0.005376344086021506,0.016129032258064516,0.010752688172043012,0.021505376344086023,0.0,0.021505376344086023,0.026881720430107527,0.043010752688172046,0.016129032258064516,0.016129032258064516,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.005376344086021506,0.0,0.005376344086021506,0.005376344086021506,0.010752688172043012
HOXA9 DN.V1 DN,0.031578947368421054,0.021052631578947368,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.04736842105263158,0.04736842105263158,0.08421052631578947,1.0,0.06842105263157895,0.021052631578947368,0.02631578947368421,0.02631578947368421,0.010526315789473684,0.042105263157894736,0.010526315789473684,0.015789473684210527,0.010526315789473684,0.03684210526315789,0.06842105263157895,0.042105263157894736,0.005263157894736842,0.005263157894736842,0.042105263157894736,0.015789473684210527,0.02631578947368421,0.010526315789473684,0.031578947368421054,0.010526315789473684,0.02631578947368421,0.021052631578947368,0.010526315789473684,0.042105263157894736,0.02631578947368421,0.015789473684210527,0.010526315789473684,0.015789473684210527,0.021052631578947368,0.005263157894736842,0.010526315789473684
MTOR UP.N4.V1 UP,0.01020408163265306,0.015306122448979591,0.00510204081632653,0.02040816326530612,0.030612244897959183,0.03571428571428571,0.03571428571428571,0.08163265306122448,0.0663265306122449,1.0,0.030612244897959183,0.03571428571428571,0.02040816326530612,0.015306122448979591,0.0,0.00510204081632653,0.01020408163265306,0.0,0.00510204081632653,0.01020408163265306,0.015306122448979591,0.01020408163265306,0.00510204081632653,0.05612244897959184,0.061224489795918366,0.030612244897959183,0.015306122448979591,0.04591836734693878,0.01020408163265306,0.01020408163265306,0.015306122448979591,0.02040816326530612,0.025510204081632654,0.01020408163265306,0.00510204081632653,0.01020408163265306,0.015306122448979591,0.00510204081632653,0.015306122448979591,0.00510204081632653
