Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
CSR_LATE_UP.V1_UP	CSR_LATE_UP.V1_UP	1.00e-10	91	0.5482	0	0	1	0	keep	itself		True	NUDCD1,ANLN,TRIP13,RPF2,BHLHE40,MMP3,UHRF1,MET,CDC6,CKAP2,SHCBP1,EEF1E1,ZNF367,TIMP1,TOMM34,CBFB,NUF2,CDK1,LYAR,KISS1
RPS14_DN.V1_DN	RPS14_DN.V1_DN	1.00e-10	97	0.5215	0	0	1	0	keep	itself		True	BYSL,ECT2,PRMT3,ATAD2,TRIP13,MCM10,DDN,CDC6,NOC3L,CAD,POLR1F,EXO1,SUV39H2,KIF20A,PYCR1,PSAT1,GPATCH4,VARS1,TRIM29,SPHK1
MYC_UP.V1_UP	MYC_UP.V1_UP	1.00e-10	79	0.4365	0	0	1	0	keep	itself		True	CGREF1,PRR7,PRMT3,PUS7,DGAT2,MTERF3,RPP40,UTP15,DDX10,EEF1E1,RRP12,METTL1,UTP14A,WDR4,WDR43,NR2C2AP,MPHOSPH10,HSPE1,RRP9,NIP7
RB_P107_DN.V1_UP	RB_P107_DN.V1_UP	1.00e-10	61	0.4692	0	0	1	0	keep	itself		True	MCM6,PAQR4,E2F1,RFC3,CDK2,SRPX2,ORC6,BGN,PRIM2,TCFL5,WDHD1,NXT1,PRDX4,MAD2L1,FKBP10,DNA2,CENPK,GINS4,CENPH,CDH11
VEGF_A_UP.V1_DN	VEGF_A_UP.V1_DN	1.20e-10	86	0.4456	0	0	1	0	keep	itself		True	PNO1,LRP8,PRMT3,CSE1L,EXO1,UCHL3,RRP12,PUM3,POP1,TGFBI,SMC4,DDX21,ANGPT2,DBF4,RFC4,CKS2,MAD2L1,CCDC86,STIP1,ATIC
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP	5.61e-10	60	0.4286	0	0	1	0	keep	itself		True	AK5,DLGAP2,GRIA2,CRYM,NDN,ALDH1A1,RELN,GAP43,PELI2,SORL1,NSG1,NOL4,KCNA5,PEG3,ANK2,PMP2,HPCAL4,GATM,GPNMB,RNLS
GCNP_SHH_UP_LATE.V1_UP	GCNP_SHH_UP_LATE.V1_UP	1.10e-09	85	0.4696	0	0	1	0	keep	itself		True	MCM6,PFDN6,NTMT1,TRIP13,GART,MCM10,PSME4,CHEK1,GNL3,SMC4,LOXL2,ABCE1,CDK1,MPHOSPH10,RLIM,CKS2,SSX2IP,NAA15,VCAN,SMC2
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP	1.40e-09	75	0.4902	0	0	1	0	keep	itself		True	INHBA,TNFRSF12A,NIFK,RIPK2,IL11,STC1,ZBTB12,NMD3,FJX1,PUM3,SNAI1,CBFB,GTPBP4,DDX21,DKC1,CTPS1,MSANTD3,ELOC,RRP9,NIP7
MEL18_DN.V1_UP	MEL18_DN.V1_UP	1.46e-07	52	0.3688	0	0	1	0	keep	itself		True	INHBA,ADAM12,CLDN1,STC2,FAP,MMP7,SLCO4A1,CCN4,SLC7A5,SRPX2,FJX1,DDIT4,CCND1,KCNJ15,SPP1,FZD6,COL7A1,TNFAIP6,FOSL1,GPR3
HOXA9_DN.V1_DN	HOXA9_DN.V1_DN	1.77e-07	63	0.3316	0	0	1	0	keep	itself		True	HILPDA,ATAD2,BRCA2,MCM10,BHLHE40,CDC6,FIRRM,PRIM2,GINS1,TRIB3,HELLS,TOMM34,SPP1,FZD6,TBC1D30,CEP55,RNASEH2A,EXOSC5,FANCI,FADS1
