Pathway,CSR LATE UP.V1 UP,CSR EARLY UP.V1 UP,MEL18 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,ALK DN.V1 UP,MTOR UP.N4.V1 UP,MYC UP.V1 UP,IL2 UP.V1 UP,IL15 UP.V1 UP,ESC V6.5 UP LATE.V1 DN,ESC J1 UP LATE.V1 DN,VEGF A UP.V1 DN,ERBB2 UP.V1 DN,CYCLIN D1 KE .V1 UP,RPS14 DN.V1 DN,HOXA9 DN.V1 DN,PRC2 EED DN.V1 DN,PRC2 EZH2 UP.V1 DN,RB P107 DN.V1 UP,RB DN.V1 UP,NFE2L2.V2,MTOR UP.V1 UP,GCNP SHH UP LATE.V1 UP,GCNP SHH UP EARLY.V1 UP,E2F1 UP.V1 UP,KRAS.KIDNEY UP.V1 UP,CAHOY NEURONAL,LEF1 UP.V1 DN,BMI1 DN.V1 DN,BMI1 DN MEL18 DN.V1 DN,IL2 UP.V1 DN,IL21 UP.V1 DN,PDGF UP.V1 DN,E2F3 UP.V1 DN,HINATA NFKB IMMU INF,P53 DN.V2 UP,KRAS.600.LUNG.BREAST UP.V1 DN,CTIP DN.V1 DN,PTEN DN.V1 DN,SNF5 DN.V1 UP
CSR LATE UP.V1 UP,1.0,0.05421686746987952,0.030120481927710843,0.030120481927710843,0.024096385542168676,0.012048192771084338,0.04216867469879518,0.006024096385542169,0.006024096385542169,0.024096385542168676,0.03614457831325301,0.03614457831325301,0.006024096385542169,0.030120481927710843,0.05421686746987952,0.03614457831325301,0.04216867469879518,0.024096385542168676,0.05421686746987952,0.030120481927710843,0.04216867469879518,0.04819277108433735,0.024096385542168676,0.030120481927710843,0.030120481927710843,0.006024096385542169,0.006024096385542169,0.0,0.0,0.006024096385542169,0.006024096385542169,0.018072289156626505,0.018072289156626505,0.006024096385542169,0.006024096385542169,0.024096385542168676,0.0,0.012048192771084338,0.0,0.04216867469879518
CSR EARLY UP.V1 UP,0.058823529411764705,1.0,0.05228758169934641,0.05228758169934641,0.013071895424836602,0.0196078431372549,0.013071895424836602,0.032679738562091505,0.0457516339869281,0.0196078431372549,0.0196078431372549,0.026143790849673203,0.032679738562091505,0.006535947712418301,0.013071895424836602,0.013071895424836602,0.006535947712418301,0.013071895424836602,0.0,0.006535947712418301,0.026143790849673203,0.006535947712418301,0.006535947712418301,0.0,0.0,0.006535947712418301,0.0,0.006535947712418301,0.006535947712418301,0.0,0.013071895424836602,0.0,0.013071895424836602,0.0,0.0,0.0,0.006535947712418301,0.0,0.006535947712418301,0.0
MEL18 DN.V1 UP,0.03546099290780142,0.05673758865248227,1.0,0.6382978723404256,0.1347517730496454,0.07801418439716312,0.02127659574468085,0.07092198581560284,0.07801418439716312,0.014184397163120567,0.028368794326241134,0.02127659574468085,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.05673758865248227,0.0425531914893617,0.014184397163120567,0.02127659574468085,0.0070921985815602835,0.04964539007092199,0.0070921985815602835,0.0070921985815602835,0.014184397163120567,0.014184397163120567,0.0,0.0070921985815602835,0.0070921985815602835,0.0,0.0,0.03546099290780142,0.0,0.02127659574468085,0.0425531914893617,0.0070921985815602835,0.028368794326241134,0.014184397163120567,0.014184397163120567,0.028368794326241134,0.02127659574468085
BMI1 DN MEL18 DN.V1 UP,0.034482758620689655,0.05517241379310345,0.6206896551724138,1.0,0.1310344827586207,0.08275862068965517,0.013793103448275862,0.05517241379310345,0.06206896551724138,0.020689655172413793,0.020689655172413793,0.020689655172413793,0.006896551724137931,0.006896551724137931,0.013793103448275862,0.020689655172413793,0.027586206896551724,0.006896551724137931,0.020689655172413793,0.006896551724137931,0.05517241379310345,0.027586206896551724,0.0,0.013793103448275862,0.013793103448275862,0.0,0.006896551724137931,0.0,0.0,0.0,0.027586206896551724,0.013793103448275862,0.041379310344827586,0.027586206896551724,0.006896551724137931,0.027586206896551724,0.020689655172413793,0.013793103448275862,0.034482758620689655,0.013793103448275862
ALK DN.V1 UP,0.028368794326241134,0.014184397163120567,0.1347517730496454,0.1347517730496454,1.0,0.07801418439716312,0.0,0.028368794326241134,0.04964539007092199,0.0425531914893617,0.03546099290780142,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.03546099290780142,0.02127659574468085,0.028368794326241134,0.0070921985815602835,0.0,0.11347517730496454,0.014184397163120567,0.0,0.0,0.0070921985815602835,0.02127659574468085,0.0070921985815602835,0.03546099290780142,0.014184397163120567,0.014184397163120567,0.014184397163120567,0.014184397163120567,0.014184397163120567,0.02127659574468085,0.0070921985815602835,0.07801418439716312,0.028368794326241134,0.014184397163120567,0.03546099290780142,0.014184397163120567
MTOR UP.N4.V1 UP,0.01020408163265306,0.015306122448979591,0.05612244897959184,0.061224489795918366,0.05612244897959184,1.0,0.030612244897959183,0.03571428571428571,0.03571428571428571,0.025510204081632654,0.03571428571428571,0.030612244897959183,0.03571428571428571,0.03571428571428571,0.08163265306122448,0.0663265306122449,0.01020408163265306,0.015306122448979591,0.0,0.00510204081632653,0.061224489795918366,0.04591836734693878,0.01020408163265306,0.0,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.015306122448979591,0.015306122448979591,0.015306122448979591,0.00510204081632653,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.0,0.0,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.025510204081632654
MYC UP.V1 UP,0.03867403314917127,0.011049723756906077,0.016574585635359115,0.011049723756906077,0.0,0.03314917127071823,1.0,0.06077348066298342,0.06629834254143646,0.049723756906077346,0.04419889502762431,0.011049723756906077,0.03314917127071823,0.022099447513812154,0.055248618784530384,0.022099447513812154,0.0055248618784530384,0.016574585635359115,0.0055248618784530384,0.0,0.0,0.016574585635359115,0.016574585635359115,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.011049723756906077,0.0,0.011049723756906077,0.022099447513812154,0.0,0.0055248618784530384,0.0055248618784530384,0.022099447513812154,0.0,0.0,0.011049723756906077,0.011049723756906077,0.0055248618784530384,0.0055248618784530384
IL2 UP.V1 UP,0.005263157894736842,0.02631578947368421,0.05263157894736842,0.042105263157894736,0.021052631578947368,0.03684210526315789,0.05789473684210526,1.0,0.5684210526315789,0.03684210526315789,0.031578947368421054,0.021052631578947368,0.02631578947368421,0.04736842105263158,0.02631578947368421,0.04736842105263158,0.015789473684210527,0.03684210526315789,0.0,0.0,0.042105263157894736,0.015789473684210527,0.015789473684210527,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.0,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.0,0.0,0.0,0.021052631578947368,0.005263157894736842,0.02631578947368421,0.03684210526315789,0.015789473684210527,0.021052631578947368,0.02631578947368421
IL15 UP.V1 UP,0.005291005291005291,0.037037037037037035,0.0582010582010582,0.047619047619047616,0.037037037037037035,0.037037037037037035,0.06349206349206349,0.5714285714285714,1.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.015873015873015872,0.037037037037037035,0.026455026455026454,0.047619047619047616,0.015873015873015872,0.042328042328042326,0.010582010582010581,0.010582010582010581,0.031746031746031744,0.015873015873015872,0.021164021164021163,0.010582010582010581,0.021164021164021163,0.005291005291005291,0.0,0.010582010582010581,0.021164021164021163,0.026455026455026454,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.021164021164021163,0.037037037037037035,0.015873015873015872,0.026455026455026454,0.021164021164021163
ESC V6.5 UP LATE.V1 DN,0.0223463687150838,0.01675977653631285,0.0111731843575419,0.01675977653631285,0.0335195530726257,0.027932960893854747,0.05027932960893855,0.03910614525139665,0.03910614525139665,1.0,0.3743016759776536,0.0223463687150838,0.0223463687150838,0.0223463687150838,0.05027932960893855,0.0223463687150838,0.0335195530726257,0.00558659217877095,0.03910614525139665,0.01675977653631285,0.055865921787709494,0.027932960893854747,0.01675977653631285,0.0223463687150838,0.027932960893854747,0.0111731843575419,0.00558659217877095,0.0223463687150838,0.027932960893854747,0.01675977653631285,0.00558659217877095,0.0223463687150838,0.00558659217877095,0.0111731843575419,0.00558659217877095,0.0111731843575419,0.00558659217877095,0.0111731843575419,0.0,0.00558659217877095
