"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=68); Literature--ChIP-seq(rank=151); ReMap--ChIP-seq(rank=238); GTEx--Coexpression(rank=702); ARCHS4--Coexpression(rank=1013); Enrichr--Queries(rank=1105)","1218","rank=1; score=5.9878; direction=Repressed","rank=1; score=4.391; p=1.1282e-05; direction=Repressed"
"2","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.0","3","6","Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=59); ENCODE--ChIP-seq(rank=71); Enrichr--Queries(rank=207); ReMap--ChIP-seq(rank=263); ARCHS4--Coexpression(rank=535)","138","rank=3; score=4.9879; direction=Repressed","rank=3; score=4.1382; p=3.5004e-05; direction=Repressed"
"3","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","2","4","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=461); Enrichr--Queries(rank=893); ARCHS4--Coexpression(rank=1189)","237","rank=2; score=5.4163; direction=Activated","rank=5; score=4.0311; p=5.5512e-05; direction=Activated"
"4","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.5","4","6","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=268); GTEx--Coexpression(rank=1380)","54","rank=5; score=4.162; direction=Activated","rank=4; score=4.1029; p=4.0798e-05; direction=Activated"
"5","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","2","6","ENCODE--ChIP-seq(rank=92); Literature--ChIP-seq(rank=143); ReMap--ChIP-seq(rank=251); GTEx--Coexpression(rank=869); Enrichr--Queries(rank=1015); ARCHS4--Coexpression(rank=1538)","1381","rank=12; score=3.4411; direction=Repressed","rank=2; score=4.2073; p=2.5844e-05; direction=Repressed"
"6","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.5","9","4","Literature--ChIP-seq(rank=100); Enrichr--Queries(rank=511); GTEx--Coexpression(rank=614); ARCHS4--Coexpression(rank=763)","1071","rank=9; score=3.5861; direction=Activated","rank=14; score=3.0662; p=0.0021678; direction=Activated"
"7","NFKB1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.5","13","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=13; score=3.3207; direction=Activated","rank=22; score=2.7139; p=0.0066492; direction=Activated"
"8","RELA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","23","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=23; score=2.8994; direction=Activated","rank=24; score=2.6249; p=0.0086683; direction=Activated"
"9","SREBF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.5","21","6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=98); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=366); ARCHS4--Coexpression(rank=1359)","449","rank=21; score=2.9533; direction=Repressed","rank=30; score=2.5376; p=0.011161; direction=Repressed"
"10","ETV4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.0","18","4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=287); GTEx--Coexpression(rank=1160); ARCHS4--Coexpression(rank=1164)","671","rank=18; score=3.073; direction=Activated","rank=36; score=2.4345; p=0.014911; direction=Activated"
