"TF","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MAZ","-7.20290505549308691","-7.20290505549308691","7.20290505549308691","Repressed","1","viper","1","7.20290505549308691",NA,NA,"5","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=574); Enrichr--Queries(rank=1347); ARCHS4--Coexpression(rank=1526)","433","0.11860000000000000","ENCODE ChIP-seq,0.1186"
"ZNF263","6.27985664048405212","6.27985664048405212","6.27985664048405212","Activated","2","viper","2","6.27985664048405212",NA,NA,"6","ENCODE--ChIP-seq(rank=41); Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=277); Enrichr--Queries(rank=620); GTEx--Coexpression(rank=916); ARCHS4--Coexpression(rank=1393)","1028","0.34749999999999992","ENCODE ChIP-seq,0.3475"
"HIF1A","6.21664522934120711","6.21664522934120711","6.21664522934120711","Activated","3","viper","3","6.21664522934120711",NA,NA,"5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=86); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=883)","94","0.02439000000000000","Literature ChIP-seq,0.02439"
"THAP1","-5.57644329729014387","-5.57644329729014387","5.57644329729014387","Repressed","4","viper","4","5.57644329729014387",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=266); Enrichr--Queries(rank=648); GTEx--Coexpression(rank=1373); ARCHS4--Coexpression(rank=1467)","1240","0.46150000000000002","Enrichr Queries,0.4615"
"ZBTB11","5.54335813493120533","5.54335813493120533","5.54335813493120533","Activated","5","viper","5","5.54335813493120533",NA,NA,"4","ReMap--ChIP-seq(rank=283); ARCHS4--Coexpression(rank=336); GTEx--Coexpression(rank=803); Enrichr--Queries(rank=1211)","704","0.20640000000000000","ARCHS4 Coexpression,0.2064"
"TEAD1","5.45038854449199128","5.45038854449199128","5.45038854449199128","Activated","6","viper","6","5.45038854449199128",NA,NA,"4","ReMap--ChIP-seq(rank=89); ARCHS4--Coexpression(rank=164); GTEx--Coexpression(rank=386); Enrichr--Queries(rank=404)","370","0.10070000000000000","ARCHS4 Coexpression,0.1007"
"MEF2A","5.07863927411105642","5.07863927411105642","5.07863927411105642","Activated","7","viper","7","5.07863927411105642",NA,NA,"6","ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=94); ARCHS4--Coexpression(rank=175); ReMap--ChIP-seq(rank=200); GTEx--Coexpression(rank=259); Enrichr--Queries(rank=709)","395","0.10750000000000000","ARCHS4 Coexpression,0.1075"
"ATF4","4.98626365406856209","4.98626365406856209","4.98626365406856209","Activated","8","viper","8","4.98626365406856209",NA,NA,"4","ReMap--ChIP-seq(rank=84); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1006); ARCHS4--Coexpression(rank=1492)","893","0.28280000000000000","ReMap ChIP-seq,0.2828"
"FOXO1","4.98372641252879234","4.98372641252879234","4.98372641252879234","Activated","9","viper","9","4.98372641252879234",NA,NA,"5","ReMap--ChIP-seq(rank=70); Literature--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=604)","393","0.10690000000000000","ARCHS4 Coexpression,0.1069"
"ZBTB7A","4.80619611190260354","4.80619611190260354","4.80619611190260354","Activated","10","viper","10","4.80619611190260354",NA,NA,"5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=172); GTEx--Coexpression(rank=658); Enrichr--Queries(rank=1238); ARCHS4--Coexpression(rank=1603)","1146","0.40949999999999998","GTEx Coexpression,0.4095"
