"ID","P","HR","CI_low_0.95","CI_up_0.95"
"T_cell_CD4_TIMER","0.0155070729956924","73.4568","2.2643","2383.0820"
"B_cell_TIMER","0.1508018093588998","32.8723","0.2803","3855.6954"
"Macrophage_TIMER","0.3457032143045197","4.1561","0.2151","80.2855"
"DC_TIMER","0.5696370073009474","1.4292","0.4173","4.8941"
"T_cell_CD8_TIMER","0.8184152685926469","0.7422","0.0582","9.4633"
"Neutrophil_TIMER","0.9041672951421711","1.2356","0.0394","38.7119"
