"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","E2F4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.333333333333334","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=1; score=20.742; p=1.8133e-21","rank=20; score=0.006734","rank=1; score=7.2723; direction=Repressed"
"2","E2F1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.666666666666666","2","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=2; score=8.7711; p=1.6939e-09","rank=12; score=0.003111","rank=15; score=3.3689; direction=Repressed"
"3","TFDP1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.000000000000000","4","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=22)","10","rank=4; score=7.3196; p=4.7902e-08","rank=10; score=0.002489","rank=37; score=2.648; direction=Repressed"
"4","FOXM1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.333333333333336","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","rank=3; score=7.6649; p=2.1634e-08","rank=2; score=0.0006223","rank=77; score=2.0136; direction=Repressed"
"5","NFYB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.666666666666664","10","5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=38); Enrichr--Queries(rank=82); GTEx--Coexpression(rank=1497)","60","rank=10; score=2.3909; p=0.0040653","rank=60; score=0.01684","rank=31; score=2.8423; direction=Repressed"
"6","IRF3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.333333333333336","32","5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=842); Enrichr--Queries(rank=942); GTEx--Coexpression(rank=1388)","32","rank=44; score=0.87395; p=0.13367","rank=32; score=0.0101","rank=66; score=2.1317; direction=Repressed"
"7","E2F2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","50.666666666666671","9","3","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=10); GTEx--Coexpression(rank=777)","9","rank=12; score=2.161; p=0.0069028","rank=9; score=0.002457","rank=131; score=1.2201; direction=Repressed"
"8","STAT1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.333333333333336","28","6","GTEx--Coexpression(rank=25); ENCODE--ChIP-seq(rank=91); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=186); Enrichr--Queries(rank=389)","55","rank=28; score=1.1197; p=0.075914","rank=55; score=0.01556","rank=74; score=2.0326; direction=Activated"
"9","TEAD4","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","58.000000000000000","35","6","ENCODE--ChIP-seq(rank=21); Enrichr--Queries(rank=38); Literature--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=69); ReMap--ChIP-seq(rank=146); GTEx--Coexpression(rank=1340)","98","rank=41; score=0.89642; p=0.12693","rank=98; score=0.02707","rank=35; score=2.6705; direction=Activated"
"10","CDX2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.666666666666671","10","5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=99); Enrichr--Queries(rank=1115)","154","rank=15; score=1.8447; p=0.014298","rank=154; score=0.04054","rank=10; score=3.7919; direction=Activated"
