"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","SOX2","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","10.66666666666667","2","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=49); Enrichr--Queries(rank=461); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=726)","18","rank=18; score=0.006098","rank=2; score=144.15; p=1.5311e-20; adjP=1.1407e-17","rank=12; score=3.7037; p=0.00021246; direction=Activated"
"2","GRHL3","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","17.66666666666667","1","3","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=13)","1","rank=1; score=0.0006143","rank=11; score=74225; p=0.02245; adjP=0.89444","rank=41; score=2.6874; p=0.0072011; direction=Activated"
"3","SMAD3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.00000000000000","6","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=271); ARCHS4--Coexpression(rank=853)","45","rank=45; score=0.0122","rank=12; score=131.68; p=2.2567e-18; adjP=5.6041e-16","rank=6; score=4.6666; p=3.0624e-06; direction=Activated"
"4","TP63","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.33333333333334","7","5","ARCHS4--Coexpression(rank=4); GTEx--Coexpression(rank=6); Literature--ChIP-seq(rank=11); Enrichr--Queries(rank=16); ReMap--ChIP-seq(rank=27)","7","rank=7; score=0.002457","rank=13; score=47.634; p=4.7801e-10; adjP=7.1223e-08","rank=80; score=2.1379; p=0.032523; direction=Activated"
"5","TP53","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.00000000000000","3","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=492); ARCHS4--Coexpression(rank=614); Enrichr--Queries(rank=1020)","65","rank=65; score=0.01829","rank=3; score=74.519; p=1.3654e-10; adjP=2.543e-08","rank=82; score=2.1209; p=0.033932; direction=Activated"
"6","GATA3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.33333333333334","26","6","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=50); GTEx--Coexpression(rank=70); ARCHS4--Coexpression(rank=88)","116","rank=116; score=0.0303","rank=26; score=12.92; p=0.00045085; adjP=0.0038939","rank=45; score=2.6188; p=0.0088231; direction=Activated"
"7","ATF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.66666666666667","37","6","Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=52); ReMap--ChIP-seq(rank=57); ENCODE--ChIP-seq(rank=106); Enrichr--Queries(rank=106); GTEx--Coexpression(rank=170)","122","rank=122; score=0.03194","rank=37; score=41.692; p=8.7377e-09; adjP=6.5096e-07","rank=47; score=2.5508; p=0.010748; direction=Activated"
"8","VDR","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.33333333333333","23","5","ARCHS4--Coexpression(rank=33); Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=73); Enrichr--Queries(rank=101); GTEx--Coexpression(rank=133)","75","rank=75; score=0.02027","rank=110; score=19.6; p=0.014316; adjP=0.049418","rank=23; score=3.131; p=0.0017424; direction=Activated"
"9","TCF21","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","71.00000000000000","51","4","Literature--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=43); GTEx--Coexpression(rank=217); Enrichr--Queries(rank=379)","98","rank=98; score=0.02641","rank=51; score=32.159; p=2.141e-07; adjP=1.0634e-05","rank=64; score=2.2872; p=0.022185; direction=Activated"
"10","TFAP2C","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.33333333333333","5","6","GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=21); ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=61)","5","rank=5; score=0.001867","rank=142; score=42.712; p=0.0011132; adjP=0.0071495","rank=76; score=2.1749; p=0.029639; direction=Activated"
