"Task_Type","Dataset_ID","Target_Gene","Input_File","Method","Perm","Mini_Gene_Count","Inner_Workers","Task_ID"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","mcpcounter","100","3","1","1"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","epic","100","3","1","2"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","xcell","100","3","1","3"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","cibersort","100","3","1","4"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","cibersort_abs","100","3","1","5"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","ips","100","3","1","6"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","estimate","100","3","1","7"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","svr","100","3","1","8"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","lsei","100","3","1","9"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","timer","100","3","1","10"
"deconvolution","TCGA_COAD_01A","ATF3","/Users/solomon/Projects/CRLM_dormancy/data/iobr/prepared_inputs/TCGA_COAD_01A_ATF3_iobr_input.qs2","quantiseq","100","3","1","11"
