"Dataset_ID","Module","Task","Status","Message","Rows","Columns","Output_File"
"TCGA_COAD_01A","deconvolution","deconvo_tme::mcpcounter","success","","455","59","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/mcpcounter/TCGA_COAD_01A_ATF3_mcpcounter_scores.csv"
"TCGA_COAD_01A","deconvolution","deconvo_tme::epic","success","","455","57","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/epic/TCGA_COAD_01A_ATF3_epic_scores.csv"
NA,"deconvolution","TCGA_COAD_01A_xcell","failed","The package ""pracma"" is required.",NA,NA,""
"TCGA_COAD_01A","deconvolution","deconvo_tme::cibersort","success","","455","74","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/cibersort/TCGA_COAD_01A_ATF3_cibersort_scores.csv"
"TCGA_COAD_01A","deconvolution","deconvo_tme::cibersort_abs","success","","455","75","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/cibersort_abs/TCGA_COAD_01A_ATF3_cibersort_abs_scores.csv"
"TCGA_COAD_01A","deconvolution","deconvo_tme::ips","success","","455","56","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/ips/TCGA_COAD_01A_ATF3_ips_scores.csv"
"TCGA_COAD_01A","deconvolution","deconvo_tme::estimate","success","","455","53","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/estimate/TCGA_COAD_01A_ATF3_estimate_scores.csv"
"TCGA_COAD_01A","deconvolution","deconvo_tme::svr","success","","455","74","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/svr/TCGA_COAD_01A_ATF3_svr_scores.csv"
"TCGA_COAD_01A","deconvolution","deconvo_tme::lsei","success","","455","71","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/lsei/TCGA_COAD_01A_ATF3_lsei_scores.csv"
"TCGA_COAD_01A","deconvolution","deconvo_tme::timer","success","","455","55","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/timer/TCGA_COAD_01A_ATF3_timer_scores.csv"
"TCGA_COAD_01A","deconvolution","deconvo_tme::quantiseq","success","","455","60","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/deconvolution/quantiseq/TCGA_COAD_01A_ATF3_quantiseq_scores.csv"
"GTEx_COLON","deconvolution","deconvo_tme::mcpcounter","success","","818","33","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/mcpcounter/GTEx_COLON_ATF3_mcpcounter_scores.csv"
NA,"deconvolution","GTEx_COLON_epic","failed","not enough finite observations",NA,NA,""
NA,"deconvolution","GTEx_COLON_xcell","failed","The package ""pracma"" is required.",NA,NA,""
NA,"deconvolution","GTEx_COLON_cibersort","failed","Model is empty!",NA,NA,""
NA,"deconvolution","GTEx_COLON_cibersort_abs","failed","Model is empty!",NA,NA,""
"GTEx_COLON","deconvolution","deconvo_tme::ips","success","","818","30","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/ips/GTEx_COLON_ATF3_ips_scores.csv"
"GTEx_COLON","deconvolution","deconvo_tme::estimate","success","","818","27","/Users/solomon/Projects/CRLM_dormancy/results/iobr/core/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/deconvolution/estimate/GTEx_COLON_ATF3_estimate_scores.csv"
NA,"deconvolution","GTEx_COLON_svr","failed","Model is empty!",NA,NA,""
NA,"deconvolution","GTEx_COLON_lsei","failed","NA/NaN/Inf in foreign function call (arg 6)",NA,NA,""
NA,"deconvolution","GTEx_COLON_quantiseq","failed","NA/NaN/Inf in foreign function call (arg 2)",NA,NA,""
