"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.333333333333333","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=1; score=28.922; p=1.1975e-29","rank=2; score=8.2913; p=5.1137e-09","rank=1; score=14.093; p=4.1865e-45; direction=Repressed"
"2","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.666666666666667","1","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=2; score=15.301; p=4.9955e-16","rank=1; score=9.8144; p=1.5333e-10","rank=2; score=6.5732; p=4.9261e-11; direction=Repressed"
"3","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.666666666666667","6","6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=1145)","312","rank=9; score=3.0942; p=0.00080498","rank=8; score=3.6291; p=0.0002349","rank=6; score=4.3698; p=1.2437e-05; direction=Repressed"
"4","CDX2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.333333333333334","5","5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","rank=11; score=2.7728; p=0.0016875","rank=9; score=2.8317; p=0.0014734","rank=5; score=4.5586; p=5.1507e-06; direction=Activated"
"5","TP53","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.000000000000000","3","5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=271)","26","rank=3; score=9.6367; p=2.3083e-10","rank=3; score=6.9222; p=1.1961e-07","rank=36; score=2.6806; p=0.0073493; direction=Repressed"
"6","REST","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.666666666666666","8","6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=54); GTEx--Coexpression(rank=109); ARCHS4--Coexpression(rank=187); Enrichr--Queries(rank=1197)","275","rank=8; score=3.1845; p=0.00065387","rank=17; score=2.2983; p=0.0050317","rank=19; score=3.4328; p=0.00059744; direction=Activated"
"7","E2F3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.000000000000000","8","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","rank=18; score=2.1321; p=0.0073769","rank=19; score=2.1321; p=0.0073769","rank=8; score=3.8674; p=0.00011001; direction=Repressed"
"8","TFDP1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.666666666666664","4","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","rank=4; score=8.0719; p=8.4734e-09","rank=6; score=3.8837; p=0.00013071","rank=55; score=2.4773; p=0.013236; direction=Repressed"
"9","GATA6","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.333333333333332","18","5","Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=228); Enrichr--Queries(rank=461); GTEx--Coexpression(rank=462)","533","rank=30; score=1.6759; p=0.02109","rank=34; score=1.4752; p=0.033484","rank=18; score=3.4421; p=0.00057717; direction=Activated"
"10","FOXA1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.000000000000000","29","6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=37); GTEx--Coexpression(rank=156); ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=325); Enrichr--Queries(rank=329)","382","rank=37; score=1.4781; p=0.033256","rank=30; score=1.5505; p=0.02815","rank=29; score=2.9647; p=0.0030298; direction=Activated"
