Pathway,"VARIANT MUTATION ACTIVATED SMO TO HEDGEHOG
SIGNALING PATHWAY","VARIANT MUTATION INACTIVATED PTCH1 TO
HEDGEHOG SIGNALING PATHWAY","REFERENCE WNT SIGNALING MODULATION WNT
ACYLATION","REFERENCE WNT SIGNALING MODULATION WNT
INHIBITOR","VARIANT LRP6 OVEREXPRESSION TO WNT SIGNALING
PATHWAY",REFERENCE WNT SIGNALING PATHWAY,"VARIANT FZD7 OVEREXPRESSION TO WNT SIGNALING
PATHWAY",REFERENCE CA2 ENTRY VOLTAGE GATED CA2 CHANNEL,REFERENCE SKELETAL TYPE VGCC RYR SIGNALING,"REFERENCE LECTIN PATHWAY OF COAGULATION
CASCADE FIBRINOGEN TO FIBRIN",REFERENCE MICROTUBULE NUCLEATION,REFERENCE BRANCHING MICROTUBULE NUCLEATION,"PATHOGEN HTLV 1 TAX TO SRF MEDIATED
TRANSCRIPTION",REFERENCE TRANSLATION INITIATION,"PATHOGEN KSHV VGPCR TO GNB G ERK SIGNALING
PATHWAY",REFERENCE CXCR GNB G ERK SIGNALING PATHWAY,ENV FACTOR E2 TO RAS ERK SIGNALING PATHWAY,"ENV FACTOR NNK NNN TO RAS ERK SIGNALING
PATHWAY","PATHOGEN HBV LHBS TO PKC ERK SIGNALING
PATHWAY",REFERENCE ORIGIN UNWINDING AND ELONGATION,REFERENCE PRE IC FORMATION,"VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE ELECTRON TRANSFER IN COMPLEX I,"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT DUPLICATION OR MUTATION ACTIVATED
FLT3 TO JAK STAT SIGNALING PATHWAY",REFERENCE DNA END RESECTION AND RPA LOADING,REFERENCE MISMATCH REPAIR,"PATHOGEN KSHV MIR1 2 TO ANTIGEN PROCESSING
AND PRESENTATION BY MHC CLASS I MOLECULES","PATHOGEN HPV E5 TO ANTIGEN PROCESSING AND
PRESENTATION BY MHC CLASS I MOLECULES","PATHOGEN HTLV 1 P12 TO ANTIGEN PROCESSING AND
PRESENTATION BY MHC CLASS I MOLECULES",REFERENCE GLUCONEOGENESIS,REFERENCE RTK PLCG ITPR SIGNALING PATHWAY,"PATHOGEN HIV GP120 TO CXCR4 GNAQ PLCB G
CALCINEURIN",REFERENCE HEME BIOSYNTHESIS,"PATHOGEN ESCHERICHIA ESPT TO RAC SIGNALING
PATHWAY","PATHOGEN SHIGELLA IPAB C D TO ITGA B TALIN
VINCULIN SIGNALING PATHWAY","PATHOGEN SALMONELLA SPVD TO TNF NFKB
SIGNALING PATHWAY",REFERENCE CD40 NFKB SIGNALING PATHWAY,REFERENCE HEPARAN SULFATE DEGRADATION,REFERENCE DEPHOSPHORYLATION OF KINETOCHORE
"VARIANT MUTATION ACTIVATED SMO TO HEDGEHOG
SIGNALING PATHWAY",1.0,1.0,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION INACTIVATED PTCH1 TO
HEDGEHOG SIGNALING PATHWAY",1.0,1.0,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE WNT SIGNALING MODULATION WNT
ACYLATION",0.9473684210526315,0.9473684210526315,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE WNT SIGNALING MODULATION WNT
INHIBITOR",0.6428571428571429,0.6428571428571429,0.6428571428571429,1.0,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT LRP6 OVEREXPRESSION TO WNT SIGNALING
PATHWAY",0.4,0.4,0.4,0.4,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE WNT SIGNALING PATHWAY,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.9782608695652174,1.0,0.8043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT FZD7 OVEREXPRESSION TO WNT SIGNALING
PATHWAY",0.4864864864864865,0.4864864864864865,0.4864864864864865,0.4864864864864865,0.972972972972973,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE CA2 ENTRY VOLTAGE GATED CA2 CHANNEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE SKELETAL TYPE VGCC RYR SIGNALING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE LECTIN PATHWAY OF COAGULATION
CASCADE FIBRINOGEN TO FIBRIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
