"Input_Type","TF_Analysis_Name","Methods_Integrated","Intersection_Schemes","Output_Directory"
"DEG","HMVL_ALL","6","12","results/ngs/GSE310664/TF_summary/deg/HMVL_ALL"
"DEG","HMVL_CRC29","6","12","results/ngs/GSE310664/TF_summary/deg/HMVL_CRC29"
"DEG","HMVL_HUB098","6","12","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098"
"DEG","HMVL_TOR10","6","12","results/ngs/GSE310664/TF_summary/deg/HMVL_TOR10"
"DEG","HVL_ALL","6","12","results/ngs/GSE310664/TF_summary/deg/HVL_ALL"
"DEG","HVL_CRC29","6","12","results/ngs/GSE310664/TF_summary/deg/HVL_CRC29"
"DEG","HVL_HUB098","6","12","results/ngs/GSE310664/TF_summary/deg/HVL_HUB098"
"DEG","HVL_TOR10","6","12","results/ngs/GSE310664/TF_summary/deg/HVL_TOR10"
"DEG","MVL_ALL","6","12","results/ngs/GSE310664/TF_summary/deg/MVL_ALL"
"DEG","MVL_CRC29","6","12","results/ngs/GSE310664/TF_summary/deg/MVL_CRC29"
"DEG","MVL_HUB098","6","12","results/ngs/GSE310664/TF_summary/deg/MVL_HUB098"
"DEG","MVL_TOR10","6","12","results/ngs/GSE310664/TF_summary/deg/MVL_TOR10"
