Pathway,"GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL TREATED WITH DIGOXIN UP","GSE27241 WT CTRL VS DIGOXIN TREATED RORGT KO
CD4 TCELL IN TH17 POLARIZING CONDITIONS UP",GSE7460 CTRL VS TGFB TREATED ACT TREG DN,"GSE10240 CTRL VS IL22 STIM PRIMARY BRONCHIAL
EPITHELIAL CELLS UP","GSE2770 UNTREATED VS IL12 TREATED ACT CD4
TCELL 6H UP",GSE6674 CPG VS PL2 3 STIM BCELL DN,GSE13306 RA VS UNTREATED MEM CD4 TCELL DN,GSE6259 33D1 POS DC VS CD4 TCELL DN,GSE19198 6H VS 24H IL21 TREATED TCELL DN,GSE25123 WT VS PPARG KO MACROPHAGE UP,GSE40068 BCL6 POS VS NEG CXCR5 POS TFH DN,"GSE9601 UNTREATED VS NFKB INHIBITOR TREATED
HCMV INF MONOCYTE DN",GSE31082 CD4 VS CD8 SP THYMOCYTE UP,GSE45739 NRAS KO VS WT UNSTIM CD4 TCELL DN,"GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
DN","GSE13738 RESTING VS BYSTANDER ACTIVATED CD4
TCELL UP","GSE16450 IMMATURE VS MATURE NEURON CELL LINE
UP",GSE11057 EFF MEM VS CENT MEM CD4 TCELL DN,GSE6259 33D1 POS VS DEC205 POS SPLENIC DC UP,GSE6259 BCELL VS CD8 TCELL DN,"GSE30962 ACUTE VS CHRONIC LCMV SECONDARY INF
CD8 TCELL UP","GSE30962 PRIMARY VS SECONDARY ACUTE LCMV INF
CD8 TCELL DN","GSE5542 UNTREATED VS IFNG TREATED EPITHELIAL
CELLS 6H DN","GSE25088 IL4 VS IL4 AND ROSIGLITAZONE STIM
STAT6 KO MACROPHAGE DAY10 UP",GSE26343 UNSTIM VS LPS STIM MACROPHAGE DN,GSE35825 UNTREATED VS IFNG STIM MACROPHAGE DN,"GSE6092 IFNG VS IFNG AND B BURGDORFERI INF
ENDOTHELIAL CELL UP",GSE12392 WT VS IFNB KO CD8A NEG SPLEEN DC DN,GSE24210 RESTING TREG VS TCONV UP,GSE22432 CDC VS COMMON DC PROGENITOR UP,"GSE22432 PDC VS TGFB1 TREATEDCOMMON DC
PROGENITOR DN",GSE21380 NON TFH VS TFH CD4 TCELL UP,"GSE23502 WT VS HDC KO MYELOID DERIVED
SUPPRESSOR CELL BM UP","GSE43863 DAY6 EFF VS DAY150 MEM LY6C INT
CXCR5POS CD4 TCELL DN",GSE25677 MPL VS R848 STIM BCELL DN,"GSE21670 TGFB VS IL6 TREATED STAT3 KO CD4
TCELL DN","GSE37301 MULTIPOTENT PROGENITOR VS PRO BCELL
DN",GSE21033 1H VS 24H POLYIC STIM DC UP,"GSE17974 2H VS 72H UNTREATED IN VITRO CD4
TCELL UP","GSE24634 IL4 VS CTRL TREATED NAIVE CD4 TCELL
DAY7 DN"
"GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL TREATED WITH DIGOXIN UP",1.0,0.14444444444444443,0.022222222222222223,0.03888888888888889,0.011111111111111112,0.05555555555555555,0.011111111111111112,0.011111111111111112,0.016666666666666666,0.011111111111111112,0.03333333333333333,0.03333333333333333,0.022222222222222223,0.011111111111111112,0.03333333333333333,0.027777777777777776,0.05555555555555555,0.06111111111111111,0.022222222222222223,0.027777777777777776,0.022222222222222223,0.005555555555555556,0.016666666666666666,0.011111111111111112,0.016666666666666666,0.03333333333333333,0.011111111111111112,0.03333333333333333,0.03333333333333333,0.022222222222222223,0.027777777777777776,0.016666666666666666,0.027777777777777776,0.011111111111111112,0.044444444444444446,0.044444444444444446,0.016666666666666666,0.016666666666666666,0.005555555555555556,0.016666666666666666
"GSE27241 WT CTRL VS DIGOXIN TREATED RORGT KO
CD4 TCELL IN TH17 POLARIZING CONDITIONS UP",0.1511627906976744,1.0,0.05813953488372093,0.029069767441860465,0.029069767441860465,0.023255813953488372,0.05232558139534884,0.023255813953488372,0.029069767441860465,0.005813953488372093,0.06395348837209303,0.05232558139534884,0.06395348837209303,0.01744186046511628,0.023255813953488372,0.011627906976744186,0.03488372093023256,0.023255813953488372,0.040697674418604654,0.029069767441860465,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.023255813953488372,0.05813953488372093,0.046511627906976744,0.040697674418604654,0.046511627906976744,0.046511627906976744,0.011627906976744186,0.05813953488372093,0.0755813953488372,0.040697674418604654,0.023255813953488372,0.05813953488372093,0.06976744186046512,0.01744186046511628,0.029069767441860465,0.011627906976744186,0.01744186046511628
GSE7460 CTRL VS TGFB TREATED ACT TREG DN,0.020100502512562814,0.05025125628140704,1.0,0.05527638190954774,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.02512562814070352,0.01507537688442211,0.02512562814070352,0.04020100502512563,0.005025125628140704,0.02512562814070352,0.010050251256281407,0.02512562814070352,0.01507537688442211,0.04020100502512563,0.03015075376884422,0.010050251256281407,0.005025125628140704,0.05025125628140704,0.04020100502512563,0.005025125628140704,0.02512562814070352,0.01507537688442211,0.010050251256281407,0.03015075376884422,0.020100502512562814,0.01507537688442211,0.01507537688442211,0.03015075376884422,0.020100502512562814,0.03015075376884422,0.03015075376884422,0.04020100502512563,0.020100502512562814,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.010050251256281407
"GSE10240 CTRL VS IL22 STIM PRIMARY BRONCHIAL
EPITHELIAL CELLS UP",0.035,0.025,0.055,1.0,0.015,0.065,0.015,0.03,0.035,0.03,0.03,0.02,0.02,0.025,0.035,0.035,0.04,0.02,0.04,0.04,0.03,0.02,0.025,0.02,0.04,0.04,0.02,0.045,0.04,0.055,0.025,0.02,0.045,0.06,0.04,0.045,0.045,0.03,0.005,0.015
"GSE2770 UNTREATED VS IL12 TREATED ACT CD4
TCELL 6H UP",0.01,0.025,0.01,0.015,1.0,0.09,0.06,0.015,0.02,0.03,0.035,0.02,0.025,0.025,0.01,0.015,0.03,0.025,0.025,0.02,0.01,0.005,0.0,0.01,0.005,0.005,0.015,0.025,0.015,0.005,0.025,0.04,0.025,0.015,0.015,0.025,0.02,0.0,0.005,0.07
GSE6674 CPG VS PL2 3 STIM BCELL DN,0.05,0.02,0.01,0.065,0.09,1.0,0.065,0.015,0.025,0.02,0.005,0.005,0.03,0.01,0.02,0.005,0.01,0.005,0.035,0.035,0.025,0.01,0.025,0.0,0.01,0.0,0.015,0.01,0.02,0.015,0.015,0.005,0.045,0.015,0.005,0.015,0.025,0.03,0.025,0.03
GSE13306 RA VS UNTREATED MEM CD4 TCELL DN,0.01,0.045,0.015,0.015,0.06,0.065,1.0,0.01,0.015,0.025,0.015,0.035,0.045,0.025,0.015,0.01,0.01,0.025,0.01,0.005,0.025,0.01,0.02,0.005,0.015,0.01,0.015,0.025,0.005,0.02,0.005,0.04,0.005,0.005,0.02,0.01,0.025,0.01,0.015,0.025
GSE6259 33D1 POS DC VS CD4 TCELL DN,0.011363636363636364,0.022727272727272728,0.028409090909090908,0.03409090909090909,0.017045454545454544,0.017045454545454544,0.011363636363636364,1.0,0.06818181818181818,0.05113636363636364,0.005681818181818182,0.017045454545454544,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.011363636363636364,0.011363636363636364,0.03409090909090909,0.017045454545454544,0.011363636363636364,0.022727272727272728,0.028409090909090908,0.03977272727272727,0.011363636363636364,0.022727272727272728,0.0625,0.03977272727272727,0.017045454545454544,0.045454545454545456,0.03409090909090909,0.022727272727272728,0.017045454545454544,0.028409090909090908,0.045454545454545456,0.028409090909090908,0.045454545454545456,0.045454545454545456,0.03977272727272727,0.028409090909090908,0.03409090909090909
GSE19198 6H VS 24H IL21 TREATED TCELL DN,0.015151515151515152,0.025252525252525252,0.015151515151515152,0.03535353535353535,0.020202020202020204,0.025252525252525252,0.015151515151515152,0.06060606060606061,1.0,0.050505050505050504,0.020202020202020204,0.005050505050505051,0.020202020202020204,0.010101010101010102,0.03535353535353535,0.020202020202020204,0.030303030303030304,0.030303030303030304,0.04040404040404041,0.045454545454545456,0.025252525252525252,0.010101010101010102,0.025252525252525252,0.030303030303030304,0.020202020202020204,0.04040404040404041,0.030303030303030304,0.025252525252525252,0.020202020202020204,0.03535353535353535,0.04040404040404041,0.030303030303030304,0.020202020202020204,0.045454545454545456,0.03535353535353535,0.020202020202020204,0.010101010101010102,0.005050505050505051,0.010101010101010102,0.005050505050505051
GSE25123 WT VS PPARG KO MACROPHAGE UP,0.010050251256281407,0.005025125628140704,0.02512562814070352,0.03015075376884422,0.03015075376884422,0.020100502512562814,0.02512562814070352,0.04522613065326633,0.05025125628140704,1.0,0.02512562814070352,0.010050251256281407,0.01507537688442211,0.010050251256281407,0.035175879396984924,0.020100502512562814,0.01507537688442211,0.02512562814070352,0.06030150753768844,0.035175879396984924,0.01507537688442211,0.02512562814070352,0.04522613065326633,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.03015075376884422,0.020100502512562814,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.010050251256281407,0.020100502512562814,0.04020100502512563,0.01507537688442211,0.02512562814070352,0.03015075376884422,0.04020100502512563,0.035175879396984924
