Pathway,PERIFOVEAL RING OF HYPERAUTOFLUORESCENCE,INTERSTITIAL PNEUMONITIS,"MUSCLE ABNORMALITY RELATED TO MITOCHONDRIAL
DYSFUNCTION","SUBSARCOLEMMAL ACCUMULATIONS OF ABNORMALLY
SHAPED MITOCHONDRIA",ABNORMALITY OF THE MITOCHONDRION,LACTIC ACIDOSIS,CYTOCHROME C OXIDASE NEGATIVE MUSCLE FIBERS,INCREASED CIRCULATING LACTATE CONCENTRATION,MALNUTRITION,ABDOMINAL CRAMPS,LEUKOENCEPHALOPATHY,PERIVENTRICULAR LEUKOMALACIA,"ABNORMAL PERIVENTRICULAR WHITE MATTER
MORPHOLOGY",DELAYED ABILITY TO WALK,ABNORMAL FOURTH TOE MORPHOLOGY,ABNORMAL 4TH FINGER MORPHOLOGY,OSTEOLYSIS,ABNORMALITY OF TASTE SENSATION,MENINGITIS,ANTI PROTEINASE 3 ANTIBODY POSITIVITY,PROSTATITIS,PLEURITIS,FACIAL GRIMACING,TICS,SMOOTH PHILTRUM,GOWERS SIGN,"EMG DECREMENTAL RESPONSE OF COMPOUND MUSCLE
ACTION POTENTIAL TO REPETITIVE NERVE
STIMULATION",APLASIA OF THE 2ND FINGER,CORTICAL DYSPLASIA,LOWER LIMB UNDERGROWTH,DECREASED SKULL OSSIFICATION,ABNORMAL CIRCULATING OSTEOCALCIN LEVEL,ACCELERATED ATHEROSCLEROSIS,PENILE FRECKLING,RECURRENT APHTHOUS STOMATITIS,LONG TRACT SIGN,PREAXIAL FOOT POLYDACTYLY,APLASIA HYPOPLASIA OF THE PUBIC BONE,PUNCTATE OPACIFICATION OF THE CORNEA,MATURITY ONSET DIABETES OF THE YOUNG
PERIFOVEAL RING OF HYPERAUTOFLUORESCENCE,1.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
INTERSTITIAL PNEUMONITIS,0.05263157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MUSCLE ABNORMALITY RELATED TO MITOCHONDRIAL
DYSFUNCTION",0.0,0.0,1.0,0.0594059405940594,0.8217821782178217,0.801980198019802,0.3564356435643564,0.6534653465346535,0.019801980198019802,0.019801980198019802,0.4158415841584158,0.0297029702970297,0.04950495049504951,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.06930693069306931,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.24752475247524752,0.0,0.0,0.0,0.0
"SUBSARCOLEMMAL ACCUMULATIONS OF ABNORMALLY
SHAPED MITOCHONDRIA",0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
ABNORMALITY OF THE MITOCHONDRION,0.004149377593360996,0.0,0.34439834024896265,0.024896265560165973,1.0,0.5435684647302904,0.11203319502074689,0.5435684647302904,0.016597510373443983,0.008298755186721992,0.26556016597510373,0.029045643153526972,0.06224066390041494,0.04979253112033195,0.0,0.004149377593360996,0.008298755186721992,0.0,0.016597510373443983,0.0,0.0,0.0,0.0,0.0,0.012448132780082987,0.04149377593360996,0.012448132780082987,0.0,0.004149377593360996,0.0,0.0,0.004149377593360996,0.0,0.0,0.0,0.22406639004149378,0.0,0.0,0.0,0.0
LACTIC ACIDOSIS,0.0,0.0,0.40298507462686567,0.01990049751243781,0.6517412935323383,1.0,0.12437810945273632,0.5970149253731343,0.014925373134328358,0.009950248756218905,0.2885572139303483,0.029850746268656716,0.06965174129353234,0.04975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009950248756218905,0.0,0.004975124378109453,0.029850746268656716,0.004975124378109453,0.0,0.004975124378109453,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.15422885572139303,0.0,0.0,0.0,0.0
CYTOCHROME C OXIDASE NEGATIVE MUSCLE FIBERS,0.0,0.0,1.0,0.1111111111111111,0.75,0.6944444444444444,1.0,0.6944444444444444,0.05555555555555555,0.05555555555555555,0.25,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.05555555555555555,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.3611111111111111,0.0,0.0,0.0,0.0
INCREASED CIRCULATING LACTATE CONCENTRATION,0.004329004329004329,0.0,0.2857142857142857,0.021645021645021644,0.5670995670995671,0.5194805194805194,0.10822510822510822,1.0,0.008658008658008658,0.004329004329004329,0.23809523809523808,0.03463203463203463,0.09090909090909091,0.06493506493506493,0.0,0.004329004329004329,0.0,0.0,0.004329004329004329,0.0,0.0,0.0,0.004329004329004329,0.0,0.004329004329004329,0.017316017316017316,0.004329004329004329,0.0,0.008658008658008658,0.0,0.0,0.0,0.0,0.0,0.004329004329004329,0.21645021645021645,0.004329004329004329,0.004329004329004329,0.0,0.0
MALNUTRITION,0.0,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.09302325581395349,0.06976744186046512,0.046511627906976744,0.046511627906976744,1.0,0.046511627906976744,0.06976744186046512,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.0
ABDOMINAL CRAMPS,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.125,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
