"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.666666666666667","1","4","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=461); Enrichr--Queries(rank=893); ARCHS4--Coexpression(rank=1189)","237","rank=1; score=6.4971; p=3.1836e-07","rank=2; score=5.4163; direction=Activated","rank=5; score=4.0311; p=5.5512e-05; direction=Activated"
"2","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.333333333333333","4","6","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=268); GTEx--Coexpression(rank=1380)","54","rank=4; score=3.9059; p=0.0001242","rank=5; score=4.162; direction=Activated","rank=4; score=4.1029; p=4.0798e-05; direction=Activated"
"3","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.000000000000000","7","4","Literature--ChIP-seq(rank=100); Enrichr--Queries(rank=511); GTEx--Coexpression(rank=614); ARCHS4--Coexpression(rank=763)","1071","rank=7; score=3.3188; p=0.00048001","rank=9; score=3.5861; direction=Activated","rank=14; score=3.0662; p=0.0021678; direction=Activated"
"4","NFKB1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.666666666666666","12","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=12; score=2.2812; p=0.0052333","rank=13; score=3.3207; direction=Activated","rank=22; score=2.7139; p=0.0066492; direction=Activated"
"5","RELA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.333333333333332","17","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=17; score=1.8859; p=0.013005","rank=23; score=2.8994; direction=Activated","rank=24; score=2.6249; p=0.0086683; direction=Activated"
"6","ETV4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.000000000000000","15","4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=287); GTEx--Coexpression(rank=1160); ARCHS4--Coexpression(rank=1164)","671","rank=15; score=2.0479; p=0.008956","rank=18; score=3.073; direction=Activated","rank=36; score=2.4345; p=0.014911; direction=Activated"
"7","ATF3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.333333333333336","8","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=9; score=2.8637; p=0.0013686","rank=59; score=1.9468; direction=Repressed","rank=8; score=3.289; p=0.0010054; direction=Activated"
"8","STAT3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.666666666666668","29","6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=954)","72","rank=30; score=1.4436; p=0.036005","rank=36; score=2.3417; direction=Activated","rank=29; score=2.5412; p=0.011046; direction=Activated"
"9","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.000000000000000","3","6","Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=59); ENCODE--ChIP-seq(rank=71); Enrichr--Queries(rank=207); ReMap--ChIP-seq(rank=263); ARCHS4--Coexpression(rank=535)","138","rank=90; score=0.49924; p=0.31678","rank=3; score=4.9879; direction=Repressed","rank=3; score=4.1382; p=3.5004e-05; direction=Repressed"
"10","CLOCK","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.000000000000000","19","5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=209); ARCHS4--Coexpression(rank=612); Enrichr--Queries(rank=1231); GTEx--Coexpression(rank=1571)","811","rank=19; score=1.8593; p=0.013827","rank=34; score=2.4491; direction=Activated","rank=49; score=2.2647; p=0.023533; direction=Activated"
