Pathway,GCCATNTTG YY1 Q6,YY1 Q6,NFMUE1 Q6,KCCGNSWTTT UNKNOWN,ATGGYGGA UNKNOWN,YY1 01,TCCATTKW UNKNOWN,TAANNYSGCG UNKNOWN,SOX9 B1,SRY 02,GR Q6 01,SRY 01,NKX25 02,YNGTTNNNATT UNKNOWN,HFH1 01,HTF 01,GFI1 01,CEBP C,NRF2 Q4,AP1 Q4 01,ACTAYRNNNCCCR UNKNOWN,STAT1 02,CHOP 01,TTGCWCAAY CEBPB 02,CEBPA 01,STAT6 01,GCM Q2,WYAAANNRNNNGCG UNKNOWN,E4F1 Q6,ATF6 01,TAXCREB 01,CREB Q2 01,CREB Q2,CREB Q4,CREBP1 Q2,YGCANTGCR UNKNOWN,NMYC 01,CCGNMNNTNACG UNKNOWN,CGTSACG PAX3 B,KRCTCNNNNMANAGC UNKNOWN
GCCATNTTG YY1 Q6,1.0,0.4279176201372998,0.2608695652173913,0.08924485125858124,0.04805491990846682,0.14874141876430205,0.041189931350114416,0.016018306636155607,0.05491990846681922,0.04805491990846682,0.041189931350114416,0.036613272311212815,0.02517162471395881,0.05491990846681922,0.04576659038901602,0.020594965675057208,0.04805491990846682,0.034324942791762014,0.032036613272311214,0.02517162471395881,0.06178489702517163,0.05491990846681922,0.02288329519450801,0.002288329519450801,0.034324942791762014,0.032036613272311214,0.034324942791762014,0.016018306636155607,0.059496567505720827,0.02288329519450801,0.02745995423340961,0.032036613272311214,0.032036613272311214,0.032036613272311214,0.036613272311212815,0.02745995423340961,0.04576659038901602,0.006864988558352402,0.018306636155606407,0.004576659038901602
YY1 Q6,0.7450199203187251,1.0,0.44223107569721115,0.07171314741035857,0.04780876494023904,0.09561752988047809,0.0398406374501992,0.02390438247011952,0.05976095617529881,0.035856573705179286,0.03187250996015936,0.04780876494023904,0.01593625498007968,0.04780876494023904,0.055776892430278883,0.0199203187250996,0.027888446215139442,0.0199203187250996,0.0199203187250996,0.0199203187250996,0.04780876494023904,0.06374501992031872,0.0199203187250996,0.00398406374501992,0.0398406374501992,0.03187250996015936,0.0199203187250996,0.00398406374501992,0.043824701195219126,0.02390438247011952,0.01593625498007968,0.0398406374501992,0.01593625498007968,0.01195219123505976,0.027888446215139442,0.02390438247011952,0.055776892430278883,0.00796812749003984,0.03187250996015936,0.00796812749003984
NFMUE1 Q6,0.4541832669322709,0.44223107569721115,1.0,0.10756972111553785,0.10358565737051793,0.11155378486055777,0.0398406374501992,0.09163346613545817,0.043824701195219126,0.05976095617529881,0.04780876494023904,0.05179282868525897,0.02390438247011952,0.04780876494023904,0.0398406374501992,0.0199203187250996,0.02390438247011952,0.01195219123505976,0.00796812749003984,0.01195219123505976,0.043824701195219126,0.06374501992031872,0.01195219123505976,0.0,0.05179282868525897,0.01593625498007968,0.03187250996015936,0.0199203187250996,0.04780876494023904,0.01593625498007968,0.043824701195219126,0.03187250996015936,0.0199203187250996,0.027888446215139442,0.027888446215139442,0.0398406374501992,0.02390438247011952,0.01195219123505976,0.03187250996015936,0.00398406374501992
KCCGNSWTTT UNKNOWN,0.3611111111111111,0.16666666666666666,0.25,1.0,0.1574074074074074,0.17592592592592593,0.06481481481481481,0.08333333333333333,0.07407407407407407,0.08333333333333333,0.046296296296296294,0.06481481481481481,0.037037037037037035,0.027777777777777776,0.07407407407407407,0.018518518518518517,0.027777777777777776,0.037037037037037035,0.046296296296296294,0.037037037037037035,0.027777777777777776,0.1111111111111111,0.037037037037037035,0.018518518518518517,0.06481481481481481,0.027777777777777776,0.046296296296296294,0.06481481481481481,0.09259259259259259,0.037037037037037035,0.046296296296296294,0.06481481481481481,0.046296296296296294,0.046296296296296294,0.046296296296296294,0.07407407407407407,0.046296296296296294,0.027777777777777776,0.037037037037037035,0.0
ATGGYGGA UNKNOWN,0.2,0.11428571428571428,0.24761904761904763,0.1619047619047619,1.0,0.047619047619047616,0.08571428571428572,0.0761904761904762,0.047619047619047616,0.047619047619047616,0.05714285714285714,0.01904761904761905,0.05714285714285714,0.08571428571428572,0.0761904761904762,0.009523809523809525,0.05714285714285714,0.06666666666666667,0.01904761904761905,0.02857142857142857,0.06666666666666667,0.09523809523809523,0.0,0.0,0.05714285714285714,0.047619047619047616,0.05714285714285714,0.01904761904761905,0.0380952380952381,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.0380952380952381,0.02857142857142857,0.0380952380952381,0.009523809523809525,0.047619047619047616,0.0
YY1 01,0.25793650793650796,0.09523809523809523,0.1111111111111111,0.07539682539682539,0.01984126984126984,1.0,0.24603174603174602,0.047619047619047616,0.05952380952380952,0.07539682539682539,0.03968253968253968,0.051587301587301584,0.06746031746031746,0.05555555555555555,0.06746031746031746,0.023809523809523808,0.09523809523809523,0.04365079365079365,0.04365079365079365,0.051587301587301584,0.04365079365079365,0.05555555555555555,0.07142857142857142,0.015873015873015872,0.07936507936507936,0.06746031746031746,0.04365079365079365,0.015873015873015872,0.10714285714285714,0.047619047619047616,0.03968253968253968,0.06349206349206349,0.06349206349206349,0.07539682539682539,0.06349206349206349,0.047619047619047616,0.04365079365079365,0.007936507936507936,0.03571428571428571,0.003968253968253968
TCCATTKW UNKNOWN,0.0743801652892562,0.04132231404958678,0.04132231404958678,0.028925619834710745,0.0371900826446281,0.256198347107438,1.0,0.04132231404958678,0.17355371900826447,0.1115702479338843,0.045454545454545456,0.024793388429752067,0.07851239669421488,0.10330578512396695,0.09090909090909091,0.012396694214876033,0.05371900826446281,0.07024793388429752,0.045454545454545456,0.0371900826446281,0.024793388429752067,0.028925619834710745,0.08264462809917356,0.024793388429752067,0.08264462809917356,0.09917355371900827,0.03305785123966942,0.02066115702479339,0.05371900826446281,0.03305785123966942,0.03305785123966942,0.012396694214876033,0.049586776859504134,0.04132231404958678,0.0371900826446281,0.03305785123966942,0.045454545454545456,0.01652892561983471,0.02066115702479339,0.008264462809917356
TAANNYSGCG UNKNOWN,0.08641975308641975,0.07407407407407407,0.2839506172839506,0.1111111111111111,0.09876543209876543,0.14814814814814814,0.12345679012345678,1.0,0.037037037037037035,0.037037037037037035,0.04938271604938271,0.08641975308641975,0.024691358024691357,0.09876543209876543,0.08641975308641975,0.037037037037037035,0.08641975308641975,0.024691358024691357,0.0,0.012345679012345678,0.024691358024691357,0.04938271604938271,0.04938271604938271,0.024691358024691357,0.09876543209876543,0.06172839506172839,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.012345679012345678,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.04938271604938271,0.04938271604938271,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.012345679012345678
SOX9 B1,0.100418410041841,0.06276150627615062,0.04602510460251046,0.03347280334728033,0.02092050209205021,0.06276150627615062,0.17573221757322174,0.012552301255230125,1.0,0.25523012552301255,0.100418410041841,0.06276150627615062,0.08368200836820083,0.14225941422594143,0.09205020920502092,0.016736401673640166,0.07531380753138076,0.08368200836820083,0.0502092050209205,0.02510460251046025,0.02510460251046025,0.04602510460251046,0.07112970711297072,0.0,0.07531380753138076,0.08368200836820083,0.03765690376569038,0.012552301255230125,0.0502092050209205,0.02510460251046025,0.02092050209205021,0.02092050209205021,0.03765690376569038,0.03765690376569038,0.03347280334728033,0.029288702928870293,0.04602510460251046,0.0041841004184100415,0.03765690376569038,0.0
SRY 02,0.08108108108108109,0.03474903474903475,0.05791505791505792,0.03474903474903475,0.019305019305019305,0.07335907335907337,0.10424710424710425,0.011583011583011582,0.23552123552123552,1.0,0.08108108108108109,0.1776061776061776,0.08108108108108109,0.14671814671814673,0.1776061776061776,0.011583011583011582,0.07722007722007722,0.03861003861003861,0.05019305019305019,0.03861003861003861,0.02702702702702703,0.04633204633204633,0.06563706563706563,0.015444015444015444,0.07335907335907337,0.08108108108108109,0.05405405405405406,0.019305019305019305,0.05791505791505792,0.015444015444015444,0.023166023166023165,0.019305019305019305,0.03861003861003861,0.04633204633204633,0.019305019305019305,0.03088803088803089,0.03474903474903475,0.011583011583011582,0.019305019305019305,0.0
