"TF","DLD1","HCT15","SW48","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-12.03626670307464686","1.987018440411549625","-7.03125849495026056","-5.6935022525377858571","7.01818121281215213","Repressed","1","viper","1","7.01818121281215213",NA,NA,"6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=275); Enrichr--Queries(rank=1069); GTEx--Coexpression(rank=1419)","595","0.16889999999999999","ARCHS4 Coexpression,0.1689"
"ZNF263","-6.97409623199855133","6.612336967331807536","1.08991149248338037","0.2427174092722121923","4.89211489727124604","Activated","2","viper","2","4.89211489727124604",NA,NA,"6","ENCODE--ChIP-seq(rank=82); Literature--ChIP-seq(rank=159); ReMap--ChIP-seq(rank=270); ARCHS4--Coexpression(rank=284); Enrichr--Queries(rank=800); GTEx--Coexpression(rank=1065)","612","0.17440000000000000","ARCHS4 Coexpression,0.1744"
"MYC","-6.96164586509100936","-1.652790838339303514","-5.29116689429800413","-4.6352011992427719633","4.63520119924277196","Repressed","3","viper","3","4.63520119924277196",NA,NA,"6","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=169); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=624); ARCHS4--Coexpression(rank=825)","408","0.10520000000000000","GTEx Coexpression,0.1052"
"TEAD1","3.61061148602807114","1.760668164825927917","7.04686333628331685","4.1393809957124387822","4.13938099571243878","Activated","4","viper","4","4.13938099571243878",NA,NA,"4","ReMap--ChIP-seq(rank=43); ARCHS4--Coexpression(rank=75); GTEx--Coexpression(rank=131); Enrichr--Queries(rank=646)","208","0.04607000000000000","ARCHS4 Coexpression,0.04607"
"TP53","3.31793345486618119","2.496009697668360339","6.16575423048296312","3.9932324610058351766","3.99323246100583518","Activated","5","viper","5","3.99323246100583518",NA,NA,"5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=590); Enrichr--Queries(rank=920); GTEx--Coexpression(rank=1085)","385","0.09755999999999999","Literature ChIP-seq,0.09756"
"PRDM14","6.59533593893632908","-2.452860756288309130","2.87613659478843564","2.3395372591454854927","3.97477776333769128","Activated","6","viper","6","3.97477776333769128",NA,NA,"5","Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=545); ARCHS4--Coexpression(rank=1221); GTEx--Coexpression(rank=1242)","1175","0.38819999999999999","Enrichr Queries,0.3882"
"MEF2A","2.98481323934824694","3.620890688594994078","5.18684591130361028","3.9308499464156168024","3.93084994641561680","Activated","7","viper","7","3.93084994641561680",NA,NA,"6","ENCODE--ChIP-seq(rank=14); Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=92); GTEx--Coexpression(rank=273); Enrichr--Queries(rank=743); ARCHS4--Coexpression(rank=1089)","444","0.11860000000000000","ENCODE ChIP-seq,0.1186"
"FOXO3","5.20756347311518741","2.635992497570343485","3.93224725027141764","3.9252677403189828453","3.92526774031898285","Activated","8","viper","8","3.92526774031898285",NA,NA,"4","Literature--ChIP-seq(rank=132); Enrichr--Queries(rank=427); ARCHS4--Coexpression(rank=574); GTEx--Coexpression(rank=723)","988","0.30409999999999998","Enrichr Queries,0.3041"
"E2F2","-5.91470691975016738","0.804468931782980512","-4.79454853526426472","-3.3015955077438170484","3.83790812893247102","Repressed","9","viper","9","3.83790812893247102",NA,NA,"3","GTEx--Coexpression(rank=553); ARCHS4--Coexpression(rank=657); Enrichr--Queries(rank=1113)","1093","0.34410000000000002","GTEx Coexpression,0.3441"
"IRF3","2.76173009759628618","-2.584259778268803043","-5.79053346973701100","-1.8710210501365092117","3.71217444853403356","Repressed","10","viper","10","3.71217444853403356",NA,NA,"5","ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=1057); ARCHS4--Coexpression(rank=1207); GTEx--Coexpression(rank=1510)","1443","0.55889999999999995","ReMap ChIP-seq,0.5589"
"ZBTB7A","-6.50033551971387791","3.868359879082198471","0.76780534829366354","-0.6213900974460052629","3.71216691569657975","Repressed","11","viper","11","3.71216691569657975",NA,NA,"5","ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=800); Enrichr--Queries(rank=1051); ARCHS4--Coexpression(rank=1390)","1115","0.35589999999999999","ENCODE ChIP-seq,0.3559"
"E2F1","-6.94446816082077145","2.325667910020416507","-1.57664571466513115","-2.0651486551551623272","3.61559392850210637","Repressed","12","viper","12","3.61559392850210637",NA,NA,"6","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=649); Enrichr--Queries(rank=1144)","1181","0.39190000000000003","ARCHS4 Coexpression,0.3919"
