"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.8","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","rank=1; score=3.4892; p=0.00032422","rank=3; score=7.262; direction=Repressed","rank=1; score=36.668; p=0.00012026; adjP=0.012267","rank=3; score=2.3382; p=0.0045902","rank=1; score=6.8052; p=1.0093e-11; direction=Repressed"
"2","SP3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.4","8","3","GTEx--Coexpression(rank=1068); Enrichr--Queries(rank=1199); ARCHS4--Coexpression(rank=1309)","1494","rank=21; score=1.0818; p=0.082837","rank=42; score=2.264; direction=Activated","rank=48; score=9.5338; p=0.021083; adjP=0.44763","rank=8; score=1.6761; p=0.021083","rank=38; score=2.3873; p=0.016974; direction=Activated"
"3","RFX5","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.2","4","5","ENCODE--ChIP-seq(rank=52); GTEx--Coexpression(rank=189); ReMap--ChIP-seq(rank=206); Enrichr--Queries(rank=383); ARCHS4--Coexpression(rank=1129)","467","rank=4; score=1.9434; p=0.011393","rank=25; score=3.0141; direction=Activated","rank=88; score=9.2384; p=0.10108; adjP=0.51938","rank=30; score=0.99533; p=0.10108","rank=54; score=2.0574; p=0.03965; direction=Activated"
"4","FOXM1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.0","6","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","rank=6; score=1.732; p=0.018536","rank=75; score=1.5294; direction=Repressed","rank=14; score=41.684; p=1.7416e-05; adjP=0.003222","rank=109; score=0.39162; p=0.40586","rank=11; score=2.7391; p=0.00616; direction=Repressed"
"5","SMAD3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.0","5","5","Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=286); Enrichr--Queries(rank=428); GTEx--Coexpression(rank=712)","650","rank=5; score=1.7761; p=0.016744","rank=28; score=2.9159; direction=Activated","rank=116; score=3.1737; p=0.23979; adjP=0.51938","rank=67; score=0.62017; p=0.23979","rank=14; score=2.6335; p=0.0084515; direction=Activated"
"6","IRF9","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.6","9","4","Enrichr--Queries(rank=35); GTEx--Coexpression(rank=97); ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=237)","108","rank=77; score=0.51213; p=0.30752","rank=86; score=1.4036; direction=Activated","rank=49; score=40.795; p=0.022523; adjP=0.44763","rank=9; score=1.6474; p=0.022523","rank=12; score=2.7167; p=0.0065937; direction=Activated"
"7","KLF5","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.6","4","5","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=357)","27","rank=27; score=0.99293; p=0.10164","rank=4; score=6.4838; direction=Activated","rank=23; score=49.239; p=0.0062224; adjP=0.25304","rank=5; score=2.206; p=0.0062225","rank=179; score=1.3597; p=0.17392; direction=Activated"
"8","REST","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.6","9","6","ENCODE--ChIP-seq(rank=43); Literature--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=359); Enrichr--Queries(rank=1256); ARCHS4--Coexpression(rank=1392)","777","rank=78; score=0.51213; p=0.30752","rank=38; score=2.4418; direction=Repressed","rank=105; score=12.95; p=0.073548; adjP=0.51938","rank=73; score=0.60025; p=0.25105","rank=9; score=2.7483; p=0.0059899; direction=Activated"
"9","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.8","5","6","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=12); Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=1469)","14","rank=138; score=0.19016; p=0.64542","rank=5; score=5.2283; direction=Repressed","rank=62; score=7.5186; p=0.0053898; adjP=0.10919","rank=107; score=0.42124; p=0.37911","rank=32; score=2.5307; p=0.011383; direction=Repressed"
"10","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.0","9","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=23); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=77); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=106)","70","rank=9; score=1.5157; p=0.030498","rank=47; score=2.1117; direction=Activated","rank=24; score=6.7555; p=0.016316; adjP=0.20701","rank=145; score=0.13985; p=0.72468","rank=120; score=1.6317; p=0.10275; direction=Activated"
