Pathway,TAFAZZIN TARGET GENES,TBX1 TARGET GENES,SOX11 TARGET GENES,ATF5 TARGET GENES,PER1 TARGET GENES,EMX1 TARGET GENES,KDM1B TARGET GENES,ZZZ3 TARGET GENES,GTF3C1 TARGET GENES,ZNF486 TARGET GENES,HOXD1 TARGET GENES,BCL6B TARGET GENES,RLF TARGET GENES,YBX3 TARGET GENES,RPA2 TARGET GENES,HOXC11 TARGET GENES,ASXL2 TARGET GENES,TERF1 TARGET GENES,WIZ TARGET GENES
TAFAZZIN TARGET GENES,1.0,0.03278688524590164,0.004098360655737705,0.02663934426229508,0.0,0.020491803278688523,0.004098360655737705,0.01639344262295082,0.0,0.006147540983606557,0.0020491803278688526,0.012295081967213115,0.02663934426229508,0.004098360655737705,0.0020491803278688526,0.0020491803278688526,0.0,0.004098360655737705,0.0020491803278688526
TBX1 TARGET GENES,0.06451612903225806,1.0,0.008064516129032258,0.04435483870967742,0.0,0.020161290322580645,0.016129032258064516,0.03225806451612903,0.004032258064516129,0.004032258064516129,0.004032258064516129,0.012096774193548387,0.024193548387096774,0.008064516129032258,0.004032258064516129,0.016129032258064516,0.004032258064516129,0.020161290322580645,0.0
SOX11 TARGET GENES,0.0425531914893617,0.0425531914893617,1.0,0.06382978723404255,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.02127659574468085,0.0
ATF5 TARGET GENES,0.02795698924731183,0.023655913978494623,0.0064516129032258064,1.0,0.015053763440860216,0.07956989247311828,0.012903225806451613,0.03655913978494624,0.0,0.010752688172043012,0.008602150537634409,0.01935483870967742,0.03655913978494624,0.0064516129032258064,0.0,0.015053763440860216,0.0,0.02795698924731183,0.0
PER1 TARGET GENES,0.0,0.0,0.030303030303030304,0.21212121212121213,1.0,0.15151515151515152,0.030303030303030304,0.12121212121212122,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0
EMX1 TARGET GENES,0.04310344827586207,0.021551724137931036,0.0,0.15948275862068967,0.021551724137931036,1.0,0.02586206896551724,0.017241379310344827,0.004310344827586207,0.017241379310344827,0.008620689655172414,0.017241379310344827,0.01293103448275862,0.01293103448275862,0.0,0.004310344827586207,0.017241379310344827,0.02586206896551724,0.004310344827586207
KDM1B TARGET GENES,0.012121212121212121,0.024242424242424242,0.0,0.03636363636363636,0.006060606060606061,0.03636363636363636,1.0,0.03636363636363636,0.0,0.0,0.006060606060606061,0.024242424242424242,0.030303030303030304,0.0,0.0,0.006060606060606061,0.0,0.01818181818181818,0.0
ZZZ3 TARGET GENES,0.025078369905956112,0.025078369905956112,0.0,0.05329153605015674,0.012539184952978056,0.012539184952978056,0.018808777429467086,1.0,0.003134796238244514,0.006269592476489028,0.003134796238244514,0.012539184952978056,0.07836990595611286,0.009404388714733543,0.003134796238244514,0.01567398119122257,0.003134796238244514,0.01567398119122257,0.0
GTF3C1 TARGET GENES,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
ZNF486 TARGET GENES,0.009868421052631578,0.003289473684210526,0.0,0.01644736842105263,0.0,0.013157894736842105,0.0,0.006578947368421052,0.0,1.0,0.003289473684210526,0.006578947368421052,0.006578947368421052,0.0,0.003289473684210526,0.003289473684210526,0.0,0.01644736842105263,0.0
HOXD1 TARGET GENES,0.012987012987012988,0.012987012987012988,0.0,0.05194805194805195,0.0,0.025974025974025976,0.012987012987012988,0.012987012987012988,0.0,0.012987012987012988,1.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0
BCL6B TARGET GENES,0.03488372093023256,0.01744186046511628,0.0,0.05232558139534884,0.005813953488372093,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.0,0.011627906976744186,0.011627906976744186,1.0,0.011627906976744186,0.0,0.0,0.005813953488372093,0.0,0.011627906976744186,0.0
RLF TARGET GENES,0.036931818181818184,0.017045454545454544,0.002840909090909091,0.048295454545454544,0.0,0.008522727272727272,0.014204545454545454,0.07102272727272728,0.0,0.005681818181818182,0.0,0.005681818181818182,1.0,0.019886363636363636,0.0,0.008522727272727272,0.0,0.011363636363636364,0.0
YBX3 TARGET GENES,0.034482758620689655,0.034482758620689655,0.0,0.05172413793103448,0.0,0.05172413793103448,0.0,0.05172413793103448,0.0,0.0,0.0,0.0,0.1206896551724138,1.0,0.0,0.0,0.0,0.0,0.0
RPA2 TARGET GENES,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0
HOXC11 TARGET GENES,0.015384615384615385,0.06153846153846154,0.0,0.1076923076923077,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.07692307692307693,0.046153846153846156,0.015384615384615385,0.0,0.015384615384615385,0.046153846153846156,0.0,0.046153846153846156,1.0,0.015384615384615385,0.03076923076923077,0.0
ASXL2 TARGET GENES,0.0,0.01818181818181818,0.0,0.0,0.0,0.07272727272727272,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.01818181818181818,1.0,0.0,0.0
TERF1 TARGET GENES,0.006688963210702341,0.016722408026755852,0.0033444816053511705,0.043478260869565216,0.0,0.020066889632107024,0.010033444816053512,0.016722408026755852,0.0,0.016722408026755852,0.006688963210702341,0.006688963210702341,0.013377926421404682,0.0,0.0033444816053511705,0.006688963210702341,0.0,1.0,0.0033444816053511705
WIZ TARGET GENES,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0
