"Analysis_Name","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","Single_Pathway_Plots","CSV_File","PDF_File","PNG_File"
"COLON_GTEx_ATF3_spearman_correlation","hallmark","computed","19108","32","21","4","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_hallmark_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_hallmark_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_hallmark_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","CP_BIOCARTA","computed","19108","86","74","12","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_CP_BIOCARTA_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_CP_BIOCARTA_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_CP_BIOCARTA_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","CP_KEGG_MEDICUS","computed","19108","140","97","43","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_CP_KEGG_MEDICUS_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_CP_KEGG_MEDICUS_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_CP_KEGG_MEDICUS_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","CP_KEGG_LEGACY","computed","19108","77","37","39","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_CP_KEGG_LEGACY_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_CP_KEGG_LEGACY_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_CP_KEGG_LEGACY_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","CP_REACTOME","computed","19108","594","459","129","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_CP_REACTOME_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_CP_REACTOME_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_CP_REACTOME_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","CP_WIKIPATHWAYS","computed","19108","343","256","87","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_CP_WIKIPATHWAYS_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_CP_WIKIPATHWAYS_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_CP_WIKIPATHWAYS_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","TFT_TFT_LEGACY","computed","19108","451","445","2","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_TFT_TFT_LEGACY_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_TFT_TFT_LEGACY_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_TFT_TFT_LEGACY_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","TFT_GTRD","computed","19108","84","75","5","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_TFT_GTRD_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_TFT_GTRD_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_TFT_GTRD_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","GO_BP","computed","19108","1861","1513","309","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_GO_BP_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_GO_BP_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_GO_BP_dotplot.png"
"COLON_GTEx_ATF3_spearman_correlation","GO_CC","computed","19108","275","227","43","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/tables/GSEA/COLON_GTEx_ATF3_spearman_correlation_GO_CC_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/pdf/COLON_GTEx_ATF3_spearman_correlation_GO_CC_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_correlation/plots/GSEA/png/COLON_GTEx_ATF3_spearman_correlation_GO_CC_dotplot.png"
