"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=1; score=14.69; p=2.0406e-15","rank=12; score=3.3812; p=0.00041574","rank=1; score=7.8804; p=3.2645e-15; direction=Repressed"
"2","FOXO3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.000000000000000","3","4","Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=579)","497","rank=13; score=5.0753; p=8.4079e-06","rank=8; score=4.2627; p=5.4615e-05","rank=3; score=5.5456; p=2.9288e-08; direction=Activated"
"3","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.666666666666666","1","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=8; score=6.2274; p=5.9234e-07","rank=1; score=8.9045; p=1.2461e-09","rank=17; score=3.9867; p=6.6989e-05; direction=Repressed"
"4","FOXO4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.000000000000000","14","3","Enrichr--Queries(rank=364); GTEx--Coexpression(rank=913); ARCHS4--Coexpression(rank=1246)","837","rank=51; score=2.3342; p=0.0046324","rank=14; score=3.1656; p=0.00068294","rank=16; score=4.0107; p=6.0528e-05; direction=Activated"
"5","USF1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.333333333333336","19","5","ReMap--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=791); GTEx--Coexpression(rank=963); Enrichr--Queries(rank=1039)","286","rank=47; score=2.442; p=0.0036138","rank=19; score=3.014; p=0.0009683","rank=40; score=3.1667; p=0.0015418; direction=Activated"
"6","IRF9","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.000000000000000","4","4","ReMap--ChIP-seq(rank=256); ARCHS4--Coexpression(rank=341); Enrichr--Queries(rank=353); GTEx--Coexpression(rank=465)","711","rank=70; score=1.8279; p=0.014863","rank=61; score=1.6037; p=0.024907","rank=4; score=5.3966; p=6.791e-08; direction=Activated"
"7","SP3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.333333333333336","30","3","Enrichr--Queries(rank=1027); ARCHS4--Coexpression(rank=1293); GTEx--Coexpression(rank=1327)","1561","rank=30; score=3.6737; p=0.00021197","rank=44; score=2.1537; p=0.0070191","rank=101; score=2.3942; p=0.016655; direction=Activated"
"8","FOXO1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.333333333333336","20","5","Literature--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=41); ReMap--ChIP-seq(rank=131); Enrichr--Queries(rank=145); GTEx--Coexpression(rank=536)","93","rank=20; score=4.421; p=3.7932e-05","rank=48; score=1.8748; p=0.01334","rank=110; score=2.3087; p=0.020962; direction=Activated"
"9","STAT1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.000000000000000","45","6","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=27); ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=189); Enrichr--Queries(rank=271)","58","rank=45; score=2.5304; p=0.0029486","rank=63; score=1.6033; p=0.02493","rank=81; score=2.6656; p=0.0076844; direction=Activated"
"10","HIF1A","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.666666666666671","27","5","ARCHS4--Coexpression(rank=36); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=99); GTEx--Coexpression(rank=456); Enrichr--Queries(rank=578)","79","rank=27; score=3.9116; p=0.00012257","rank=97; score=1.0298; p=0.093363","rank=73; score=2.7212; p=0.0065054; direction=Activated"
