SCAVENGING OF HEME FROM PLASMA,1.0,1.0,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BINDING AND UPTAKE OF LIGANDS BY SCAVENGER
ROLE OF PHOSPHOLIPIDS IN PHAGOCYTOSIS,0.6585365853658537,0.6585365853658537,0.7073170731707317,0.6951219512195121,0.6951219512195121,0.6951219512195121,0.6585365853658537,0.7439024390243902,0.7682926829268293,0.8414634146341463,1.0,0.7195121951219512,0.7439024390243902,0.6951219512195121,0.7439024390243902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7746478873239436,0.8450704225352113,0.8028169014084507,0.8028169014084507,0.8309859154929577,1.0,0.8873239436619719,0.8873239436619719,0.8169014084507042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0
FCERI MEDIATED CA 2 MOBILIZATION,0.627906976744186,0.627906976744186,0.627906976744186,0.627906976744186,0.627906976744186,0.627906976744186,0.6395348837209303,0.7674418604651163,0.6511627906976745,0.7325581395348837,0.7093023255813954,0.7325581395348837,1.0,0.8255813953488372,0.7093023255813954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0
FCERI MEDIATED MAPK ACTIVATION,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.632183908045977,0.6896551724137931,0.6436781609195402,0.6666666666666666,0.6551724137931034,0.7241379310344828,0.8160919540229885,1.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0
PARASITE INFECTION,0.46551724137931033,0.46551724137931033,0.49137931034482757,0.49137931034482757,0.49137931034482757,0.49137931034482757,0.47413793103448276,0.5258620689655172,0.5775862068965517,0.5775862068965517,0.5258620689655172,0.5,0.5258620689655172,0.5431034482758621,1.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0
CELL CYCLE CHECKPOINTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38275862068965516,0.5172413793103449,0.506896551724138,0.6448275862068965,0.3448275862068966,0.33448275862068966,0.034482758620689655,0.034482758620689655,0.05517241379310345,0.04827586206896552,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.04827586206896552,0.04482758620689655,0.013793103448275862,0.0,0.2896551724137931,0.30689655172413793,0.41724137931034483,0.07586206896551724,0.25862068965517243,0.5379310344827586,0.12758620689655173
MITOTIC SPINDLE CHECKPOINT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8468468468468469,0.8468468468468469,0.09009009009009009,0.09009009009009009,0.13513513513513514,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.10810810810810811,0.0990990990990991,0.009009009009009009,0.0,0.15315315315315314,0.15315315315315314,0.15315315315315314,0.0,0.036036036036036036,0.0,0.0
MITOTIC METAPHASE AND ANAPHASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672645739910314,0.4977578475336323,1.0,0.7982062780269058,1.0,0.5650224215246636,0.5650224215246636,0.09417040358744394,0.09417040358744394,0.1210762331838565,0.10762331838565023,0.08968609865470852,0.08968609865470852,0.08968609865470852,0.11659192825112108,0.1031390134529148,0.013452914798206279,0.0,0.23766816143497757,0.27802690582959644,0.242152466367713,0.0,0.19730941704035873,0.17488789237668162,0.0
SEPARATION OF SISTER CHROMATIDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8258426966292135,0.6235955056179775,1.0,1.0,1.0,0.6910112359550562,0.6910112359550562,0.056179775280898875,0.056179775280898875,0.08426966292134831,0.07865168539325842,0.056179775280898875,0.056179775280898875,0.056179775280898875,0.07865168539325842,0.07303370786516854,0.016853932584269662,0.0,0.29775280898876405,0.34831460674157305,0.29775280898876405,0.0,0.2247191011235955,0.20224719101123595,0.0
M PHASE,0.0,0.0024752475247524753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.4628712871287129,0.2747524752475248,0.551980198019802,0.4405940594059406,1.0,0.504950495049505,0.31435643564356436,0.07673267326732673,0.07673267326732673,0.09158415841584158,0.08415841584158416,0.07425742574257425,0.07425742574257425,0.07425742574257425,0.09158415841584158,0.08415841584158416,0.012376237623762377,0.0,0.1311881188118812,0.15594059405940594,0.27970297029702973,0.0,0.11138613861386139,0.18564356435643564,0.0
MITOTIC PROMETAPHASE,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.49019607843137253,0.46078431372549017,0.6176470588235294,0.6029411764705882,1.0,1.0,0.6225490196078431,0.049019607843137254,0.049019607843137254,0.07352941176470588,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.06372549019607843,0.058823529411764705,0.014705882352941176,0.0,0.0,0.04411764705882353,0.0,0.0,0.029411764705882353,0.024509803921568627,0.0
RESOLUTION OF SISTER CHROMATID COHESION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7637795275590551,0.7401574803149606,0.9921259842519685,0.968503937007874,1.0,1.0,1.0,0.07874015748031496,0.07874015748031496,0.11811023622047244,0.07874015748031496,0.07874015748031496,0.07874015748031496,0.07874015748031496,0.09448818897637795,0.08661417322834646,0.007874015748031496,0.0,0.0,0.07086614173228346,0.0,0.0,0.047244094488188976,0.023622047244094488,0.0
TRNA PROCESSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.08695652173913043,0.1826086956521739,0.08695652173913043,0.26956521739130435,0.08695652173913043,0.08695652173913043,1.0,0.26956521739130435,0.2608695652173913,0.2956521739130435,0.2782608695652174,0.2782608695652174,0.2608695652173913,0.2782608695652174,0.2608695652173913,0.11304347826086956,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NS1 MEDIATED EFFECTS ON HOST PATHWAYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.23255813953488372,0.4883720930232558,0.23255813953488372,0.7209302325581395,0.23255813953488372,0.23255813953488372,0.7209302325581395,1.0,0.6976744186046512,0.7441860465116279,0.7209302325581395,0.7209302325581395,0.6976744186046512,1.0,0.6976744186046512,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0
SUMOYLATION OF DNA REPLICATION PROTEINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173,0.32608695652173914,0.5869565217391305,0.32608695652173914,0.8043478260869565,0.32608695652173914,0.32608695652173914,0.6521739130434783,0.6521739130434783,1.0,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.0,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.021739130434782608,0.0
"PROCESSING OF CAPPED INTRON CONTAINING PRE
MRNA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.034013605442176874,0.08163265306122448,0.047619047619047616,0.11564625850340136,0.034013605442176874,0.034013605442176874,0.11564625850340136,0.10884353741496598,0.10204081632653061,1.0,0.2857142857142857,0.14625850340136054,0.1326530612244898,0.16326530612244897,0.1564625850340136,0.017006802721088437,0.003401360544217687,0.013605442176870748,0.013605442176870748,0.013605442176870748,0.0,0.013605442176870748,0.013605442176870748,0.0
