Pathway,MIER1 TARGET GENES,ASXL2 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",ZNF23 TARGET GENES,KLF14 TARGET GENES,ALKBH3 TARGET GENES,ZNF524 TARGET GENES,ZNF785 TARGET GENES,TSHZ1 TARGET GENES,EPC1 TARGET GENES,FOXR2 TARGET GENES,RPA1 TARGET GENES,PGM3 TARGET GENES,ZNF223 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",TAFAZZIN TARGET GENES,MCM3 TARGET GENES,ZNF626 TARGET GENES,MAPK3 TARGET GENES,EGFR TARGET GENES,NPM1 TARGET GENES,ZNF16 TARGET GENES,ZNF584 TARGET GENES,MCM2 TARGET GENES,FOXC1 TARGET GENES,PHB2 TARGET GENES,ZZZ3 TARGET GENES,THRAP3 TARGET GENES,CDC5L TARGET GENES,SNAPC4 TARGET GENES,LAMB3 TARGET GENES,ZNF354B TARGET GENES,CENPT TARGET GENES,COBLL1 TARGET GENES,PBXIP1 TARGET GENES,SKP2 TARGET GENES,SIX1 TARGET GENES,MYF6 TARGET GENES,ZNF502 TARGET GENES,ZSCAN26 TARGET GENES
PGM3 TARGET GENES,0.011194029850746268,0.007462686567164179,0.022388059701492536,0.0,0.048507462686567165,0.029850746268656716,0.06343283582089553,0.018656716417910446,0.022388059701492536,0.05223880597014925,0.011194029850746268,0.0,1.0,0.033582089552238806,0.007462686567164179,0.05223880597014925,0.018656716417910446,0.0,0.029850746268656716,0.0037313432835820895,0.041044776119402986,0.0,0.029850746268656716,0.0037313432835820895,0.0,0.014925373134328358,0.06343283582089553,0.0,0.033582089552238806,0.018656716417910446,0.0,0.022388059701492536,0.011194029850746268,0.0037313432835820895,0.018656716417910446,0.007462686567164179,0.007462686567164179,0.0,0.0,0.0
ZNF223 TARGET GENES,0.027439024390243903,0.003048780487804878,0.021341463414634148,0.006097560975609756,0.036585365853658534,0.027439024390243903,0.036585365853658534,0.021341463414634148,0.036585365853658534,0.04573170731707317,0.012195121951219513,0.003048780487804878,0.027439024390243903,1.0,0.006097560975609756,0.036585365853658534,0.009146341463414634,0.003048780487804878,0.009146341463414634,0.0,0.009146341463414634,0.006097560975609756,0.036585365853658534,0.003048780487804878,0.003048780487804878,0.018292682926829267,0.021341463414634148,0.003048780487804878,0.018292682926829267,0.006097560975609756,0.0,0.009146341463414634,0.0,0.01524390243902439,0.012195121951219513,0.003048780487804878,0.027439024390243903,0.0,0.0,0.0
"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",0.0410958904109589,0.0,0.0,0.0,0.0273972602739726,0.0410958904109589,0.0,0.0136986301369863,0.0273972602739726,0.0547945205479452,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726,1.0,0.0958904109589041,0.0273972602739726,0.0,0.0821917808219178,0.0136986301369863,0.0273972602739726,0.0,0.0273972602739726,0.0,0.0,0.0,0.0684931506849315,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0
TAFAZZIN TARGET GENES,0.018442622950819672,0.0,0.04918032786885246,0.0,0.030737704918032786,0.028688524590163935,0.02459016393442623,0.006147540983606557,0.022540983606557378,0.020491803278688523,0.014344262295081968,0.0020491803278688526,0.028688524590163935,0.02459016393442623,0.014344262295081968,1.0,0.018442622950819672,0.0,0.00819672131147541,0.006147540983606557,0.014344262295081968,0.012295081967213115,0.02459016393442623,0.004098360655737705,0.006147540983606557,0.018442622950819672,0.01639344262295082,0.0,0.018442622950819672,0.010245901639344262,0.0020491803278688526,0.014344262295081968,0.0020491803278688526,0.00819672131147541,0.00819672131147541,0.004098360655737705,0.040983606557377046,0.0020491803278688526,0.0,0.0
MCM3 TARGET GENES,0.07555555555555556,0.0,0.013333333333333334,0.008888888888888889,0.022222222222222223,0.03111111111111111,0.04,0.03111111111111111,0.022222222222222223,0.035555555555555556,0.04,0.0,0.022222222222222223,0.013333333333333334,0.008888888888888889,0.04,1.0,0.008888888888888889,0.0044444444444444444,0.0,0.035555555555555556,0.013333333333333334,0.12,0.02666666666666667,0.008888888888888889,0.03111111111111111,0.02666666666666667,0.022222222222222223,0.16,0.0044444444444444444,0.0,0.022222222222222223,0.008888888888888889,0.02666666666666667,0.022222222222222223,0.0,0.017777777777777778,0.0044444444444444444,0.0,0.0
ZNF626 TARGET GENES,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPK3 TARGET GENES,0.027777777777777776,0.018518518518518517,0.027777777777777776,0.0,0.027777777777777776,0.018518518518518517,0.009259259259259259,0.0,0.009259259259259259,0.046296296296296294,0.05555555555555555,0.009259259259259259,0.07407407407407407,0.027777777777777776,0.05555555555555555,0.037037037037037035,0.009259259259259259,0.0,1.0,0.1111111111111111,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.0,0.009259259259259259,0.0,0.05555555555555555,0.027777777777777776,0.046296296296296294,0.037037037037037035,0.0,0.0,0.009259259259259259,0.018518518518518517,0.05555555555555555,0.0,0.027777777777777776,0.0,0.0,0.0
EGFR TARGET GENES,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0,0.3333333333333333,1.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0,0.0
NPM1 TARGET GENES,0.013736263736263736,0.005494505494505495,0.016483516483516484,0.0,0.038461538461538464,0.07417582417582418,0.0521978021978022,0.013736263736263736,0.024725274725274724,0.054945054945054944,0.03296703296703297,0.01098901098901099,0.03021978021978022,0.008241758241758242,0.005494505494505495,0.019230769230769232,0.02197802197802198,0.0,0.016483516483516484,0.005494505494505495,1.0,0.008241758241758242,0.024725274725274724,0.008241758241758242,0.01098901098901099,0.008241758241758242,0.07692307692307693,0.0,0.03296703296703297,0.008241758241758242,0.0,0.01098901098901099,0.008241758241758242,0.019230769230769232,0.013736263736263736,0.0027472527472527475,0.016483516483516484,0.0,0.008241758241758242,0.0
ZNF16 TARGET GENES,0.0641025641025641,0.0,0.05128205128205128,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.0,0.01282051282051282,0.01282051282051282,0.0,0.02564102564102564,0.0,0.07692307692307693,0.038461538461538464,0.0,0.02564102564102564,0.01282051282051282,0.038461538461538464,1.0,0.02564102564102564,0.0,0.02564102564102564,0.01282051282051282,0.0,0.01282051282051282,0.038461538461538464,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0
ZNF584 TARGET GENES,0.10209424083769633,0.041884816753926704,0.028795811518324606,0.002617801047120419,0.013089005235602094,0.010471204188481676,0.02356020942408377,0.007853403141361256,0.015706806282722512,0.04450261780104712,0.020942408376963352,0.015706806282722512,0.020942408376963352,0.031413612565445025,0.005235602094240838,0.031413612565445025,0.07068062827225131,0.002617801047120419,0.010471204188481676,0.002617801047120419,0.02356020942408377,0.005235602094240838,1.0,0.060209424083769635,0.002617801047120419,0.09947643979057591,0.007853403141361256,0.002617801047120419,0.015706806282722512,0.002617801047120419,0.0,0.04712041884816754,0.01832460732984293,0.007853403141361256,0.005235602094240838,0.005235602094240838,0.041884816753926704,0.0,0.002617801047120419,0.0
MCM2 TARGET GENES,0.022727272727272728,0.0,0.045454545454545456,0.0,0.045454545454545456,0.056818181818181816,0.022727272727272728,0.0,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.0,0.022727272727272728,0.06818181818181818,0.0,0.0,0.0,0.03409090909090909,0.0,0.26136363636363635,1.0,0.011363636363636364,0.03409090909090909,0.022727272727272728,0.03409090909090909,0.03409090909090909,0.0,0.0,0.0,0.011363636363636364,0.011363636363636364,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
FOXC1 TARGET GENES,0.034482758620689655,0.0,0.04597701149425287,0.0,0.0,0.034482758620689655,0.022988505747126436,0.0,0.034482758620689655,0.011494252873563218,0.034482758620689655,0.011494252873563218,0.0,0.011494252873563218,0.0,0.034482758620689655,0.022988505747126436,0.0,0.011494252873563218,0.0,0.04597701149425287,0.022988505747126436,0.011494252873563218,0.011494252873563218,1.0,0.034482758620689655,0.022988505747126436,0.0,0.04597701149425287,0.0,0.0,0.022988505747126436,0.0,0.011494252873563218,0.011494252873563218,0.0,0.011494252873563218,0.0,0.0,0.0
PHB2 TARGET GENES,0.06763285024154589,0.004830917874396135,0.01932367149758454,0.004830917874396135,0.01932367149758454,0.01932367149758454,0.014492753623188406,0.004830917874396135,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.004830917874396135,0.01932367149758454,0.028985507246376812,0.0,0.043478260869565216,0.033816425120772944,0.00966183574879227,0.0,0.00966183574879227,0.014492753623188406,0.004830917874396135,0.18357487922705315,0.014492753623188406,0.014492753623188406,1.0,0.014492753623188406,0.014492753623188406,0.10628019323671498,0.01932367149758454,0.0,0.028985507246376812,0.004830917874396135,0.004830917874396135,0.01932367149758454,0.004830917874396135,0.01932367149758454,0.004830917874396135,0.0,0.0
ZZZ3 TARGET GENES,0.03134796238244514,0.003134796238244514,0.02821316614420063,0.006269592476489028,0.025078369905956112,0.07836990595611286,0.047021943573667714,0.01567398119122257,0.050156739811912224,0.0438871473354232,0.04075235109717868,0.006269592476489028,0.05329153605015674,0.0219435736677116,0.01567398119122257,0.025078369905956112,0.018808777429467086,0.0,0.018808777429467086,0.003134796238244514,0.0877742946708464,0.0,0.009404388714733543,0.006269592476489028,0.006269592476489028,0.009404388714733543,1.0,0.009404388714733543,0.050156739811912224,0.006269592476489028,0.0,0.01567398119122257,0.018808777429467086,0.018808777429467086,0.012539184952978056,0.006269592476489028,0.01567398119122257,0.003134796238244514,0.009404388714733543,0.0
THRAP3 TARGET GENES,0.27586206896551724,0.0,0.0,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.13793103448275862,0.06896551724137931,0.10344827586206896,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.1724137931034483,0.0,0.10344827586206896,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.0,0.10344827586206896,0.10344827586206896,1.0,0.3448275862068966,0.10344827586206896,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
CDC5L TARGET GENES,0.09705882352941177,0.0029411764705882353,0.029411764705882353,0.0029411764705882353,0.029411764705882353,0.04411764705882353,0.05,0.020588235294117647,0.04411764705882353,0.03235294117647059,0.01764705882352941,0.0029411764705882353,0.026470588235294117,0.01764705882352941,0.0029411764705882353,0.026470588235294117,0.10588235294117647,0.0029411764705882353,0.014705882352941176,0.008823529411764706,0.03529411764705882,0.008823529411764706,0.01764705882352941,0.008823529411764706,0.011764705882352941,0.06470588235294118,0.047058823529411764,0.029411764705882353,1.0,0.1676470588235294,0.0058823529411764705,0.023529411764705882,0.008823529411764706,0.011764705882352941,0.029411764705882353,0.01764705882352941,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,0.0
SNAPC4 TARGET GENES,0.007194244604316547,0.014388489208633094,0.050359712230215826,0.0,0.0,0.014388489208633094,0.02158273381294964,0.0,0.007194244604316547,0.014388489208633094,0.02877697841726619,0.06474820143884892,0.03597122302158273,0.014388489208633094,0.0,0.03597122302158273,0.007194244604316547,0.0,0.02877697841726619,0.014388489208633094,0.02158273381294964,0.007194244604316547,0.007194244604316547,0.0,0.0,0.02877697841726619,0.014388489208633094,0.02158273381294964,0.41007194244604317,1.0,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.0,0.02877697841726619,0.014388489208633094,0.007194244604316547,0.0,0.007194244604316547,0.0
LAMB3 TARGET GENES,0.11764705882352941,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF354B TARGET GENES,0.023923444976076555,0.014354066985645933,0.004784688995215311,0.0,0.05741626794258373,0.004784688995215311,0.028708133971291867,0.014354066985645933,0.03349282296650718,0.04784688995215311,0.019138755980861243,0.004784688995215311,0.028708133971291867,0.014354066985645933,0.0,0.03349282296650718,0.023923444976076555,0.0,0.0,0.004784688995215311,0.019138755980861243,0.0,0.0861244019138756,0.0,0.009569377990430622,0.028708133971291867,0.023923444976076555,0.0,0.03827751196172249,0.004784688995215311,0.0,1.0,0.023923444976076555,0.009569377990430622,0.009569377990430622,0.0,0.014354066985645933,0.0,0.0,0.0
CENPT TARGET GENES,0.023809523809523808,0.011904761904761904,0.023809523809523808,0.0,0.0,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.03571428571428571,0.05952380952380952,0.03571428571428571,0.011904761904761904,0.03571428571428571,0.0,0.0,0.011904761904761904,0.023809523809523808,0.0,0.011904761904761904,0.023809523809523808,0.03571428571428571,0.0,0.08333333333333333,0.011904761904761904,0.0,0.011904761904761904,0.07142857142857142,0.011904761904761904,0.03571428571428571,0.011904761904761904,0.0,0.05952380952380952,1.0,0.0,0.011904761904761904,0.0,0.07142857142857142,0.0,0.047619047619047616,0.0
COBLL1 TARGET GENES,0.019867549668874173,0.0,0.019867549668874173,0.0,0.026490066225165563,0.059602649006622516,0.019867549668874173,0.0,0.013245033112582781,0.046357615894039736,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.033112582781456956,0.0,0.026490066225165563,0.039735099337748346,0.0,0.013245033112582781,0.006622516556291391,0.046357615894039736,0.0,0.019867549668874173,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.039735099337748346,0.0,0.026490066225165563,0.0,0.0,0.013245033112582781,0.0,1.0,0.026490066225165563,0.006622516556291391,0.013245033112582781,0.0,0.006622516556291391,0.0
PBXIP1 TARGET GENES,0.02120141342756184,0.0,0.007067137809187279,0.007067137809187279,0.01060070671378092,0.02120141342756184,0.02120141342756184,0.0035335689045936395,0.007067137809187279,0.0176678445229682,0.01060070671378092,0.0035335689045936395,0.0176678445229682,0.014134275618374558,0.0035335689045936395,0.014134275618374558,0.0176678445229682,0.0,0.02120141342756184,0.007067137809187279,0.0176678445229682,0.0,0.007067137809187279,0.0,0.0035335689045936395,0.014134275618374558,0.014134275618374558,0.0,0.0353356890459364,0.014134275618374558,0.0,0.007067137809187279,0.0035335689045936395,0.014134275618374558,1.0,0.007067137809187279,0.014134275618374558,0.0,0.0,0.0
SKP2 TARGET GENES,0.043478260869565216,0.014492753623188406,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.043478260869565216,0.028985507246376812,0.028985507246376812,0.014492753623188406,0.0,0.028985507246376812,0.014492753623188406,0.0,0.028985507246376812,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.028985507246376812,0.0,0.0,0.014492753623188406,0.028985507246376812,0.0,0.08695652173913043,0.028985507246376812,0.0,0.0,0.0,0.014492753623188406,0.028985507246376812,1.0,0.028985507246376812,0.0,0.0,0.0
SIX1 TARGET GENES,0.02610966057441253,0.0026109660574412533,0.031331592689295036,0.0026109660574412533,0.018276762402088774,0.02349869451697128,0.020887728459530026,0.0,0.0391644908616188,0.018276762402088774,0.010443864229765013,0.005221932114882507,0.005221932114882507,0.02349869451697128,0.0,0.05221932114882506,0.010443864229765013,0.0,0.007832898172323759,0.0,0.015665796344647518,0.0026109660574412533,0.04177545691906005,0.010443864229765013,0.0026109660574412533,0.010443864229765013,0.013054830287206266,0.0026109660574412533,0.005221932114882507,0.0026109660574412533,0.0,0.007832898172323759,0.015665796344647518,0.005221932114882507,0.010443864229765013,0.005221932114882507,1.0,0.005221932114882507,0.0,0.0
MYF6 TARGET GENES,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,1.0,0.0,0.0
ZNF502 TARGET GENES,0.0,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.0,0.1111111111111111,0.027777777777777776,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.027777777777777776,0.0,0.0,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.1111111111111111,0.027777777777777776,0.0,0.0,0.0,0.0,1.0,0.027777777777777776
ZSCAN26 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
