Pathway,MIER1 TARGET GENES,ASXL2 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",ZNF23 TARGET GENES,KLF14 TARGET GENES,ALKBH3 TARGET GENES,ZNF524 TARGET GENES,ZNF785 TARGET GENES,TSHZ1 TARGET GENES,EPC1 TARGET GENES,FOXR2 TARGET GENES,RPA1 TARGET GENES,PGM3 TARGET GENES,ZNF223 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",TAFAZZIN TARGET GENES,MCM3 TARGET GENES,ZNF626 TARGET GENES,MAPK3 TARGET GENES,EGFR TARGET GENES,NPM1 TARGET GENES,ZNF16 TARGET GENES,ZNF584 TARGET GENES,MCM2 TARGET GENES,FOXC1 TARGET GENES,PHB2 TARGET GENES,ZZZ3 TARGET GENES,THRAP3 TARGET GENES,CDC5L TARGET GENES,SNAPC4 TARGET GENES,LAMB3 TARGET GENES,ZNF354B TARGET GENES,CENPT TARGET GENES,COBLL1 TARGET GENES,PBXIP1 TARGET GENES,SKP2 TARGET GENES,SIX1 TARGET GENES,MYF6 TARGET GENES,ZNF502 TARGET GENES,ZSCAN26 TARGET GENES
MIER1 TARGET GENES,1.0,0.07712765957446809,0.03723404255319149,0.0026595744680851063,0.03723404255319149,0.034574468085106384,0.03723404255319149,0.007978723404255319,0.023936170212765957,0.013297872340425532,0.0026595744680851063,0.018617021276595744,0.007978723404255319,0.023936170212765957,0.007978723404255319,0.023936170212765957,0.04521276595744681,0.0,0.007978723404255319,0.0026595744680851063,0.013297872340425532,0.013297872340425532,0.10372340425531915,0.005319148936170213,0.007978723404255319,0.03723404255319149,0.026595744680851064,0.02127659574468085,0.08776595744680851,0.0026595744680851063,0.005319148936170213,0.013297872340425532,0.005319148936170213,0.007978723404255319,0.015957446808510637,0.007978723404255319,0.026595744680851064,0.0026595744680851063,0.0,0.0
ASXL2 TARGET GENES,0.5272727272727272,1.0,0.09090909090909091,0.01818181818181818,0.03636363636363636,0.0,0.01818181818181818,0.0,0.0,0.0,0.05454545454545454,0.18181818181818182,0.03636363636363636,0.01818181818181818,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.03636363636363636,0.0,0.2909090909090909,0.0,0.0,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.0,0.0,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.0
"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",0.03341288782816229,0.011933174224343675,1.0,0.00477326968973747,0.011933174224343675,0.011933174224343675,0.014319809069212411,0.00477326968973747,0.016706443914081145,0.026252983293556086,0.00477326968973747,0.00954653937947494,0.014319809069212411,0.016706443914081145,0.0,0.057279236276849645,0.007159904534606206,0.002386634844868735,0.007159904534606206,0.0,0.014319809069212411,0.00954653937947494,0.026252983293556086,0.00954653937947494,0.00954653937947494,0.00954653937947494,0.021479713603818614,0.0,0.02386634844868735,0.016706443914081145,0.0,0.002386634844868735,0.00477326968973747,0.007159904534606206,0.00477326968973747,0.0,0.028639618138424822,0.002386634844868735,0.002386634844868735,0.0
ZNF23 TARGET GENES,0.058823529411764705,0.058823529411764705,0.11764705882352941,1.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0
KLF14 TARGET GENES,0.054474708171206226,0.007782101167315175,0.019455252918287938,0.0,1.0,0.2840466926070039,0.21011673151750973,0.027237354085603113,0.1245136186770428,0.042801556420233464,0.019455252918287938,0.027237354085603113,0.05058365758754864,0.04669260700389105,0.007782101167315175,0.058365758754863814,0.019455252918287938,0.0,0.011673151750972763,0.0038910505836575876,0.054474708171206226,0.023346303501945526,0.019455252918287938,0.01556420233463035,0.0,0.01556420233463035,0.0311284046692607,0.011673151750972763,0.038910505836575876,0.0,0.007782101167315175,0.04669260700389105,0.0,0.01556420233463035,0.011673151750972763,0.0038910505836575876,0.027237354085603113,0.0038910505836575876,0.007782101167315175,0.0
ALKBH3 TARGET GENES,0.029345372460496615,0.0,0.011286681715575621,0.0,0.16478555304740405,1.0,0.11286681715575621,0.009029345372460496,0.05191873589164785,0.06997742663656885,0.03160270880361174,0.01580135440180587,0.01805869074492099,0.020316027088036117,0.006772009029345372,0.03160270880361174,0.01580135440180587,0.0,0.004514672686230248,0.002257336343115124,0.060948081264108354,0.0,0.009029345372460496,0.011286681715575621,0.006772009029345372,0.009029345372460496,0.056433408577878104,0.004514672686230248,0.033860045146726865,0.004514672686230248,0.0,0.002257336343115124,0.002257336343115124,0.020316027088036117,0.013544018058690745,0.002257336343115124,0.020316027088036117,0.002257336343115124,0.004514672686230248,0.002257336343115124
ZNF524 TARGET GENES,0.03943661971830986,0.0028169014084507044,0.016901408450704224,0.0028169014084507044,0.15211267605633802,0.14084507042253522,1.0,0.03380281690140845,0.10422535211267606,0.0676056338028169,0.01971830985915493,0.014084507042253521,0.04788732394366197,0.03380281690140845,0.0,0.03380281690140845,0.02535211267605634,0.0028169014084507044,0.0028169014084507044,0.0,0.05352112676056338,0.0,0.02535211267605634,0.005633802816901409,0.005633802816901409,0.008450704225352112,0.04225352112676056,0.011267605633802818,0.04788732394366197,0.008450704225352112,0.0,0.016901408450704224,0.0028169014084507044,0.008450704225352112,0.016901408450704224,0.0,0.022535211267605635,0.0028169014084507044,0.0028169014084507044,0.0
ZNF785 TARGET GENES,0.04411764705882353,0.0,0.029411764705882353,0.014705882352941176,0.10294117647058823,0.058823529411764705,0.17647058823529413,1.0,0.20588235294117646,0.11764705882352941,0.014705882352941176,0.029411764705882353,0.07352941176470588,0.10294117647058823,0.014705882352941176,0.04411764705882353,0.10294117647058823,0.0,0.0,0.0,0.07352941176470588,0.0,0.04411764705882353,0.0,0.0,0.014705882352941176,0.07352941176470588,0.029411764705882353,0.10294117647058823,0.0,0.0,0.04411764705882353,0.014705882352941176,0.0,0.014705882352941176,0.04411764705882353,0.0,0.0,0.0,0.0
TSHZ1 TARGET GENES,0.037815126050420166,0.0,0.029411764705882353,0.004201680672268907,0.13445378151260504,0.09663865546218488,0.15546218487394958,0.058823529411764705,1.0,0.07563025210084033,0.012605042016806723,0.012605042016806723,0.025210084033613446,0.05042016806722689,0.008403361344537815,0.046218487394957986,0.02100840336134454,0.0,0.004201680672268907,0.004201680672268907,0.037815126050420166,0.012605042016806723,0.025210084033613446,0.004201680672268907,0.012605042016806723,0.025210084033613446,0.06722689075630252,0.012605042016806723,0.06302521008403361,0.004201680672268907,0.008403361344537815,0.029411764705882353,0.012605042016806723,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.06302521008403361,0.008403361344537815,0.01680672268907563,0.0
EPC1 TARGET GENES,0.01272264631043257,0.0,0.027989821882951654,0.0,0.027989821882951654,0.07888040712468193,0.061068702290076333,0.020356234096692113,0.04580152671755725,1.0,0.03816793893129771,0.010178117048346057,0.035623409669211195,0.03816793893129771,0.010178117048346057,0.02544529262086514,0.020356234096692113,0.0,0.01272264631043257,0.005089058524173028,0.05089058524173028,0.0,0.043256997455470736,0.005089058524173028,0.002544529262086514,0.007633587786259542,0.035623409669211195,0.0,0.027989821882951654,0.005089058524173028,0.0,0.02544529262086514,0.01272264631043257,0.017811704834605598,0.01272264631043257,0.005089058524173028,0.017811704834605598,0.0,0.002544529262086514,0.0
FOXR2 TARGET GENES,0.004273504273504274,0.01282051282051282,0.008547008547008548,0.0,0.021367521367521368,0.05982905982905983,0.029914529914529916,0.004273504273504274,0.01282051282051282,0.0641025641025641,1.0,0.04700854700854701,0.01282051282051282,0.017094017094017096,0.008547008547008548,0.029914529914529916,0.038461538461538464,0.0,0.02564102564102564,0.004273504273504274,0.05128205128205128,0.004273504273504274,0.03418803418803419,0.008547008547008548,0.01282051282051282,0.01282051282051282,0.05555555555555555,0.004273504273504274,0.02564102564102564,0.017094017094017096,0.004273504273504274,0.017094017094017096,0.01282051282051282,0.004273504273504274,0.01282051282051282,0.004273504273504274,0.017094017094017096,0.0,0.01282051282051282,0.0
RPA1 TARGET GENES,0.08974358974358974,0.1282051282051282,0.05128205128205128,0.0,0.08974358974358974,0.08974358974358974,0.0641025641025641,0.02564102564102564,0.038461538461538464,0.05128205128205128,0.14102564102564102,1.0,0.0,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.0,0.0,0.01282051282051282,0.01282051282051282,0.05128205128205128,0.01282051282051282,0.07692307692307693,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.02564102564102564,0.0,0.01282051282051282,0.11538461538461539,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.02564102564102564,0.0,0.038461538461538464,0.0
