"GeneID","Symbol","Ensembl","Entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000099250","NRP1","ENSG00000099250","8829","1.8692686135428476","6.868803165030456626","24.293211291332355","0.00000000000009148767375512454","0.000000001104896635940639","21.925478478017907946"
"ENSG00000164938","TP53INP1","ENSG00000164938","94241","2.2322051212635143","5.659119676549853040","22.677255980688180","0.00000000000025885302902061162","0.000000001563084015740963","20.872571540870726636"
"ENSG00000144821","MYH15","ENSG00000144821","22989","3.1939878611987425","4.427922232996348129","21.635349344529654","0.00000000000052567556714142240","0.000000002116194608122319","19.994502393742443758"
"ENSG00000135318","NT5E","ENSG00000135318","4907","1.6660818082534421","4.877959551321232823","21.079784833391493","0.00000000000077716606695263716","0.000000002196074000012042","19.771781441375921418"
"ENSG00000147883","CDKN2B","ENSG00000147883","1030","1.8436284958126272","6.692633091154656988","20.860603175771669","0.00000000000090919682040740306","0.000000002196074000012042","19.664663614511407985"
"ENSG00000048392","RRM2B","ENSG00000048392","50484","1.5710252037029173","7.136390234048066716","20.141173244500681","0.00000000000153861237918858817","0.000000002833435953360177","19.139737733953985810"
"ENSG00000128564","VGF","ENSG00000128564","7425","2.3686413067718552","6.165545569157560024","20.053616039975623","0.00000000000164229955067659509","0.000000002833435953360177","19.075337814961940808"
"ENSG00000085117","CD82","ENSG00000085117","3732","3.2461518895259291","3.473496478950450772","17.592952291744727","0.00000000001153895066800718374","0.000000017237688387667235","16.891606777540673079"
"ENSG00000105974","CAV1","ENSG00000105974","857","1.4191587809158381","4.966285473817077190","17.411326925082925","0.00000000001345524800677267667","0.000000017237688387667235","16.984336717090158686"
"ENSG00000214357","NEURL1B","ENSG00000214357","54492","2.5335362025752444","2.851013378323559166","17.342021418717628","0.00000000001427315424995216858","0.000000017237688387667235","16.567796612360449870"
"ENSG00000282830","CALB2","ENSG00000282830","794","-1.0889797888893540","6.776426221261154126","-16.968801435584865","0.00000000001968562787322859189","0.000000021613029802271067","16.568779185329489678"
"ENSG00000005884","ITGA3","ENSG00000005884","3675","1.4292126220670278","7.316358650226626459","16.370088543532191","0.00000000003342271230062105550","0.000000033637174704550042","16.028896748849977172"
"ENSG00000172667","ZMAT3","ENSG00000172667","64393","1.4139012020125667","6.519965749866789118","15.945785366700690","0.00000000004915639713206452471","0.000000043077165720793829","15.644668488248006710"
"ENSG00000165891","E2F7","ENSG00000165891","144455","1.2481932790589054","6.062957658639783531","15.928683209680688","0.00000000004993626894850654866","0.000000043077165720793829","15.638798337731623533"
"ENSG00000164287","CDC20B","ENSG00000164287","166979","5.5106690358879602","1.707643561344454053","15.138058105515023","0.00000000010514521217274176431","0.000000084655915160680148","13.537510874558810414"
"ENSG00000114850","SSR3","ENSG00000114850","6747","-1.2745106214217685","9.074754303142215761","-14.938530562536551","0.00000000012757143310197865032","0.000000091889923923305058","14.685961552736365832"
"ENSG00000169282","KCNAB1","ENSG00000169282","7881","-1.2610374628490604","7.671490040075167549","-14.924351183158455","0.00000000012934741299132119251","0.000000091889923923305058","14.645536080338580120"
"ENSG00000117461","PIK3R3","ENSG00000117461","8503","1.4299460965117059","4.435932477916506578","14.603051634290059","0.00000000017748879113239106405","0.000000115191937809817549","14.417344218148482327"
"ENSG00000125398","SOX9","ENSG00000125398","6662","1.9471294263689165","4.213331399775242403","14.582114781300856","0.00000000018122437843723883388","0.000000115191937809817549","14.402927677909183046"
"ENSG00000140379","BCL2A1","ENSG00000140379","597","-1.1574869749361030","5.661039335133626338","-14.479445827461747","0.00000000020078853919615877574","0.000000117397618480759457","14.235041051370282972"
"ENSG00000184205","TSPYL2","ENSG00000184205","64061","1.4863538720030514","5.887924036962026264","14.462946391139715","0.00000000020413595993176687909","0.000000117397618480759457","14.212877472322006156"
"ENSG00000167011","NAT16","ENSG00000167011","375607","3.3409218101576585","2.759453814946207562","14.237994198022669","0.00000000025617472263859070094","0.000000138706155245447362","13.839004996308386097"
"ENSG00000185567","AHNAK2","ENSG00000185567","113146","1.9572964351898419","5.415941988214464153","14.207825610044480","0.00000000026415844751554934853","0.000000138706155245447362","13.980319129888119534"
"ENSG00000221890","NPTXR","ENSG00000221890","23467","2.2826104753942102","2.153769637327123565","14.069312741952670","0.00000000030435079011329421574","0.000000145292097681630318","13.606644044020091755"
"ENSG00000158710","TAGLN2","ENSG00000158710","8407","1.9571567384921740","3.915936177463894996","14.050968189131275","0.00000000031014156202687973627","0.000000145292097681630318","13.870808995415117693"
"ENSG00000278139","P3R3URF-PIK3R3","ENSG00000278139","110117499","1.4151306711818501","4.195312250307162927","14.042691190959182","0.00000000031279246002503835468","0.000000145292097681630318","13.856798843880744343"
"ENSG00000163683","SMIM14","ENSG00000163683","201895","1.3109687922279880","4.922682414367302250","13.848644980961572","0.00000000038234481118617670680","0.000000171021417951683561","13.621175442854374538"
"ENSG00000064115","TM7SF3","ENSG00000064115","51768","0.8634698647875005","7.438151136489816295","13.712355513586884","0.00000000044088979673287791333","0.000000190165216969391646","13.381465589744859557"
"ENSG00000120437","ACAT2","ENSG00000120437","39","-1.0950894954657429","6.190261098844661802","-13.577855607890449","0.00000000050805557332199861162","0.000000211578867552061279","13.260717145329779854"
"ENSG00000281614","INPP5D","ENSG00000281614","3635","5.1444323854568488","0.216874243339865436","13.539807638593238","0.00000000052896410190269807663","0.000000212943315289296143","11.619112514590907992"
"ENSG00000135679","MDM2","ENSG00000135679","4193","0.9914397049680881","7.833147246190504731","13.318104070693048","0.00000000067038989080237710986","0.000000261170926168397058","12.954314311875068100"
"ENSG00000260916","CCPG1","ENSG00000260916","9236","1.0570929820889274","5.120142883441961779","13.154902786912933","0.00000000079985138168767874614","0.000000291622383036036516","12.854477742175458133"
"ENSG00000272398","CD24","ENSG00000272398","100133941","2.0239634981282957","3.290190703770620395","13.148585911455561","0.00000000080536639942664407152","0.000000291622383036036516","12.917325188032723560"
"ENSG00000107796","ACTA2","ENSG00000107796","59","2.4341701599239887","2.988505714571425553","13.106679759221931","0.00000000084298816023740618595","0.000000291622383036036516","12.837840718972106657"
"ENSG00000240764","PCDHGC5","ENSG00000240764","56097","2.2395074681143492","3.901026343380864070","13.104340593542014","0.00000000084514228751024902076","0.000000291622383036036516","12.877308006547806940"
"ENSG00000198576","ARC","ENSG00000198576","23237","1.9274688761133212","3.290435033034204704","13.059165087220373","0.00000000088790803983243072689","0.000000297868483251562971","12.823377192541405734"
"ENSG00000153029","MR1","ENSG00000153029","3140","1.1880642778790103","5.013810956104448380","13.000876973799539","0.00000000094650162930173611812","0.000000308943248029109917","12.691595369459159670"
"ENSG00000167306","MYO5B","ENSG00000167306","4645","1.2940256046957481","3.695910094907105314","12.794494239431957","0.00000000118915237094203152232","0.000000377931399575445110","12.536096644480185347"
