"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","SP3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.8","1","3","GTEx--Coexpression(rank=585); ARCHS4--Coexpression(rank=926); Enrichr--Queries(rank=1198)","1086","rank=1; score=4.5065; p=3.1151e-05","rank=87; score=1.7684; direction=Activated","rank=1; score=65.943; p=5.2237e-05; adjP=0.0080444","rank=1; score=4.282; p=5.2239e-05","rank=14; score=2.5534; p=0.010668; direction=Activated"
"2","EPAS1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.0","3","4","GTEx--Coexpression(rank=86); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=177)","228","rank=3; score=2.0174; p=0.0096063","rank=35; score=3.0762; direction=Activated","rank=162; score=20.965; p=0.11015; adjP=0.26889","rank=29; score=0.95801; p=0.11015","rank=21; score=2.4278; p=0.015193; direction=Activated"
"3","ESR1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.4","18","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=497); ARCHS4--Coexpression(rank=1192)","181","rank=51; score=0.56634; p=0.27143","rank=113; score=1.3244; direction=Activated","rank=26; score=10.035; p=0.058464; adjP=0.26889","rank=18; score=1.2331; p=0.058464","rank=94; score=1.7845; p=0.074344; direction=Activated"
"4","ARNT","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.8","5","5","Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=1024); GTEx--Coexpression(rank=1355); ARCHS4--Coexpression(rank=1386)","798","rank=90; score=0.2831; p=0.52108","rank=151; score=0.87481; direction=Repressed","rank=48; score=36.334; p=0.022188; adjP=0.24591","rank=5; score=1.6539; p=0.022188","rank=20; score=2.4291; p=0.015136; direction=Activated"
"5","SP1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.2","5","5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=792); GTEx--Coexpression(rank=1046); Enrichr--Queries(rank=1222)","55","rank=5; score=1.8882; p=0.012936","rank=37; score=2.9602; direction=Activated","rank=57; score=7.9228; p=0.022355; adjP=0.24591","rank=7; score=1.6506; p=0.022356","rank=230; score=1.2219; p=0.22174; direction=Activated"
"6","HIF1A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.8","14","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=279); ARCHS4--Coexpression(rank=284); Enrichr--Queries(rank=897)","284","rank=46; score=0.60821; p=0.24648","rank=14; score=4.5717; direction=Activated","rank=132; score=5.7074; p=0.069641; adjP=0.62925","rank=86; score=0.20685; p=0.62108","rank=71; score=1.8931; p=0.05835; direction=Activated"
"7","CUX1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.2","23","6","ENCODE--ChIP-seq(rank=100); Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=138); GTEx--Coexpression(rank=227); Enrichr--Queries(rank=916); ARCHS4--Coexpression(rank=1026)","546","rank=131; score=0; p=1","rank=132; score=1.0687; direction=Activated","rank=23; score=29.545; p=0.055917; adjP=0.26889","rank=24; score=1.05; p=0.089133","rank=61; score=1.918; p=0.055107; direction=Activated"
"8","STAT3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.0","43","6","Literature--ChIP-seq(rank=34); ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=840); Enrichr--Queries(rank=1010); GTEx--Coexpression(rank=1386)","755","rank=100; score=0.2337; p=0.58385","rank=43; score=2.7987; direction=Activated","rank=118; score=2.7349; p=0.15952; adjP=0.32723","rank=56; score=0.64202; p=0.22802","rank=73; score=1.8862; p=0.059266; direction=Activated"
"9","PPARG","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.0","4","5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=112); Enrichr--Queries(rank=152); ARCHS4--Coexpression(rank=257)","206","rank=4; score=1.9253; p=0.011876","rank=167; score=0.69679; direction=Activated","rank=156; score=7.7459; p=0.11438; adjP=0.26889","rank=48; score=0.74895; p=0.17826","rank=55; score=1.9556; p=0.050516; direction=Activated"
"10","ESR2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","89.8","36","5","Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=132); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=707); GTEx--Coexpression(rank=839)","335","rank=36; score=0.74476; p=0.17998","rank=91; score=1.6632; direction=Activated","rank=229; score=7.6705; p=0.14016; adjP=0.30989","rank=50; score=0.70133; p=0.19892","rank=43; score=2.0676; p=0.038679; direction=Activated"
