Pathway,"GSE369 PRE VS POST IL6 INJECTION SOCS3 KO
LIVER UP","GSE4984 GALECTIN1 VS VEHICLE CTRL TREATED DC
DN","GSE13547 CTRL VS ANTI IGM STIM ZFX KO BCELL
2H DN",GSE17721 LPS VS GARDIQUIMOD 8H BMDC DN,"GSE15659 NAIVE CD4 TCELL VS NONSUPPRESSIVE
TCELL DN",GSE2706 UNSTIM VS 2H LPS DC UP,GSE14413 UNSTIM VS IFNB STIM NIH3T3 CELLS UP,GSE17721 LPS VS PAM3CSK4 6H BMDC UP,GSE25677 MPL VS R848 STIM BCELL DN,GSE17721 LPS VS POLYIC 8H BMDC UP,GSE11864 CSF1 VS CSF1 IFNG PAM3CYS IN MAC DN,"GSE24081 CONTROLLER VS PROGRESSOR HIV
SPECIFIC CD8 TCELL DN","GSE37416 CTRL VS 6H F TULARENSIS LVS
NEUTROPHIL UP","GSE25088 IL4 VS IL4 AND ROSIGLITAZONE STIM
STAT6 KO MACROPHAGE DAY10 UP","GSE25088 CTRL VS IL4 AND ROSIGLITAZONE STIM
STAT6 KO MACROPHAGE UP","GSE25088 WT VS STAT6 KO MACROPHAGE
ROSIGLITAZONE STIM UP",GSE7764 IL15 TREATED VS CTRL NK CELL 24H DN,GSE13306 RA VS UNTREATED MEM CD4 TCELL UP,GSE7852 LN VS FAT TREG UP,GSE1432 CTRL VS IFNG 6H MICROGLIA DN,GSE1432 1H VS 6H IFNG MICROGLIA DN,GSE1432 6H VS 24H IFNG MICROGLIA UP,GSE22886 NAIVE CD4 TCELL VS 48H ACT TH1 DN,"GSE15930 NAIVE VS 48H IN VITRO STIM IL12 CD8
TCELL DN",GSE22886 NEUTROPHIL VS MONOCYTE DN,"GSE37532 VISCERAL ADIPOSE TISSUE VS LN
DERIVED TCONV CD4 TCELL UP",GSE22886 TH1 VS TH2 48H ACT UP,GSE16385 IFNG TNF VS IL4 STIM MACROPHAGE DN,"GSE29618 PRE VS DAY7 POST TIV FLU VACCINE MDC
DN",GSE17721 LPS VS PAM3CSK4 0.5H BMDC UP,"GSE25123 ROSIGLITAZONE VS IL4 AND
ROSIGLITAZONE STIM PPARG KO MACROPHAGE DAY10
UP","GSE22432 CONVENTIONAL CDC VS PLASMACYTOID PDC
UP","GSE4748 CTRL VS CYANOBACTERIUM LPSLIKE STIM
DC 3H DN",GSE24102 GRANULOCYSTIC MDSC VS NEUTROPHIL DN,GSE3982 BCELL VS EFF MEMORY CD4 TCELL UP,"GSE16450 CTRL VS IFNA 12H STIM IMMATURE
NEURON CELL LINE UP",GSE21033 1H VS 12H POLYIC STIM DC UP,GSE14308 NAIVE CD4 TCELL VS INDUCED TREG UP,"GSE22611 UNSTIM VS 2H MDP STIM MUTANT NOD2
TRANSDUCED HEK293T CELL DN","GSE29164 UNTREATED VS CD8 TCELL AND IL12
TREATED MELANOMA DAY7 UP"
"GSE369 PRE VS POST IL6 INJECTION SOCS3 KO
LIVER UP",1.0,0.035175879396984924,0.03015075376884422,0.03015075376884422,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.020100502512562814,0.03015075376884422,0.005025125628140704,0.02512562814070352,0.01507537688442211,0.0,0.01507537688442211,0.010050251256281407,0.020100502512562814,0.010050251256281407,0.01507537688442211,0.0,0.05025125628140704,0.05527638190954774,0.03015075376884422,0.020100502512562814,0.01507537688442211,0.04020100502512563,0.010050251256281407,0.02512562814070352,0.005025125628140704,0.02512562814070352,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.02512562814070352,0.020100502512562814,0.020100502512562814,0.010050251256281407,0.005025125628140704,0.01507537688442211,0.005025125628140704,0.02512562814070352
"GSE4984 GALECTIN1 VS VEHICLE CTRL TREATED DC
DN",0.035175879396984924,1.0,0.020100502512562814,0.03015075376884422,0.01507537688442211,0.010050251256281407,0.01507537688442211,0.03015075376884422,0.010050251256281407,0.02512562814070352,0.035175879396984924,0.020100502512562814,0.020100502512562814,0.010050251256281407,0.020100502512562814,0.005025125628140704,0.005025125628140704,0.010050251256281407,0.0,0.03015075376884422,0.010050251256281407,0.020100502512562814,0.04020100502512563,0.05025125628140704,0.02512562814070352,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.03015075376884422,0.05025125628140704,0.04020100502512563,0.03015075376884422,0.035175879396984924,0.005025125628140704,0.005025125628140704,0.010050251256281407,0.03015075376884422,0.010050251256281407
"GSE13547 CTRL VS ANTI IGM STIM ZFX KO BCELL
2H DN",0.03508771929824561,0.023391812865497075,1.0,0.05847953216374269,0.011695906432748537,0.005847953216374269,0.017543859649122806,0.017543859649122806,0.011695906432748537,0.011695906432748537,0.017543859649122806,0.029239766081871343,0.023391812865497075,0.011695906432748537,0.017543859649122806,0.03508771929824561,0.005847953216374269,0.011695906432748537,0.011695906432748537,0.03508771929824561,0.023391812865497075,0.0,0.04093567251461988,0.017543859649122806,0.023391812865497075,0.011695906432748537,0.005847953216374269,0.005847953216374269,0.011695906432748537,0.023391812865497075,0.05263157894736842,0.04678362573099415,0.023391812865497075,0.029239766081871343,0.023391812865497075,0.005847953216374269,0.005847953216374269,0.011695906432748537,0.017543859649122806,0.029239766081871343
GSE17721 LPS VS GARDIQUIMOD 8H BMDC DN,0.03,0.03,0.05,1.0,0.02,0.01,0.015,0.005,0.015,0.05,0.035,0.005,0.01,0.015,0.025,0.035,0.0,0.025,0.03,0.01,0.0,0.03,0.02,0.01,0.025,0.01,0.005,0.005,0.01,0.005,0.02,0.035,0.02,0.045,0.025,0.015,0.02,0.0,0.025,0.01
"GSE15659 NAIVE CD4 TCELL VS NONSUPPRESSIVE
TCELL DN",0.01,0.015,0.01,0.02,1.0,0.01,0.005,0.01,0.0,0.01,0.015,0.005,0.02,0.0,0.015,0.025,0.005,0.005,0.005,0.015,0.015,0.015,0.025,0.01,0.01,0.005,0.005,0.01,0.015,0.01,0.01,0.02,0.02,0.015,0.005,0.01,0.0,0.01,0.025,0.0
GSE2706 UNSTIM VS 2H LPS DC UP,0.01015228426395939,0.01015228426395939,0.005076142131979695,0.01015228426395939,0.01015228426395939,1.0,0.02030456852791878,0.01015228426395939,0.0,0.005076142131979695,0.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.02030456852791878,0.03553299492385787,0.01015228426395939,0.01015228426395939,0.015228426395939087,0.0,0.0,0.0,0.005076142131979695,0.005076142131979695,0.0,0.0,0.005076142131979695,0.005076142131979695,0.0,0.005076142131979695,0.01015228426395939,0.0,0.015228426395939087,0.005076142131979695,0.0,0.015228426395939087,0.01015228426395939,0.01015228426395939,0.0,0.015228426395939087
GSE14413 UNSTIM VS IFNB STIM NIH3T3 CELLS UP,0.0070921985815602835,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0070921985815602835,0.028368794326241134,1.0,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.0,0.014184397163120567,0.0,0.0070921985815602835,0.03546099290780142,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.0070921985815602835,0.03546099290780142,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.0070921985815602835,0.0,0.028368794326241134,0.02127659574468085,0.014184397163120567,0.014184397163120567,0.028368794326241134,0.02127659574468085,0.028368794326241134,0.0070921985815602835,0.028368794326241134,0.02127659574468085
GSE17721 LPS VS PAM3CSK4 6H BMDC UP,0.020100502512562814,0.03015075376884422,0.01507537688442211,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.010050251256281407,1.0,0.02512562814070352,0.02512562814070352,0.01507537688442211,0.010050251256281407,0.01507537688442211,0.01507537688442211,0.005025125628140704,0.020100502512562814,0.010050251256281407,0.035175879396984924,0.035175879396984924,0.03015075376884422,0.01507537688442211,0.01507537688442211,0.005025125628140704,0.010050251256281407,0.01507537688442211,0.005025125628140704,0.005025125628140704,0.010050251256281407,0.02512562814070352,0.01507537688442211,0.010050251256281407,0.020100502512562814,0.02512562814070352,0.020100502512562814,0.02512562814070352,0.0,0.010050251256281407,0.020100502512562814,0.03015075376884422,0.005025125628140704
GSE25677 MPL VS R848 STIM BCELL DN,0.03314917127071823,0.011049723756906077,0.011049723756906077,0.016574585635359115,0.0,0.0,0.0055248618784530384,0.027624309392265192,1.0,0.016574585635359115,0.016574585635359115,0.027624309392265192,0.027624309392265192,0.03314917127071823,0.011049723756906077,0.0055248618784530384,0.04419889502762431,0.022099447513812154,0.03867403314917127,0.022099447513812154,0.011049723756906077,0.04419889502762431,0.0,0.016574585635359115,0.022099447513812154,0.0055248618784530384,0.011049723756906077,0.0,0.011049723756906077,0.0,0.0055248618784530384,0.022099447513812154,0.0,0.011049723756906077,0.027624309392265192,0.016574585635359115,0.016574585635359115,0.011049723756906077,0.016574585635359115,0.03867403314917127
GSE17721 LPS VS POLYIC 8H BMDC UP,0.005,0.025,0.01,0.05,0.01,0.005,0.01,0.025,0.015,1.0,0.025,0.01,0.005,0.01,0.025,0.015,0.015,0.02,0.015,0.01,0.005,0.015,0.025,0.05,0.005,0.01,0.005,0.015,0.02,0.015,0.015,0.035,0.035,0.025,0.01,0.005,0.0,0.015,0.03,0.01
