"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","FOXM1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.666666666666667","2","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=5)","2","rank=5; score=8.5166; p=3.0434e-09","rank=2; score=0.0006223","rank=4; score=5.4883; direction=Repressed"
"2","E2F2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","5.000000000000000","3","3","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=10); GTEx--Coexpression(rank=728)","8","rank=4; score=8.6029; p=2.4953e-09","rank=8; score=0.002457","rank=3; score=5.9774; direction=Repressed"
"3","E2F1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","2","6","Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=6); ENCODE--ChIP-seq(rank=7); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11)","12","rank=2; score=20.597; p=2.5274e-21","rank=12; score=0.004274","rank=2; score=7.2988; direction=Repressed"
"4","TFDP1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","3","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=16); Enrichr--Queries(rank=16)","9","rank=3; score=11.341; p=4.5591e-12","rank=9; score=0.002489","rank=7; score=4.8451; direction=Repressed"
"5","E2F4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=61); ARCHS4--Coexpression(rank=178); GTEx--Coexpression(rank=540)","19","rank=1; score=60.023; p=9.4804e-61","rank=19; score=0.006734","rank=1; score=13.275; direction=Repressed"
"6","TP53","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.000000000000000","6","5","ARCHS4--Coexpression(rank=10); GTEx--Coexpression(rank=83); Literature--ChIP-seq(rank=93); Enrichr--Queries(rank=110); ReMap--ChIP-seq(rank=195)","17","rank=6; score=7.2511; p=5.6089e-08","rank=17; score=0.006143","rank=28; score=2.8303; direction=Activated"
"7","E2F3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.666666666666668","8","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=29); GTEx--Coexpression(rank=839)","36","rank=9; score=4.7625; p=1.7279e-05","rank=36; score=0.01106","rank=8; score=4.7963; direction=Repressed"
"8","E2F7","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","25.333333333333336","6","5","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=17)","6","rank=7; score=6.0339; p=9.25e-07","rank=6; score=0.001843","rank=63; score=2.1733; direction=Repressed"
"9","MYBL2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.666666666666664","7","6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=6); GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=20)","7","rank=13; score=2.0391; p=0.0091387","rank=7; score=0.002137","rank=84; score=1.9101; direction=Repressed"
"10","NFYB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.000000000000000","8","5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=52); GTEx--Coexpression(rank=523)","62","rank=8; score=4.7792; p=1.6626e-05","rank=62; score=0.01684","rank=38; score=2.5802; direction=Repressed"
