"TF","ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-8.647473234178868040","-8.647473234178868040","8.647473234178868040","Repressed","1","viper","1","8.647473234178868040",NA,NA,"6","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=139); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=713); Enrichr--Queries(rank=1066); GTEx--Coexpression(rank=1463)","1240","0.438000000000000000","ARCHS4 Coexpression,0.438"
"MYC","-6.180958732564429958","-6.180958732564429958","6.180958732564429958","Repressed","2","viper","2","6.180958732564429958",NA,NA,"6","GTEx--Coexpression(rank=34); ENCODE--ChIP-seq(rank=44); Literature--ChIP-seq(rank=67); Enrichr--Queries(rank=125); ReMap--ChIP-seq(rank=284); ARCHS4--Coexpression(rank=1116)","86","0.021160000000000002","GTEx Coexpression,0.02116"
"TP53","5.773626191001616448","5.773626191001616448","5.773626191001616448","Activated","3","viper","3","5.773626191001616448",NA,NA,"5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=158); GTEx--Coexpression(rank=351); ARCHS4--Coexpression(rank=933); Enrichr--Queries(rank=979)","773","0.218400000000000011","GTEx Coexpression,0.2184"
"STAT1","5.469666432740002193","5.469666432740002193","5.469666432740002193","Activated","4","viper","4","5.469666432740002193",NA,NA,"6","ReMap--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=80); ENCODE--ChIP-seq(rank=87); Literature--ChIP-seq(rank=130); Enrichr--Queries(rank=180); GTEx--Coexpression(rank=881)","199","0.049140000000000003","ARCHS4 Coexpression,0.04914"
"MEF2A","5.218824666311167704","5.218824666311167704","5.218824666311167704","Activated","5","viper","5","5.218824666311167704",NA,NA,"6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=89); ARCHS4--Coexpression(rank=420); GTEx--Coexpression(rank=639); Enrichr--Queries(rank=1052)","885","0.258000000000000007","ARCHS4 Coexpression,0.258"
"ATF4","5.171040299570535126","5.171040299570535126","5.171040299570535126","Activated","6","viper","6","5.171040299570535126",NA,NA,"4","ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=347); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=762)","767","0.215900000000000009","GTEx Coexpression,0.2159"
"FOXO3","5.125185304837668099","5.125185304837668099","5.125185304837668099","Activated","7","viper","7","5.125185304837668099",NA,NA,"4","Literature--ChIP-seq(rank=134); Enrichr--Queries(rank=409); GTEx--Coexpression(rank=566); ARCHS4--Coexpression(rank=615)","961","0.291300000000000003","Enrichr Queries,0.2913"
"TEAD1","5.033853714175552163","5.033853714175552163","5.033853714175552163","Activated","8","viper","8","5.033853714175552163",NA,NA,"4","ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=1187); GTEx--Coexpression(rank=1328); ARCHS4--Coexpression(rank=1583)","138","0.033669999999999999","ReMap ChIP-seq,0.03367"
"ARNTL","4.512720199706802049","4.512720199706802049","4.512720199706802049","Activated","9","viper","9","4.512720199706802049",NA,NA,"4","ARCHS4--Coexpression(rank=42); Enrichr--Queries(rank=80); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=343)","105","0.025800000000000000","ARCHS4 Coexpression,0.0258"
"E2F2","-4.483914433097464958","-4.483914433097464958","4.483914433097464958","Repressed","10","viper","10","4.483914433097464958",NA,NA,"3","GTEx--Coexpression(rank=507); ARCHS4--Coexpression(rank=640); Enrichr--Queries(rank=1260)","1014","0.315500000000000003","GTEx Coexpression,0.3155"
