"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.00000000000000","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=1; score=14.69; p=2.0406e-15","rank=2; score=8.9013; direction=Repressed","rank=4; score=206.66; p=9.1345e-29; adjP=4.7499e-27","rank=12; score=3.3812; p=0.00041574","rank=1; score=7.8804; p=3.2645e-15; direction=Repressed"
"2","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.40000000000000","1","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=8; score=6.2274; p=5.9234e-07","rank=69; score=3.3454; direction=Repressed","rank=2; score=79.084; p=1.2458e-09; adjP=5.8303e-07","rank=1; score=8.9045; p=1.2461e-09","rank=17; score=3.9867; p=6.6989e-05; direction=Repressed"
"3","FOXO4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.20000000000000","14","3","Enrichr--Queries(rank=364); GTEx--Coexpression(rank=913); ARCHS4--Coexpression(rank=1246)","837","rank=51; score=2.3342; p=0.0046324","rank=55; score=3.6742; direction=Activated","rank=70; score=156.98; p=0.00068292; adjP=0.013456","rank=14; score=3.1656; p=0.00068294","rank=16; score=4.0107; p=6.0528e-05; direction=Activated"
"4","FOXO3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.80000000000000","3","4","Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=444); Enrichr--Queries(rank=579)","497","rank=13; score=5.0753; p=8.4079e-06","rank=158; score=1.4819; direction=Activated","rank=32; score=84.716; p=2.7711e-05; adjP=0.00010729","rank=8; score=4.2627; p=5.4615e-05","rank=3; score=5.5456; p=2.9288e-08; direction=Activated"
"5","TFDP1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.80000000000000","9","4","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=33); ReMap--ChIP-seq(rank=82)","10","rank=17; score=4.7619; p=1.7301e-05","rank=54; score=3.7012; direction=Repressed","rank=38; score=157.53; p=5.8738e-05; adjP=0.0022908","rank=9; score=4.2311; p=5.8741e-05","rank=176; score=1.833; p=0.066801; direction=Repressed"
"6","TP53","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.40000000000000","2","5","Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=59); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=568); GTEx--Coexpression(rank=799)","138","rank=2; score=8.1333; p=7.3576e-09","rank=78; score=3.1369; direction=Activated","rank=15; score=39.576; p=6.6833e-10; adjP=9.0105e-09","rank=5; score=6.0373; p=9.176e-07","rank=197; score=1.6978; p=0.089541; direction=Activated"
"7","RARA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.59999999999999","28","5","ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=317); GTEx--Coexpression(rank=612); ARCHS4--Coexpression(rank=800)","496","rank=125; score=0.99984; p=0.10004","rank=30; score=4.5301; direction=Activated","rank=69; score=7.0006; p=0.04194; adjP=0.10793","rank=86; score=1.1864; p=0.065105","rank=28; score=3.596; p=0.00032309; direction=Activated"
"8","SMAD3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.59999999999999","17","5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=222); ARCHS4--Coexpression(rank=244); GTEx--Coexpression(rank=332)","347","rank=108; score=1.2422; p=0.057259","rank=100; score=2.6578; direction=Activated","rank=21; score=39.631; p=1.0012e-10; adjP=1.8898e-09","rank=17; score=3.0831; p=0.0008259","rank=117; score=2.2445; p=0.024802; direction=Activated"
"9","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.00000000000000","45","6","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=27); ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=189); Enrichr--Queries(rank=271)","58","rank=45; score=2.5304; p=0.0029486","rank=96; score=2.8299; direction=Activated","rank=100; score=16.564; p=4.0002e-06; adjP=1.936e-05","rank=63; score=1.6033; p=0.02493","rank=81; score=2.6656; p=0.0076844; direction=Activated"
"10","NFE2L2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.20000000000000","5","5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=211); GTEx--Coexpression(rank=525); Enrichr--Queries(rank=570)","464","rank=159; score=0.62048; p=0.23962","rank=79; score=3.1336; direction=Activated","rank=5; score=45.508; p=1.2028e-08; adjP=1.1793e-07","rank=118; score=0.82299; p=0.15032","rank=25; score=3.6967; p=0.00021845; direction=Activated"
