"Feature","AUC","Direction"
"WNT_target_PCA","0.7406280450260343",">"
"Pan_F_TBRs_PCA","0.7279906265505346",">"
"EMT1_PCA","0.7257249777320792","<"
"FGFR3_related_PCA","0.7171346417106544","<"
"EMT2_PCA","0.7099610834464167",">"
"CellCycle_Reg_PCA","0.7052982705746618",">"
"EMT3_PCA","0.7007550170073110",">"
"DDR_PCA","0.6716064585936229",">"
"Histones_PCA","0.5774833962016009","<"
"Immune_Checkpoint_PCA","0.5342328178334657",">"
"CD_8_T_effector_PCA","0.5291874151876189","<"
"APM_PCA","0.5288466711700670","<"
