Pathway,STK33 UP,STK33 NOMO UP,HINATA NFKB IMMU INF,STK33 SKM UP,HOXA9 DN.V1 UP,RPS14 DN.V1 UP,TBK1.DF UP,BCAT BILD ET AL DN,GCNP SHH UP EARLY.V1 UP,TGFB UP.V1 UP,CORDENONSI YAP CONSERVED SIGNATURE,ESC V6.5 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,CAMP UP.V1 DN,CAHOY OLIGODENDROCUTIC,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,BMI1 DN.V1 UP,GCNP SHH UP LATE.V1 DN,DCA UP.V1 DN,PRC2 EED DN.V1 DN,PDGF ERK DN.V1 DN,CSR EARLY UP.V1 DN,E2F1 UP.V1 DN,PGF UP.V1 UP,RAF UP.V1 UP,EGFR UP.V1 UP,PDGF UP.V1 UP,RELA DN.V1 UP,NRL DN.V1 UP,MTOR UP.N4.V1 DN,JAK2 DN.V1 DN,YAP1 UP
STK33 UP,1.0,0.6503496503496503,0.017482517482517484,0.6153846153846154,0.07692307692307693,0.0944055944055944,0.06293706293706294,0.0034965034965034965,0.006993006993006993,0.04195804195804196,0.006993006993006993,0.027972027972027972,0.03146853146853147,0.024475524475524476,0.0034965034965034965,0.038461538461538464,0.03146853146853147,0.027972027972027972,0.01048951048951049,0.017482517482517484,0.01048951048951049,0.04195804195804196,0.017482517482517484,0.027972027972027972,0.04195804195804196,0.03146853146853147,0.07692307692307693,0.038461538461538464,0.04895104895104895,0.0034965034965034965,0.027972027972027972,0.0034965034965034965,0.0
STK33 NOMO UP,0.6413793103448275,1.0,0.02413793103448276,0.3,0.06896551724137931,0.09655172413793103,0.06551724137931035,0.0034482758620689655,0.0034482758620689655,0.034482758620689655,0.010344827586206896,0.02413793103448276,0.027586206896551724,0.02413793103448276,0.0034482758620689655,0.03793103448275862,0.034482758620689655,0.03103448275862069,0.010344827586206896,0.017241379310344827,0.013793103448275862,0.027586206896551724,0.010344827586206896,0.03793103448275862,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.027586206896551724,0.041379310344827586,0.010344827586206896,0.02413793103448276,0.010344827586206896,0.0034482758620689655
HINATA NFKB IMMU INF,0.3333333333333333,0.4666666666666667,1.0,0.3333333333333333,0.06666666666666667,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0
STK33 SKM UP,0.6330935251798561,0.3129496402877698,0.017985611510791366,1.0,0.08273381294964029,0.08273381294964029,0.0539568345323741,0.0035971223021582736,0.007194244604316547,0.03597122302158273,0.007194244604316547,0.025179856115107913,0.03237410071942446,0.025179856115107913,0.0035971223021582736,0.02877697841726619,0.025179856115107913,0.02158273381294964,0.0035971223021582736,0.02877697841726619,0.01079136690647482,0.02877697841726619,0.007194244604316547,0.03597122302158273,0.039568345323741004,0.02877697841726619,0.07913669064748201,0.025179856115107913,0.03597122302158273,0.007194244604316547,0.03237410071942446,0.007194244604316547,0.0035971223021582736
HOXA9 DN.V1 UP,0.11458333333333333,0.10416666666666667,0.005208333333333333,0.11979166666666667,1.0,0.17708333333333334,0.08854166666666667,0.010416666666666666,0.010416666666666666,0.015625,0.005208333333333333,0.005208333333333333,0.020833333333333332,0.026041666666666668,0.015625,0.041666666666666664,0.026041666666666668,0.020833333333333332,0.010416666666666666,0.03125,0.010416666666666666,0.005208333333333333,0.010416666666666666,0.03125,0.03125,0.041666666666666664,0.046875,0.036458333333333336,0.026041666666666668,0.020833333333333332,0.046875,0.0,0.0
RPS14 DN.V1 UP,0.14136125654450263,0.14659685863874344,0.015706806282722512,0.12041884816753927,0.17801047120418848,1.0,0.06282722513089005,0.015706806282722512,0.0,0.010471204188481676,0.02617801047120419,0.031413612565445025,0.010471204188481676,0.03664921465968586,0.010471204188481676,0.05235602094240838,0.04712041884816754,0.05759162303664921,0.020942408376963352,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.005235602094240838,0.031413612565445025,0.015706806282722512,0.05235602094240838,0.031413612565445025,0.020942408376963352,0.031413612565445025,0.010471204188481676,0.015706806282722512,0.010471204188481676,0.0
TBK1.DF UP,0.0627177700348432,0.06620209059233449,0.017421602787456445,0.05226480836236934,0.059233449477351915,0.041811846689895474,1.0,0.013937282229965157,0.017421602787456445,0.03484320557491289,0.006968641114982578,0.010452961672473868,0.010452961672473868,0.027874564459930314,0.010452961672473868,0.041811846689895474,0.03484320557491289,0.024390243902439025,0.020905923344947737,0.013937282229965157,0.013937282229965157,0.017421602787456445,0.006968641114982578,0.024390243902439025,0.020905923344947737,0.04878048780487805,0.059233449477351915,0.024390243902439025,0.006968641114982578,0.024390243902439025,0.020905923344947737,0.013937282229965157,0.003484320557491289
BCAT BILD ET AL DN,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.043478260869565216,0.06521739130434782,0.08695652173913043,1.0,0.043478260869565216,0.021739130434782608,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.021739130434782608,0.0,0.0,0.0,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.0
GCNP SHH UP EARLY.V1 UP,0.011560693641618497,0.005780346820809248,0.0,0.011560693641618497,0.011560693641618497,0.0,0.028901734104046242,0.011560693641618497,1.0,0.005780346820809248,0.005780346820809248,0.0,0.011560693641618497,0.005780346820809248,0.011560693641618497,0.011560693641618497,0.011560693641618497,0.005780346820809248,0.046242774566473986,0.0,0.023121387283236993,0.011560693641618497,0.0,0.023121387283236993,0.023121387283236993,0.0,0.005780346820809248,0.023121387283236993,0.005780346820809248,0.011560693641618497,0.028901734104046242,0.023121387283236993,0.005780346820809248
TGFB UP.V1 UP,0.06349206349206349,0.05291005291005291,0.0,0.05291005291005291,0.015873015873015872,0.010582010582010581,0.05291005291005291,0.005291005291005291,0.005291005291005291,1.0,0.031746031746031744,0.0582010582010582,0.042328042328042326,0.037037037037037035,0.010582010582010581,0.07407407407407407,0.042328042328042326,0.05291005291005291,0.005291005291005291,0.010582010582010581,0.015873015873015872,0.042328042328042326,0.0,0.015873015873015872,0.005291005291005291,0.05291005291005291,0.08994708994708994,0.026455026455026454,0.047619047619047616,0.010582010582010581,0.015873015873015872,0.010582010582010581,0.005291005291005291
CORDENONSI YAP CONSERVED SIGNATURE,0.03508771929824561,0.05263157894736842,0.0,0.03508771929824561,0.017543859649122806,0.08771929824561403,0.03508771929824561,0.0,0.017543859649122806,0.10526315789473684,1.0,0.12280701754385964,0.05263157894736842,0.07017543859649122,0.05263157894736842,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.0,0.017543859649122806,0.017543859649122806,0.07017543859649122,0.0,0.03508771929824561,0.07017543859649122,0.0,0.03508771929824561,0.017543859649122806,0.0,0.0,0.0
ESC V6.5 UP EARLY.V1 DN,0.04938271604938271,0.043209876543209874,0.0,0.043209876543209874,0.006172839506172839,0.037037037037037035,0.018518518518518517,0.0,0.0,0.06790123456790123,0.043209876543209874,1.0,0.18518518518518517,0.012345679012345678,0.006172839506172839,0.037037037037037035,0.024691358024691357,0.04938271604938271,0.012345679012345678,0.0,0.018518518518518517,0.018518518518518517,0.012345679012345678,0.05555555555555555,0.0,0.037037037037037035,0.06172839506172839,0.012345679012345678,0.043209876543209874,0.012345679012345678,0.012345679012345678,0.0,0.006172839506172839
ESC J1 UP EARLY.V1 DN,0.05232558139534884,0.046511627906976744,0.0,0.05232558139534884,0.023255813953488372,0.011627906976744186,0.01744186046511628,0.005813953488372093,0.011627906976744186,0.046511627906976744,0.01744186046511628,0.1744186046511628,1.0,0.029069767441860465,0.005813953488372093,0.023255813953488372,0.005813953488372093,0.023255813953488372,0.023255813953488372,0.005813953488372093,0.023255813953488372,0.040697674418604654,0.005813953488372093,0.046511627906976744,0.005813953488372093,0.011627906976744186,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.011627906976744186,0.01744186046511628,0.01744186046511628,0.0
