Pathway,"ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA",OXIDATIVE PHOSPHORYLATION,"MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",NONALCOHOLIC FATTY LIVER DISEASE,MITOCHONDRIAL COMPLEX III ASSEMBLY,16P122 COPY NUMBER VARIATION SYNDROME 520KB,MITOCHONDRIAL COMPLEX IV ASSEMBLY,5Q35 COPY NUMBER VARIATION,MRNA PROCESSING,MECP2 AND ASSOCIATED RETT SYNDROME,CILIOPATHIES,JOUBERT SYNDROME,"GENES RELATED TO PRIMARY CILIUM DEVELOPMENT
BASED ON CRISPR",RETINOBLASTOMA GENE IN CANCER,CELL CYCLE,G1 TO S CELL CYCLE CONTROL,DNA REPAIR PATHWAYS FULL NETWORK,FANCONI ANEMIA,DNA IRDAMAGE AND CELLULAR RESPONSE VIA ATR,CYTOPLASMIC RIBOSOMAL PROTEINS,ESTROGEN METABOLISM WP697,GLUCURONIDATION,MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS,CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY,PREGNANE X RECEPTOR PATHWAY,CODEINE AND MORPHINE METABOLISM,DRUG INDUCTION OF BILE ACID PATHWAY,PROXIMAL TUBULE TRANSPORT,ESTROGEN METABOLISM WP5276,"CHOLESTEROL BIOSYNTHESIS PATHWAY IN
HEPATOCYTES",FERROPTOSIS,MIR5093P ALTERATION OF YAP1ECM AXIS,HIPPOYAP SIGNALING,PLEURAL MESOTHELIOMA,HIPPOMERLIN SIGNALING DYSREGULATION,NANOMATERIAL INDUCED APOPTOSIS,NRP1TRIGGERED SIGNALING IN PANCREATIC CANCER,TGFB SMAD SIGNALING,PANCREATIC CANCER SUBTYPES,OSTEOBLAST SIGNALING
"ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA",1.0,0.5333333333333333,0.3619047619047619,0.6285714285714286,0.08571428571428572,0.1523809523809524,0.17142857142857143,0.12380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXIDATIVE PHOSPHORYLATION,0.9333333333333333,1.0,0.5666666666666667,0.5666666666666667,0.0,0.08333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",0.6785714285714286,0.6071428571428571,1.0,0.5892857142857143,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONALCOHOLIC FATTY LIVER DISEASE,0.4258064516129032,0.21935483870967742,0.2129032258064516,1.0,0.06451612903225806,0.15483870967741936,0.09032258064516129,0.10967741935483871,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.012903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0,0.025806451612903226,0.0,0.0,0.0,0.2064516129032258,0.0064516129032258064,0.05806451612903226,0.04516129032258064,0.0,0.0,0.0
MITOCHONDRIAL COMPLEX III ASSEMBLY,0.5625,0.0,0.0,0.625,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16P122 COPY NUMBER VARIATION SYNDROME 520KB,0.2962962962962963,0.09259259259259259,0.037037037037037035,0.4444444444444444,0.18518518518518517,1.0,0.05555555555555555,0.037037037037037035,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.35185185185185186,0.018518518518518517,0.0,0.09259259259259259,0.0,0.0,0.0
MITOCHONDRIAL COMPLEX IV ASSEMBLY,0.5294117647058824,0.029411764705882353,0.0,0.4117647058823529,0.0,0.08823529411764706,1.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5Q35 COPY NUMBER VARIATION,0.11711711711711711,0.0,0.0,0.15315315315315314,0.0,0.018018018018018018,0.10810810810810811,1.0,0.009009009009009009,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.018018018018018018,0.009009009009009009,0.018018018018018018,0.009009009009009009,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.009009009009009009,0.009009009009009009,0.0,0.009009009009009009,0.0,0.0,0.0,0.14414414414414414,0.02702702702702703,0.0,0.009009009009009009,0.0,0.0,0.009009009009009009
MRNA PROCESSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,1.0,0.031746031746031744,0.0,0.0,0.0,0.015873015873015872,0.007936507936507936,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MECP2 AND ASSOCIATED RETT SYNDROME,0.0,0.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0410958904109589,0.0547945205479452,1.0,0.0,0.0136986301369863,0.0,0.0547945205479452,0.0410958904109589,0.0410958904109589,0.0,0.0273972602739726,0.0410958904109589,0.0136986301369863,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2191780821917808,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0,0.0
