"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HDAC8","1","1.00000000000000","1","0.00063319632516198266682788675652204801735933870077133178710937500000000000000000000000000000000000000000000000000000000000000000","0.071392726556675195626056051878549624234437942504882812500000000000000000000000000000000000000000000000000000000000000000000000","17.933653786889713899200","Transcription_Factor_PPIs(rank=1, adjP=0.0714)","HDAC8","1","17.933653786889713899200","enrichr","1","17.933653786889713899200","0.00063319632516198266682788675652204801735933870077133178710937500000000000000000000000000000000000000000000000000000000000000000","0.071392726556675195626056051878549624234437942504882812500000000000000000000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"E2F4","1","1.80000000000000","5","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007192863057757809","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007480577580068124","1642.785653843103091276134","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=1, adjP=7.48e-111); ENCODE_TF_ChIP-seq_2015(rank=1, adjP=2.5e-78); TRRUST_Transcription_Factors_2019(rank=2, adjP=1.28e-06); Transcription_Factor_PPIs(rank=2, adjP=0.0714); ChEA_2022(rank=3, adjP=1.15e-36)","E2F4 ENCODE; E2F4 HeLa-S3 hg19; E2F4 human; E2F4; E2F4 17652178 ChIP-ChIP JURKAT Human","2","1642.785653843103091276134","enrichr","2","1642.785653843103091276134","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007192863057757809","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007480577580068124","","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","0.008475000000000000","ENCODE ChIP-seq,0.008475"
"E2F1","1","6.00000000000000","5","0.00000000000000000000000426261675275868916869225431049274949631316094946690684582993140488288430489660640887450426816940307617188","0.000000000000000000000537089710847594667747279050946116550990501725462821173414729516992771607419854262843728065490722656250000","92.119425644575699152483","TRRUST_Transcription_Factors_2019(rank=1, adjP=7.7e-08); Transcription_Factor_PPIs(rank=4, adjP=0.095); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=5, adjP=2.35e-07); ChEA_2022(rank=6, adjP=5.37e-22); ENCODE_TF_ChIP-seq_2015(rank=14, adjP=0.0295)","E2F1 human; E2F1; E2F1 CHEA; E2F1 26619117 ChIP-Seq Hepatocytes Mouse Liver; E2F1 HeLa-S3 hg19","3","92.119425644575699152483","enrichr","3","92.119425644575699152483","0.00000000000000000000000426261675275868916869225431049274949631316094946690684582993140488288430489660640887450426816940307617188","0.000000000000000000000537089710847594667747279050946116550990501725462821173414729516992771607419854262843728065490722656250000","","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","0.004274000000000000","Enrichr Queries,0.004274"
"FOXM1","1","8.00000000000000","5","0.00000000000000000000000000000000000000000000000000000000057984120888408309874973661581702540257767455283151038739234667254961713","0.000000000000000000000000000000000000000000000000000000438359953916366806241382551184255038238443247206499250381526287820322579","1517.037956047377065260662","ChEA_2022(rank=1, adjP=4.38e-55); ENCODE_TF_ChIP-seq_2015(rank=2, adjP=6.84e-47); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=2, adjP=2.88e-37); TRRUST_Transcription_Factors_2019(rank=14, adjP=0.0605); Transcription_Factor_PPIs(rank=21, adjP=0.42)","FOXM1 25889361 ChIP-Seq OE33 AND U2OS Human; FOXM1 ECC-1 hg19; FOXM1 ENCODE; FOXM1 human; FOXM1","4","1517.037956047377065260662","enrichr","4","1517.037956047377065260662","0.00000000000000000000000000000000000000000000000000000000057984120888408309874973661581702540257767455283151038739234667254961713","0.000000000000000000000000000000000000000000000000000000438359953916366806241382551184255038238443247206499250381526287820322579","","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=4)","2","0.000622300000000000","GTEx Coexpression,6.223E-4"
"TP53","3","25.25000000000000","4","0.00000011958979226659299322641145414680696745790555723942816257476806640625000000000000000000000000000000000000000000000000000000","0.000020011358572609903129025168966315106899855891242623329162597656250000000000000000000000000000000000000000000000000000000000","41.375353945919592035807","TRRUST_Transcription_Factors_2019(rank=3, adjP=2e-05); Transcription_Factor_PPIs(rank=10, adjP=0.206); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=22, adjP=0.21); ChEA_2022(rank=66, adjP=0.00068)","TP53 human; TP53; TP53 CHEA; TP53 23651856 ChIP-Seq MEFs Mouse","5","41.375353945919592035807","enrichr","5","41.375353945919592035807","0.00000011958979226659299322641145414680696745790555723942816257476806640625000000000000000000000000000000000000000000000000000000","0.000020011358572609903129025168966315106899855891242623329162597656250000000000000000000000000000000000000000000000000000000000","","5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=271)","26","0.007985000000000001","ARCHS4 Coexpression,0.007985"
"NFYA","3","99.40000000000001","5","0.00000000000146309772132546015024226705363462119413933693046203643461922183632850646972656250000000000000000000000000000000000000","0.000000000050720721005949299210153751595479072918071228315284315613098442554473876953125000000000000000000000000000000000000000","41.078735460496147879894","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=3, adjP=5.07e-11); ENCODE_TF_ChIP-seq_2015(rank=8, adjP=7.02e-07); Transcription_Factor_PPIs(rank=123, adjP=0.951); ChEA_2022(rank=157, adjP=0.0103); TRRUST_Transcription_Factors_2019(rank=206, adjP=0.832)","NFYA ENCODE; NFYA GM12878 hg19; NFYA; NFYA 21822215 ChIP-Seq K562 Human; NFYA human","6","41.078735460496147879894","enrichr","6","41.078735460496147879894","0.00000000000146309772132546015024226705363462119413933693046203643461922183632850646972656250000000000000000000000000000000000000","0.000000000050720721005949299210153751595479072918071228315284315613098442554473876953125000000000000000000000000000000000000000","","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); GTEx--Coexpression(rank=580); Enrichr--Queries(rank=590); ARCHS4--Coexpression(rank=1038)","98","0.025420000000000002","ENCODE ChIP-seq,0.02542"
"SMC3","3","106.00000000000000","4","0.00080821954592462483691478469793878502969164401292800903320312500000000000000000000000000000000000000000000000000000000000000000","0.056264697779501812724411990984663134440779685974121093750000000000000000000000000000000000000000000000000000000000000000000000","13.986098453668720509313","Transcription_Factor_PPIs(rank=3, adjP=0.0714); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=30, adjP=0.269); ENCODE_TF_ChIP-seq_2015(rank=98, adjP=1); ChEA_2022(rank=293, adjP=0.0563)","SMC3; SMC3 ENCODE; SMC3 SK-N-SH hg19; SMC3 22415368 ChIP-Seq MEFs Mouse","7","13.986098453668720509313","enrichr","7","13.986098453668720509313","0.00080821954592462483691478469793878502969164401292800903320312500000000000000000000000000000000000000000000000000000000000000000","0.056264697779501812724411990984663134440779685974121093750000000000000000000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"ESR1","4","46.40000000000000","5","0.00000000000089016115312901066964804869818484761741488736630500966384715866297483444213867187500000000000000000000000000000000000","0.000000000093915441167534546139949564355869741916205128973160753957927227020263671875000000000000000000000000000000000000000000","39.299784953827256117620","TRRUST_Transcription_Factors_2019(rank=4, adjP=0.00084); ChEA_2022(rank=7, adjP=9.39e-11); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=12, adjP=0.00875); ENCODE_TF_ChIP-seq_2015(rank=49, adjP=1); Transcription_Factor_PPIs(rank=160, adjP=0.981)","ESR1 human; ESR1 26153859 ChIP-Seq MCF-7 Human BreastCancer; ESR1 CHEA; ESR1 ECC-1 hg19; ESR1","8","39.299784953827256117620","enrichr","8","39.299784953827256117620","0.00000000000089016115312901066964804869818484761741488736630500966384715866297483444213867187500000000000000000000000000000000000","0.000000000093915441167534546139949564355869741916205128973160753957927227020263671875000000000000000000000000000000000000000000","","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=295); Enrichr--Queries(rank=423); GTEx--Coexpression(rank=894)","428","0.109799999999999995","Literature ChIP-seq,0.1098"
"NFYB","4","124.40000000000001","5","0.00000000542992907925118122678359336668978130102658496980438940227031707763671875000000000000000000000000000000000000000000000000","0.000000141178156060530726785624453488432461512047666474245488643646240234375000000000000000000000000000000000000000000000000000","25.219017181046737618999","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=4, adjP=1.41e-07); ENCODE_TF_ChIP-seq_2015(rank=15, adjP=0.0345); ChEA_2022(rank=167, adjP=0.0132); TRRUST_Transcription_Factors_2019(rank=211, adjP=0.832); Transcription_Factor_PPIs(rank=225, adjP=0.997)","NFYB ENCODE; NFYB K562 hg19; NFYB 21822215 ChIP-Seq K562 Human; NFYB human; NFYB","9","25.219017181046737618999","enrichr","9","25.219017181046737618999","0.00000000542992907925118122678359336668978130102658496980438940227031707763671875000000000000000000000000000000000000000000000000","0.000000141178156060530726785624453488432461512047666474245488643646240234375000000000000000000000000000000000000000000000000000","","5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=60); ARCHS4--Coexpression(rank=104); GTEx--Coexpression(rank=847)","106","0.026939999999999999","ReMap ChIP-seq,0.02694"
"RBL2","5","5.00000000000000","1","0.00000836195477788286784860162514920745024937787093222141265869140625000000000000000000000000000000000000000000000000000000000000","0.000839540259699440285720561938376249599969014525413513183593750000000000000000000000000000000000000000000000000000000000000000","266.844868202094573916838","TRRUST_Transcription_Factors_2019(rank=5, adjP=0.00084)","RBL2 mouse","10","266.844868202094573916838","enrichr","10","266.844868202094573916838","0.00000836195477788286784860162514920745024937787093222141265869140625000000000000000000000000000000000000000000000000000000000000","0.000839540259699440285720561938376249599969014525413513183593750000000000000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
