"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","JUN","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","1","6","ENCODE--ChIP-seq(rank=1); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=76); Enrichr--Queries(rank=338)","19","rank=19; score=0.004356","rank=1; score=69.942; p=0.0011599; adjP=0.12917"
"2","NR4A1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","2","4","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=100); Enrichr--Queries(rank=148)","2","rank=2; score=0.0006223","rank=26; score=21.93; p=0.10382; adjP=0.27478"
"3","FOSL1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","14","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","rank=14; score=0.003367","rank=19; score=927.7; p=0.006632; adjP=0.041425"
"4","ESR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","12","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=25); ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=96); GTEx--Coexpression(rank=1594)","26","rank=26; score=0.006098","rank=12; score=133.17; p=0.00084817; adjP=0.087765"
"5","BACH1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","32.5","9","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=114); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=345); GTEx--Coexpression(rank=1433)","56","rank=56; score=0.0122","rank=9; score=59.77; p=0.00045404; adjP=0.12577"
"6","FOS","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.5","32","5","GTEx--Coexpression(rank=11); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=48); ReMap--ChIP-seq(rank=48); Enrichr--Queries(rank=173)","32","rank=32; score=0.006845","rank=39; score=58.137; p=0.045936; adjP=0.074015"
"7","JUND","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.5","8","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=38); GTEx--Coexpression(rank=132); Enrichr--Queries(rank=638); ARCHS4--Coexpression(rank=1077)","81","rank=81; score=0.01695","rank=8; score=115.78; p=0.0014517; adjP=0.053857"
"8","IRF1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.5","25","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=183); Enrichr--Queries(rank=539); GTEx--Coexpression(rank=660)","86","rank=86; score=0.01829","rank=25; score=85.785; p=0.0072763; adjP=0.069483"
"9","TCF12","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","63.5","16","5","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=38); ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=1111); ARCHS4--Coexpression(rank=1171)","111","rank=111; score=0.02365","rank=16; score=124.82; p=0.0043227; adjP=0.57167"
"10","ARNT","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.0","27","5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=205); ARCHS4--Coexpression(rank=316); GTEx--Coexpression(rank=559); Enrichr--Queries(rank=983)","115","rank=115; score=0.02439","rank=27; score=29.73; p=0.007411; adjP=0.27762"
