Pathway,RIBOSOME,PARKINSONS DISEASE,HUNTINGTONS DISEASE,OXIDATIVE PHOSPHORYLATION,ALZHEIMERS DISEASE,FOCAL ADHESION,ECM RECEPTOR INTERACTION,SMALL CELL LUNG CANCER,MAPK SIGNALING PATHWAY,COLORECTAL CANCER,PANCREATIC CANCER,CHEMOKINE SIGNALING PATHWAY,REGULATION OF ACTIN CYTOSKELETON,ADHERENS JUNCTION,PATHWAYS IN CANCER,BASAL CELL CARCINOMA,WNT SIGNALING PATHWAY,MELANOGENESIS,GLUTATHIONE METABOLISM,CYSTEINE AND METHIONINE METABOLISM,JAK STAT SIGNALING PATHWAY,CYTOKINE CYTOKINE RECEPTOR INTERACTION,HEMATOPOIETIC CELL LINEAGE,SPLICEOSOME,RNA DEGRADATION,AMINOACYL TRNA BIOSYNTHESIS,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,ENDOCYTOSIS,PYRUVATE METABOLISM,CITRATE CYCLE TCA CYCLE,STEROID BIOSYNTHESIS,PURINE METABOLISM,PYRIMIDINE METABOLISM,DNA REPLICATION,BASE EXCISION REPAIR,HYPERTROPHIC CARDIOMYOPATHY HCM,DILATED CARDIOMYOPATHY,CARDIAC MUSCLE CONTRACTION,TERPENOID BACKBONE BIOSYNTHESIS,VALINE LEUCINE AND ISOLEUCINE DEGRADATION
RIBOSOME,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARKINSONS DISEASE,0.0,1.0,0.7709923664122137,0.7251908396946565,0.7099236641221374,0.0,0.0,0.022900763358778626,0.007633587786259542,0.022900763358778626,0.007633587786259542,0.0,0.0,0.0,0.022900763358778626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03816793893129771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25190839694656486,0.0,0.0
HUNTINGTONS DISEASE,0.0,0.5519125683060109,1.0,0.4808743169398907,0.5519125683060109,0.0,0.0,0.02185792349726776,0.01639344262295082,0.0273224043715847,0.01092896174863388,0.02185792349726776,0.0,0.01092896174863388,0.060109289617486336,0.00546448087431694,0.03825136612021858,0.07103825136612021,0.00546448087431694,0.0,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,0.0273224043715847,0.04918032786885246,0.0,0.0273224043715847,0.0,0.07650273224043716,0.07650273224043716,0.0,0.0,0.0,0.0,0.18032786885245902,0.0,0.0
OXIDATIVE PHOSPHORYLATION,0.0,0.7142857142857143,0.6616541353383458,1.0,0.6616541353383458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03759398496240601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24812030075187969,0.0,0.0
ALZHEIMERS DISEASE,0.0,0.5568862275449101,0.6047904191616766,0.5269461077844312,1.0,0.029940119760479042,0.0,0.017964071856287425,0.11377245508982035,0.041916167664670656,0.023952095808383235,0.041916167664670656,0.011976047904191617,0.011976047904191617,0.0658682634730539,0.005988023952095809,0.07784431137724551,0.08383233532934131,0.0,0.0,0.0,0.023952095808383235,0.017964071856287425,0.0,0.0,0.0,0.07784431137724551,0.0,0.0,0.029940119760479042,0.0,0.0,0.0,0.0,0.0,0.03592814371257485,0.03592814371257485,0.2275449101796407,0.0,0.005988023952095809
FOCAL ADHESION,0.0,0.0,0.0,0.0,0.02512562814070352,1.0,0.32663316582914576,0.20603015075376885,0.20100502512562815,0.1457286432160804,0.1658291457286432,0.21608040201005024,0.4623115577889447,0.10552763819095477,0.41708542713567837,0.010050251256281407,0.09045226130653267,0.05025125628140704,0.0,0.0,0.08542713567839195,0.08040201005025126,0.04020100502512563,0.0,0.0,0.0,0.06532663316582915,0.05527638190954774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12562814070351758,0.12562814070351758,0.005025125628140704,0.0,0.0
ECM RECEPTOR INTERACTION,0.0,0.0,0.0,0.0,0.0,0.7738095238095238,1.0,0.27380952380952384,0.0,0.0,0.0,0.0,0.25,0.0,0.27380952380952384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619047619047619,0.2619047619047619,0.0,0.0,0.0
SMALL CELL LUNG CANCER,0.0,0.03571428571428571,0.047619047619047616,0.0,0.03571428571428571,0.4880952380952381,0.27380952380952384,1.0,0.15476190476190477,0.20238095238095238,0.30952380952380953,0.21428571428571427,0.19047619047619047,0.0,0.9761904761904762,0.011904761904761904,0.03571428571428571,0.0,0.0,0.0,0.21428571428571427,0.0,0.047619047619047616,0.0,0.0,0.0,0.10714285714285714,0.011904761904761904,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0
MAPK SIGNALING PATHWAY,0.0,0.003745318352059925,0.011235955056179775,0.0,0.07116104868913857,0.149812734082397,0.0,0.04868913857677903,1.0,0.09363295880149813,0.10861423220973783,0.1348314606741573,0.21722846441947566,0.0449438202247191,0.30711610486891383,0.003745318352059925,0.10112359550561797,0.056179775280898875,0.0,0.0,0.026217228464419477,0.07116104868913857,0.02247191011235955,0.02247191011235955,0.0,0.0,0.011235955056179775,0.06741573033707865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0898876404494382,0.10486891385767791,0.0749063670411985,0.0,0.0
COLORECTAL CANCER,0.0,0.04838709677419355,0.08064516129032258,0.0,0.11290322580645161,0.46774193548387094,0.0,0.27419354838709675,0.4032258064516129,1.0,0.5967741935483871,0.3387096774193548,0.3387096774193548,0.25806451612903225,1.0,0.1774193548387097,0.3870967741935484,0.1774193548387097,0.0,0.0,0.20967741935483872,0.08064516129032258,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355,0.04838709677419355,0.0,0.0,0.0
PANCREATIC CANCER,0.0,0.014285714285714285,0.02857142857142857,0.0,0.05714285714285714,0.4714285714285714,0.0,0.37142857142857144,0.4142857142857143,0.5285714285714286,1.0,0.38571428571428573,0.3142857142857143,0.18571428571428572,0.9857142857142858,0.014285714285714285,0.15714285714285714,0.07142857142857142,0.0,0.0,0.22857142857142856,0.15714285714285714,0.0,0.0,0.0,0.0,0.11428571428571428,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.04285714285714286,0.0,0.0,0.0
CHEMOKINE SIGNALING PATHWAY,0.0,0.0,0.02127659574468085,0.0,0.03723404255319149,0.22872340425531915,0.0,0.09574468085106383,0.19148936170212766,0.11170212765957446,0.14361702127659576,1.0,0.2074468085106383,0.047872340425531915,0.21808510638297873,0.005319148936170213,0.0797872340425532,0.15425531914893617,0.0,0.0,0.10638297872340426,0.3404255319148936,0.0,0.0,0.0,0.0,0.06914893617021277,0.09042553191489362,0.0,0.0,0.0,0.047872340425531915,0.0,0.0,0.0,0.0,0.06914893617021277,0.0,0.0,0.0
