"ID","Description","NES","pvalue","qvalue","size","leadingEdge","var_name"
"Allograft rejection","Allograft rejection","-1.6803959063218046","0.0078330974600864956142176609","0.030679631718672106810430478","68","TIMP1,TPD52,MMP9,GZMA,FAS,LYN,CTSS,WARS1,GBP2,NCF4,HLA-E,EGFR,PRKCB,CFP,GALNT1,F2,BCL10,IL18,PTPN6,EIF5A,ITGB2,PTPRC,PSMB10,AKT1,NCK1,ICAM1,CD47,ITGAL,CSK,EIF3A,FYB1,TAP2,IL16","APC (Mutation, COAD)"
"Bile acid metabolism","Bile acid metabolism","1.6670349002503293","0.0099862504037310385190950868","0.036104136075027604135811998","40","AMACR,CYP27A1,SLC29A1,ACSL5,LIPE,PRDX5,HSD17B4,ABCA8","APC (Mutation, COAD)"
"E2F targets","E2F targets","1.3496108183422468","0.0412170428069520977665263217","0.125993714180070243147113729","103","MRE11,RAD50,TOP2A,TFRC,PDS5B,HMGB3,CSE1L,H2AX,LYAR,NUP153,LIG1,TRA2B,PRKDC,NAP1L1,NME1,PRDX4,NOP56,DEK,EXOSC8,IPO7,HNRNPD,SYNCRIP,NUDT21,TUBB,KPNA2,LBR,LUC7L3,CBX5,DNMT1","APC (Mutation, COAD)"
"Coagulation","Coagulation","-1.4082975218719700","0.0439932318104906960876121502","0.125993714180070243147113729","73","TIMP1,PROS1,S100A13,A2M,CAPN5,MMP9,ADAM9,CAPN2,FGA,CFH,C9,KLKB1,F2,HMGCS2,C1QA,ARF4,ANXA1,SERPINA1,C3,C8B,CPN1,C8A,LGMN,CTSB,APOC1,F9,SERPING1,PLG","APC (Mutation, COAD)"
"Inflammatory response","Inflammatory response","-1.4846594612886150","0.0454135890831626892749639524","0.125993714180070243147113729","37","SLC4A4,TIMP1,PTPRE,LYN,CD82,CYBB,MSR1,ATP2B1,NMI,IL18,CD55","APC (Mutation, COAD)"
"P53 pathway","P53 pathway","-1.4454772101108706","0.0457372863791791345322579332","0.125993714180070243147113729","74","SERPINB5,HSPA4L,SFN,FUCA1,ITGB4,PTPRE,DDB2,KIF13B,FAS,CD82,UPP1,EPHX1,ELP1,S100A10,NDRG1,DGKA,SDC1,DEF6,CYFIP2,BAIAP2,PCNA,RPS27L,TPRKB,TRAFD1,ADA,SP1,RAP2B,RETSAT,BAX,AK1,GM2A","APC (Mutation, COAD)"
"Estrogen response early","Estrogen response early","-1.4070240652217103","0.0482529118136439255648539870","0.125993714180070243147113729","65","MUC1,MLPH,TTC39A,TFF3,SFN,PODXL,KRT19,CA12,CALB2,SLC27A2,PAPSS2,ESRP2,SLC16A1,FLNB,CANT1,FKBP4,LAD1,ENDOD1,ZNF185,KRT8,NHERF1,ABLIM1,BAG1,TJP3,KRT18,DYNLT3","APC (Mutation, COAD)"
"TNF-alpha signaling via NF-kB","TNF-alpha signaling via NF-kB","-1.4304841368593237","0.0625000000000000000000000000","0.154605263157894745607023879","31","LAMB3,PTPRE,PTX3,NFKB2,ATP2B1,IL18,EHD1,TNC,DNAJB4,SERPINB8,TUBB2A,ICAM1,RIGI,TAP1,REL,TRIP10","APC (Mutation, COAD)"
"Androgen response","Androgen response","-1.3322431355581865","0.0841750841750841805044558441","0.197811447811447826961028795","51","IQGAP2,TPD52,KRT19,STEAP4,GSR,VAPA,LMAN1,HMGCS1,PTK2B,SEC24D,UAP1,NDRG1,KRT8,HPGD,AKT1,PGM3,DHCR24","APC (Mutation, COAD)"
"G2M checkpoint","G2M checkpoint","1.2807359492862285","0.0913580246913580223955264614","0.204467960023515582523856438","86","MAP3K20,TOP2A,PDS5B,PRP4K,NCL,TOP1,HMGB3,H2AX,ATRX,TRA2B,DKC1,MARCKS,SRSF10,HNRNPD,SYNCRIP,G3BP1,LIG3,CUL4A,KPNA2,LBR,TNPO2,PML,SNRPD1,HNRNPU,PURA,SLC12A2,DR1,CHMP1A,DTYMK,DMD,NUMA1,NUP98,RBM14,CTCF,MCM2,XPO1,SFPQ,SMC1A,RAD21,UPF1,HMGA1,SMARCC1,ILF3,DDX39A","APC (Mutation, COAD)"
"IL-6/JAK2/STAT3 signaling","IL-6/JAK2/STAT3 signaling","-1.3684346723453666","0.1016333938294010919012322347","0.217125886817356866798078840","20","A2M,PLA2G2A,FAS","APC (Mutation, COAD)"
"Angiogenesis","Angiogenesis","1.3847932167829584","0.1086474501108647405800411434","0.222018702400462758506094474","18","VCAN,POSTN,VAV2,COL3A1,SERPINA5,LUM,ITGAV,LRPAP1,S100A4","APC (Mutation, COAD)"
"IL-2/STAT5 signaling","IL-2/STAT5 signaling","1.2218789133386652","0.1491442542787285996386259512","0.292074164629176846741387408","64","AMACR,ABCB1,HOPX,TGM2,AHCY,BCL2L1,FAH,PLIN2,PUS1,CD81,ITGAV,PTRH2,UMPS,GUCY1B1,NOP2,HUWE1","APC (Mutation, COAD)"
"Peroxisome","Peroxisome","1.1568382385191045","0.2103960396039603886197966176","0.380777758826539303171898609","56","FABP6,ABCB1,ACSL5,ACOT8,TOP2A,PRDX5,HSD17B4,FIS1","APC (Mutation, COAD)"
